"","source","Date","Replicate","Treatment","Biomass"
"1","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","1","Cenrich Namb M    ","413.0644"
"2","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","1","Cenrich Namb S    ","396.6"
"3","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","1","Cenrich Nenrich M    ","539.3146154"
"4","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","1","Cenrich Nenrich S    ","628.48"
"5","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","2","Camb Namb M    ","439.372"
"6","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","2","Camb Namb S    ","430.92"
"7","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","2","Camb Nenrich M    ","546.8807692"
"8","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","2","Camb Nenrich S    ","530.6"
"9","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","3","Cenrich Namb M    ","533.1769231"
"10","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","3","Cenrich Namb S    ","415.22"
"11","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","3","Cenrich Nenrich M    ","577.9630769"
"12","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","3","Cenrich Nenrich S    ","636.28"
"13","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","4","Camb Namb M    ","480.5492308"
"14","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","4","Camb Namb S    ","497.3"
"15","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","4","Camb Nenrich M    ","581.3944"
"16","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","4","Camb Nenrich S    ","562.22"
"17","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","5","Cenrich Namb M    ","438.0948"
"18","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","5","Cenrich Namb S    ","461.85"
"19","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","5","Cenrich Nenrich M    ","539.4288"
"20","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","5","Cenrich Nenrich S    ","710.6"
"21","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","6","Camb Namb M    ","441.7884615"
"22","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","6","Camb Namb S    ","469.0033333"
"23","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","6","Camb Nenrich M    ","461.6465385"
