"source","Date","Replicate","Treatment","Biomass"
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","1","Cenrich Namb M    ",413.0644
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","1","Cenrich Namb S    ",396.6
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","1","Cenrich Nenrich M    ",539.3146154
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","1","Cenrich Nenrich S    ",628.48
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","2","Camb Namb M    ",439.372
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","2","Camb Namb S    ",430.92
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","2","Camb Nenrich M    ",546.8807692
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","2","Camb Nenrich S    ",530.6
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","3","Cenrich Namb M    ",533.1769231
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","3","Cenrich Namb S    ",415.22
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","3","Cenrich Nenrich M    ",577.9630769
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","3","Cenrich Nenrich S    ",636.28
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","4","Camb Namb M    ",480.5492308
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","4","Camb Namb S    ",497.3
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","4","Camb Nenrich M    ",581.3944
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","4","Camb Nenrich S    ",562.22
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","5","Cenrich Namb M    ",438.0948
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","5","Cenrich Namb S    ",461.85
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","5","Cenrich Nenrich M    ",539.4288
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","5","Cenrich Nenrich S    ",710.6
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","6","Camb Namb M    ",441.7884615
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","6","Camb Namb S    ",469.0033333
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","6","Camb Nenrich M    ",461.6465385
"CDR_Biomass_1998-2021_gm2_processed.csv","1999","6","Camb Nenrich S    ",551.022
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","1","Cenrich Namb M    ",690.4292
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","1","Cenrich Namb S    ",228.468
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","1","Cenrich Nenrich M    ",715.9546154
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","1","Cenrich Nenrich S    ",463.946
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","2","Camb Namb M    ",670.064
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","2","Camb Namb S    ",260.972
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","2","Camb Nenrich M    ",636.84
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","2","Camb Nenrich S    ",253.2716667
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","3","Cenrich Namb M    ",706.8561538
"CDR_Biomass_1998-2021_gm2_processed.csv","2002","3","Cenrich Namb S    ",160.634
