"","Year","Treatment","biomass"
"1",1982,"Control",961.153
"2",1983,"Control",964.246
"3",1983,"GH",714.703
"4",1983,"GHNP",798.455
"5",1983,"NP",1198.156
"6",1983,"SH",655.22
"7",1984,"Control",257.302
"8",1984,"NP",356.907
"9",1989,"Control",1022.929
"10",1989,"GH",955.969
"11",1989,"GHNP",831.288
"12",1989,"NP",1081.382
"13",1989,"SH",616.587
"14",1995,"Control",443.638
"15",1995,"NP",803.931
"16",2000,"Control",1491.702
"17",2000,"NP",2070.841
"18",2015,"Control",1357.872
"19",2015,"NP",2693.784
