"","year","site_code","treatment_code","Biomass"
"1",2008,"DBG","C1",5.745
"2",2008,"DBG","N",18.255
"3",2008,"DBG","NP",21.995
"4",2008,"DBG","P",11.8625
"5",2008,"EME","C1",18.705
"6",2008,"EME","N",29.135
"7",2008,"EME","NP",30.265
"8",2008,"EME","P",22.34
"9",2008,"EMW","C1",10.085
"10",2008,"EMW","N",21.165
"11",2008,"EMW","NP",24.8775
"12",2008,"EMW","P",13.365
"13",2008,"LDP","C1",15.4825
"14",2008,"LDP","N",11.575
"15",2008,"LDP","NP",42.065
"16",2008,"LDP","P",20.7775
"17",2008,"MCN","C1",5.67
"18",2008,"MCN","N",27.9425
"19",2008,"MCN","NP",64.4275
"20",2008,"MCN","P",24.0775
"21",2008,"MCS","C1",46.3825
"22",2008,"MCS","N",40.3475
"23",2008,"MCS","NP",38.7325
"24",2008,"MCS","P",41.565
"25",2008,"MVP","C1",16.71
"26",2008,"MVP","N",21.4875
"27",2008,"MVP","NP",35
"28",2008,"MVP","P",22.005
"29",2008,"PWP","C1",20.26
"30",2008,"PWP","N",36.49
"31",2008,"PWP","NP",43.915
"32",2008,"PWP","P",24.39
"33",2008,"SME","C1",33.1525
"34",2008,"SME","N",24.9525
"35",2008,"SME","NP",50.775
"36",2008,"SME","P",44.4475
"37",2008,"SMW","C1",20.6275
"38",2008,"SMW","N",18.47
"39",2008,"SMW","NP",27.345
"40",2008,"SMW","P",20.9325
"41",2008,"SNE","C1",17.65
"42",2008,"SNE","N",15.1425
"43",2008,"SNE","NP",24.3025
"44",2008,"SNE","P",24.19
"45",2008,"SNW","C1",15.1525
"46",2008,"SNW","N",14.6625
"47",2008,"SNW","NP",15.12
"48",2008,"SNW","P",20.7125
"49",2008,"SRR","C1",22.895
"50",2008,"SRR","N",63.6075
"51",2008,"SRR","NP",65.4975
"52",2008,"SRR","P",41.4125
"53",2008,"UMP","C1",6.3975
"54",2008,"UMP","N",40.825
"55",2008,"UMP","NP",36.025
"56",2008,"UMP","P",18.1325
"57",2008,"WTM","C1",39.485
"58",2008,"WTM","N",41.2375
"59",2008,"WTM","NP",60.69
"60",2008,"WTM","P",33.405
"61",2009,"DBG","C1",1.85
"62",2009,"DBG","N",2.26
"63",2009,"DBG","NP",6.4575
"64",2009,"DBG","P",1.8925
"65",2009,"EME","C1",6.495
"66",2009,"EME","N",5.33
"67",2009,"EME","NP",6.385
"68",2009,"EME","P",4.235
"69",2009,"EMW","C1",2.1625
"70",2009,"EMW","N",4.5075
"71",2009,"EMW","NP",5.03
"72",2009,"EMW","P",2.73
"73",2009,"LDP","C1",10.6525
"74",2009,"LDP","N",9.3925
"75",2009,"LDP","NP",24.2075
"76",2009,"LDP","P",18.69
"77",2009,"MCN","C1",10.1175
"78",2009,"MCN","N",14.8425
"79",2009,"MCN","NP",32.5125
"80",2009,"MCN","P",12.8125
"81",2009,"MCS","C1",17.0575
"82",2009,"MCS","N",10.54
"83",2009,"MCS","NP",21.215
"84",2009,"MCS","P",26.8475
"85",2009,"MVP","C1",3.52
"86",2009,"MVP","N",4.225
"87",2009,"MVP","NP",6.6075
"88",2009,"MVP","P",3.3475
"89",2009,"PWP","C1",4.4825
"90",2009,"PWP","N",9.37
"91",2009,"PWP","NP",7.78
"92",2009,"PWP","P",5.47
"93",2009,"SME","C1",8.1575
"94",2009,"SME","N",8.19
"95",2009,"SME","NP",12.17
"96",2009,"SME","P",7.9325
"97",2009,"SMW","C1",6.57
"98",2009,"SMW","N",8
"99",2009,"SMW","NP",12.55
"100",2009,"SMW","P",4.6675
"101",2009,"SNE","C1",3.2075
"102",2009,"SNE","N",4.405
"103",2009,"SNE","NP",4.1425
"104",2009,"SNE","P",4.15
"105",2009,"SNW","C1",3.545
"106",2009,"SNW","N",5.81
"107",2009,"SNW","NP",7.11
"108",2009,"SNW","P",4.5725
"109",2009,"SRR","C1",11.9725
"110",2009,"SRR","N",24.0625
"111",2009,"SRR","NP",52.2725
"112",2009,"SRR","P",18.18
"113",2009,"UMP","C1",7.025
"114",2009,"UMP","N",13.7
"115",2009,"UMP","NP",12.165
"116",2009,"UMP","P",6.35
"117",2009,"WTM","C1",14.435
"118",2009,"WTM","N",18.395
"119",2009,"WTM","NP",21.7175
"120",2009,"WTM","P",15.89
"121",2010,"DBG","C1",2.7525
"122",2010,"DBG","N",7.1775
"123",2010,"DBG","NP",13.66
"124",2010,"DBG","P",6.4325
"125",2010,"EME","C1",14.75
"126",2010,"EME","N",27.815
"127",2010,"EME","NP",45.6825
"128",2010,"EME","P",19.36
"129",2010,"EMW","C1",4.195
"130",2010,"EMW","N",15.8425
"131",2010,"EMW","NP",19.2275
"132",2010,"EMW","P",13.4575
"133",2010,"LDP","C1",8.5475
"134",2010,"LDP","N",3.775
"135",2010,"LDP","NP",50.045
"136",2010,"LDP","P",9.72
"137",2010,"MCN","C1",7.7575
"138",2010,"MCN","N",48.495
"139",2010,"MCN","NP",37.42
"140",2010,"MCN","P",18.6025
"141",2010,"MCS","C1",16.08
"142",2010,"MCS","N",22.825
"143",2010,"MCS","NP",40.2775
"144",2010,"MCS","P",28.52
"145",2010,"MVP","C1",14.0475
"146",2010,"MVP","N",24.0425
"147",2010,"MVP","NP",44.7
"148",2010,"MVP","P",13.6325
"149",2010,"PWP","C1",11.6475
"150",2010,"PWP","N",19.1725
"151",2010,"PWP","NP",41.83
"152",2010,"PWP","P",15.7525
"153",2010,"SME","C1",19.54
"154",2010,"SME","N",20.1625
"155",2010,"SME","NP",33.16
"156",2010,"SME","P",19.7025
"157",2010,"SMW","C1",12.17
"158",2010,"SMW","N",28.4925
"159",2010,"SMW","NP",35.375
"160",2010,"SMW","P",11.1
"161",2010,"SNE","C1",14.7125
"162",2010,"SNE","N",26.61
"163",2010,"SNE","NP",40.8575
"164",2010,"SNE","P",12.9775
"165",2010,"SNW","C1",12.1525
"166",2010,"SNW","N",17.175
"167",2010,"SNW","NP",19.3375
"168",2010,"SNW","P",15.89
"169",2010,"SRR","C1",7.4525
"170",2010,"SRR","N",24.6475
"171",2010,"SRR","NP",61.455
"172",2010,"SRR","P",15.84
"173",2010,"UMP","C1",5.97
"174",2010,"UMP","N",19.685
"175",2010,"UMP","NP",16.1775
"176",2010,"UMP","P",8.1475
"177",2010,"WTM","C1",21.055
"178",2010,"WTM","N",70.89
"179",2010,"WTM","NP",79.66
"180",2010,"WTM","P",18.6925
"181",2013,"DBG","C1",1.8175
"182",2013,"DBG","N",0.39
"183",2013,"DBG","P",1.0925
"184",2013,"EME","C1",4.335
"185",2013,"EME","N",6.845
"186",2013,"EME","NP",5.3875
"187",2013,"EME","P",1.5775
"188",2013,"EMW","C1",0.4675
"189",2013,"EMW","N",2.2675
"190",2013,"EMW","NP",3.9925
"191",2013,"EMW","P",2.2375
"192",2013,"LDP","C1",12.9375
"193",2013,"LDP","N",7.6325
"194",2013,"LDP","NP",22.825
"195",2013,"LDP","P",14.435
"196",2013,"MCN","C1",4.1975
"197",2013,"MCN","N",22.9025
"198",2013,"MCN","NP",38.4575
"199",2013,"MCN","P",25.555
"200",2013,"MCS","C1",20.8325
"201",2013,"MCS","N",24.44
"202",2013,"MCS","NP",22.23
"203",2013,"MCS","P",25.9925
"204",2013,"MVP","C1",4.4975
"205",2013,"MVP","N",4.835
"206",2013,"MVP","NP",12.085
"207",2013,"MVP","P",5.755
"208",2013,"PWP","C1",8.45
"209",2013,"PWP","N",13.625
"210",2013,"PWP","NP",18.31
"211",2013,"PWP","P",10.8325
"212",2013,"SME","C1",7.9275
"213",2013,"SME","N",6.2625
"214",2013,"SME","NP",7.82
"215",2013,"SME","P",7.7825
"216",2013,"SMW","C1",4.7525
"217",2013,"SMW","N",10.4025
"218",2013,"SMW","NP",9.15
"219",2013,"SMW","P",5.39
"220",2013,"SNE","C1",3.525
"221",2013,"SNE","N",4.1325
"222",2013,"SNE","NP",3.795
"223",2013,"SNE","P",4.28
"224",2013,"SNW","C1",4.755
"225",2013,"SNW","N",5.5875
"226",2013,"SNW","NP",3.3475
"227",2013,"SNW","P",3.085
"228",2013,"SRR","C1",9.53
"229",2013,"SRR","N",30.5475
"230",2013,"SRR","NP",47.71
"231",2013,"SRR","P",16.42
"232",2013,"UMP","C1",11.4025
"233",2013,"UMP","N",16.165
"234",2013,"UMP","NP",13.83
"235",2013,"UMP","P",7.5325
"236",2013,"WTM","C1",3.9
"237",2013,"WTM","N",5.41
"238",2013,"WTM","NP",6.5
"239",2013,"WTM","P",4.52
"240",2015,"DBG","C1",2.911
"241",2015,"DBG","N",1.606
"242",2015,"DBG","NP",0.206
"243",2015,"DBG","P",3.371
"244",2015,"EME","C1",2.4285
