Date,Ring,Treatment,Biomass
6/1/1999,1,Cenrich Namb M    ,413.0644
6/1/1999,1,Cenrich Namb S    ,396.6
6/1/1999,1,Cenrich Nenrich M    ,539.3146154
6/1/1999,1,Cenrich Nenrich S    ,628.48
6/1/1999,2,Camb Namb M    ,439.372
6/1/1999,2,Camb Namb S    ,430.92
6/1/1999,2,Camb Nenrich M    ,546.8807692
6/1/1999,2,Camb Nenrich S    ,530.6
6/1/1999,3,Cenrich Namb M    ,533.1769231
6/1/1999,3,Cenrich Namb S    ,415.22
6/1/1999,3,Cenrich Nenrich M    ,577.9630769
6/1/1999,3,Cenrich Nenrich S    ,636.28
6/1/1999,4,Camb Namb M    ,480.5492308
6/1/1999,4,Camb Namb S    ,497.3
6/1/1999,4,Camb Nenrich M    ,581.3944
6/1/1999,4,Camb Nenrich S    ,562.22
6/1/1999,5,Cenrich Namb M    ,438.0948
6/1/1999,5,Cenrich Namb S    ,461.85
6/1/1999,5,Cenrich Nenrich M    ,539.4288
6/1/1999,5,Cenrich Nenrich S    ,710.6
6/1/1999,6,Camb Namb M    ,441.7884615
6/1/1999,6,Camb Namb S    ,469.0033333
6/1/1999,6,Camb Nenrich M    ,461.6465385
6/1/1999,6,Camb Nenrich S    ,551.022
6/1/2002,1,Cenrich Namb M    ,690.4292
6/1/2002,1,Cenrich Namb S    ,228.468
6/1/2002,1,Cenrich Nenrich M    ,715.9546154
6/1/2002,1,Cenrich Nenrich S    ,463.946
6/1/2002,2,Camb Namb M    ,670.064
6/1/2002,2,Camb Namb S    ,260.972
6/1/2002,2,Camb Nenrich M    ,636.84
6/1/2002,2,Camb Nenrich S    ,253.2716667
6/1/2002,3,Cenrich Namb M    ,706.8561538
6/1/2002,3,Cenrich Namb S    ,160.634
6/1/2002,3,Cenrich Nenrich M    ,681.5373077
6/1/2002,3,Cenrich Nenrich S    ,292.664
6/1/2002,4,Camb Namb M    ,707.5976923
6/1/2002,4,Camb Namb S    ,353.4683333
6/1/2002,4,Camb Nenrich M    ,737.8884
6/1/2002,4,Camb Nenrich S    ,329.906
6/1/2002,5,Cenrich Namb M    ,735.3980769
6/1/2002,5,Cenrich Namb S    ,369.778
6/1/2002,5,Cenrich Nenrich M    ,770.2356
6/1/2002,5,Cenrich Nenrich S    ,455.466
6/1/2002,6,Camb Namb M    ,746.7003846
6/1/2002,6,Camb Namb S    ,277.7
6/1/2002,6,Camb Nenrich M    ,785.9453846
6/1/2002,6,Camb Nenrich S    ,489.322
6/1/2004,1,Cenrich Namb M    ,525.4845833
6/1/2004,1,Cenrich Namb S    ,482.72
6/1/2004,1,Cenrich Nenrich M    ,540.6315385
6/1/2004,1,Cenrich Nenrich S    ,580.51
6/1/2004,2,Camb Namb M    ,372.5366667
6/1/2004,2,Camb Namb S    ,366.624
6/1/2004,2,Camb Nenrich M    ,427.5073077
6/1/2004,2,Camb Nenrich S    ,387.2266667
6/1/2004,3,Cenrich Namb M    ,471.7657692
6/1/2004,3,Cenrich Namb S    ,583.54
6/1/2004,3,Cenrich Nenrich M    ,529.8430769
6/1/2004,3,Cenrich Nenrich S    ,551.454
6/1/2004,4,Camb Namb M    ,375.9503846
6/1/2004,4,Camb Namb S    ,447.2266667
6/1/2004,4,Camb Nenrich M    ,416.8233333
6/1/2004,4,Camb Nenrich S    ,422.31
6/1/2004,5,Cenrich Namb M    ,462.5836
6/1/2004,5,Cenrich Namb S    ,347.652
6/1/2004,5,Cenrich Nenrich M    ,908.3504
6/1/2004,5,Cenrich Nenrich S    ,533.062
6/1/2004,6,Camb Namb M    ,400.1396154
6/1/2004,6,Camb Namb S    ,402.9883333
6/1/2004,6,Camb Nenrich M    ,946.2392
6/1/2004,6,Camb Nenrich S    ,511.462
6/1/2005,1,Cenrich Namb M    ,257.2775
6/1/2005,1,Cenrich Namb S    ,204.092
6/1/2005,1,Cenrich Nenrich M    ,376.6046154
6/1/2005,1,Cenrich Nenrich S    ,286.9
6/1/2005,2,Camb Namb M    ,262.0758333
6/1/2005,2,Camb Namb S    ,234.96
6/1/2005,2,Camb Nenrich M    ,257.0988
6/1/2005,2,Camb Nenrich S    ,369.75
6/1/2005,3,Cenrich Namb M    ,344.9554167
6/1/2005,3,Cenrich Namb S    ,166.96
6/1/2005,3,Cenrich Nenrich M    ,335.1356
6/1/2005,3,Cenrich Nenrich S    ,396.84
6/1/2005,4,Camb Namb M    ,274.8192308
6/1/2005,4,Camb Namb S    ,339.485
6/1/2005,4,Camb Nenrich M    ,294.9978261
6/1/2005,4,Camb Nenrich S    ,314.52
6/1/2005,5,Cenrich Namb M    ,347.7408
6/1/2005,5,Cenrich Namb S    ,318.82
6/1/2005,5,Cenrich Nenrich M    ,337.9454545
