Year,Plot,NAdd.g.m2.yr.,PercentC
1982,1,28,0.4745
1982,2,10,0.403
1982,3,80,0.3895
1982,4,28,0.4645
1982,5,0,0.6345
1982,6,3,0.544
1982,7,0,0.351
1982,8,0,0.324
1982,9,50,0.4625
1982,10,16,0.448
1982,11,16,0.5305
1982,12,10,0.5705
1982,13,16,0.3485
1982,14,6,0.3905
1982,15,3,0.352
1982,16,3,0.35675
1982,17,80,0.453
1982,18,10,0.546
1982,19,80,0.402
1982,20,10,0.381
1982,21,28,0.2555
1982,22,50,0.295
1982,23,6,0.35
1982,24,0,0.5335
1982,25,80,0.328
1982,26,28,0.2715
1982,27,0,0.2975
1982,28,6,0.261
1982,29,0,0.4005
1982,30,0,0.386
1982,31,10,0.2885
1982,32,16,0.2735
1982,33,0,0.3375
1982,34,0,0.28875
1982,35,3,0.286
1982,36,6,0.4225
1982,37,50,0.2755
1982,38,80,0.2645
1982,39,80,0.31
1982,40,0,0.291
1982,41,16,0.27
1982,42,10,0.3945
1982,43,0,0.3415
1982,44,3,0.32
1982,45,50,0.347
1982,46,3,0.2865
1982,47,28,0.37075
1982,48,28,0.455
1982,49,16,0.392
1982,50,6,0.2955
1982,51,0,0.352
1982,52,50,0.38
1982,53,50,0.4245
1982,54,6,0.6625
1985,1,16,0.73
1985,2,28,0.711
1985,3,10,0.633
1985,4,50,0.723
1985,5,80,0.696
1985,6,16,0.552
1985,7,28,0.767
1985,8,16,0.664
1985,9,0,0.762
1985,10,0,0.641
1985,11,10,0.65
1985,12,80,0.624
1985,13,80,0.857
1985,14,80,0.904
1985,15,10,0.989
1985,16,6,0.661
1985,17,28,0.747
1985,18,0,0.642
1985,19,80,0.928
1985,20,28,1.035
1985,21,0,1.193
1985,22,50,0.859
1985,23,0,0.778
1985,24,6,0.765
1985,25,50,0.983
1985,26,50,0.925
1985,27,50,0.979
1985,28,80,0.867
1985,29,3,0.662
1985,30,6,0.839
1985,31,10,0.791
1985,32,0,0.803
1985,33,6,0.889
1985,34,10,0.688
1985,35,50,0.716
1985,36,6,0.739
1985,37,10,0.596
1985,38,3,0.629
1985,39,0,0.59
1985,40,0,0.596
1985,41,28,0.873
1985,42,16,0.79
1985,43,0,0.504
1985,44,6,0.492
1985,45,3,0.641
1985,46,0,0.545
1985,47,0,0.695
1985,48,28,0.736
1985,49,3,0.719
1985,50,3,0.527
1985,51,16,0.662
1985,52,3,0.557
1985,53,0,0.549
1985,54,16,0.533
1989,1,28,0.6945
1989,2,10,0.665
1989,3,80,1.049
1989,4,28,0.7035
1989,5,0,0.9335
1989,6,3,1.023
1989,7,0,0.7765
1989,8,0,0.6595
1989,9,50,1.017
1989,10,16,0.8985
1989,11,16,0.997
1989,12,10,1.05
1989,13,16,0.50625
1989,14,6,0.4835
1989,15,3,0.509
1989,16,3,0.54
1989,17,80,0.67825
1989,18,10,0.9765
1989,19,80,0.821
1989,20,10,0.5185
1989,21,28,0.866
1989,22,50,0.491
1989,23,6,0.5815
1989,24,0,0.78
1989,25,80,0.937
1989,26,28,0.7285
1989,27,0,0.46
1989,28,6,0.5205
1989,29,0,0.5605
1989,30,0,0.4375
