"Date","Plot","Cover_Fertilizer(g/m2/year)","total_SCF"
"10/10/2000",1,"shaded_0",5.78
"10/10/2000",1,"unshaded_0",1.093
"10/10/2000",2,"shaded_50",6.214
"10/10/2000",2,"unshaded_50",2.508
"10/10/2000",3,"shaded_16",2.86
"10/10/2000",3,"unshaded_16",2.636
"10/10/2000",4,"shaded_0",3.544
"10/10/2000",4,"unshaded_0",1.595
"10/10/2000",5,"shaded_0",3.694
"10/10/2000",5,"unshaded_0",3.384
"10/10/2000",6,"shaded_16",6.238
"10/10/2000",6,"unshaded_16",8.722
"10/10/2000",7,"shaded_50",3.73
"10/10/2000",7,"unshaded_50",3.276
"10/10/2000",8,"shaded_16",3.964
"10/10/2000",8,"unshaded_16",2.842
"10/10/2000",9,"shaded_50",3.215
"10/10/2000",9,"unshaded_50",2.43
"10/10/2002",1,"shaded_0",10.234
"10/10/2002",1,"unshaded_0",7.092
"10/10/2002",2,"shaded_50",12.398
"10/10/2002",2,"unshaded_50",7.272
"10/10/2002",3,"shaded_16",9.422
"10/10/2002",3,"unshaded_16",6.542
"10/10/2002",4,"shaded_0",9.091
"10/10/2002",4,"unshaded_0",5.171
"10/10/2002",5,"shaded_0",10.794
"10/10/2002",5,"unshaded_0",6.7
"10/10/2002",6,"shaded_16",9.497
"10/10/2002",6,"unshaded_16",10.991
"10/10/2002",7,"shaded_50",7.796
"10/10/2002",7,"unshaded_50",9.918
"10/10/2002",8,"shaded_16",6.338
"10/10/2002",8,"unshaded_16",10.308
"10/10/2002",9,"shaded_50",7.835
"10/10/2002",9,"unshaded_50",8.531
"10/2/2003",1,"shaded_0",7.429
"10/2/2003",1,"unshaded_0",1.986
"10/2/2003",2,"shaded_50",10.053
"10/2/2003",2,"unshaded_50",2.381
"10/2/2003",3,"shaded_16",8.231
"10/2/2003",3,"unshaded_16",5.513
"10/2/2003",4,"shaded_0",6.27
"10/2/2003",4,"unshaded_0",3.287
"10/2/2003",5,"shaded_0",6.441
"10/2/2003",5,"unshaded_0",4.941
"10/2/2003",6,"shaded_16",8.382
"10/2/2003",6,"unshaded_16",7.021
"10/2/2003",7,"shaded_50",5.447
"10/2/2003",7,"unshaded_50",4.879
"10/2/2003",8,"shaded_16",6.51
"10/2/2003",8,"unshaded_16",4.522
"10/2/2003",9,"shaded_50",5.591
"10/2/2003",9,"unshaded_50",3.678
"10/9/2001",1,"shaded_0",12.279
"10/9/2001",1,"unshaded_0",5.525
"10/9/2001",2,"shaded_50",11.515
"10/9/2001",2,"unshaded_50",6.648
"10/9/2001",3,"shaded_16",7.033
"10/9/2001",3,"unshaded_16",8.57
"10/9/2001",4,"shaded_0",7.381
"10/9/2001",4,"unshaded_0",5.389
"10/9/2001",5,"shaded_0",6.664
"10/9/2001",5,"unshaded_0",7.595
"10/9/2001",6,"shaded_16",8.399
