"","year","treatment","plot","soil_res"
"1",1991,"C",2,111.235
"2",1991,"C",4,123.604583333333
"3",1991,"C",7,130.002916666667
"4",1991,"C",11,138.034166666667
"5",1991,"C",14,122.256666666667
"6",1991,"C",18,145.298333333333
"7",1991,"DC",3,141.965833333333
"8",1991,"DC",5,162.558333333333
"9",1991,"DC",9,136.03125
"10",1991,"DC",10,137.1075
"11",1991,"DC",13,160.688333333333
"12",1991,"DC",17,131.3375
"13",1991,"H",1,134.05
"14",1991,"H",6,199.27375
"15",1991,"H",8,172.97625
"16",1991,"H",12,203.255833333333
"17",1991,"H",15,254.256666666667
"18",1991,"H",16,190.537727272727
"19",1992,"C",2,76.3496875
"20",1992,"C",4,87.8228125
"21",1992,"C",7,100.146875
"22",1992,"C",11,100.8046875
"23",1992,"C",14,94.9253125
"24",1992,"C",18,99.736875
"25",1992,"DC",3,98.585
"26",1992,"DC",5,112.3175
"27",1992,"DC",9,99.28875
"28",1992,"DC",10,103.4765625
"29",1992,"DC",13,112.3203125
"30",1992,"DC",17,93.081875
"31",1992,"H",1,93.37625
"32",1992,"H",6,117.159375
"33",1992,"H",8,100.9290625
"34",1992,"H",12,120.608125
"35",1992,"H",15,149.480625
"36",1992,"H",16,122.573125
"37",1993,"C",2,89.1463636363636
"38",1993,"C",4,101.981818181818
"39",1993,"C",7,100.066818181818
"40",1993,"C",11,110.739545454545
"41",1993,"C",14,100.411818181818
"42",1993,"C",18,101.446363636364
"43",1993,"DC",3,104.220909090909
"44",1993,"DC",5,111.170454545455
"45",1993,"DC",9,95.5640909090909
"46",1993,"DC",10,102.233636363636
"47",1993,"DC",13,123.961363636364
"48",1993,"DC",17,107.075909090909
"49",1993,"H",1,99.9386363636364
"50",1993,"H",6,128.585909090909
"51",1993,"H",8,104.365454545455
"52",1993,"H",12,122.869090909091
"53",1993,"H",15,168.442727272727
"54",1993,"H",16,153.601363636364
"55",1994,"C",2,122.639375
"56",1994,"C",4,128.158125
"57",1994,"C",7,128.33
"58",1994,"C",11,132.668125
"59",1994,"C",14,120.26875
"60",1994,"C",18,140.105625
"61",1994,"DC",3,123.103125
"62",1994,"DC",5,132.1325
"63",1994,"DC",9,129.750625
"64",1994,"DC",10,109.6775
"65",1994,"DC",13,136.498125
"66",1994,"DC",17,117.505625
"67",1994,"H",1,114.458125
"68",1994,"H",6,144.681875
"69",1994,"H",8,132.086875
"70",1994,"H",12,162.053125
"71",1994,"H",15,172.981875
"72",1994,"H",16,164.4775
"73",1995,"C",2,61.0566666666667
"74",1995,"C",4,58.3633333333333
"75",1995,"C",7,99.1266666666667
"76",1995,"C",11,96.3533333333333
"77",1995,"C",14,78.0333333333333
"78",1995,"C",18,112.3375
"79",1995,"DC",3,72.1933333333333
"80",1995,"DC",5,91.6333333333333
"81",1995,"DC",9,76.0233333333333
"82",1995,"DC",10,84.2066666666667
"83",1995,"DC",13,102.650833333333
"84",1995,"DC",17,87.5933333333333
"85",1995,"H",1,78.7133333333333
"86",1995,"H",6,104.883333333333
"87",1995,"H",8,66.8366666666667
"88",1995,"H",12,131.939166666667
"89",1995,"H",15,112.015
"90",1995,"H",16,111.2
"91",1996,"C",2,94.7173333333333
"92",1996,"C",4,88.536
"93",1996,"C",7,107.502666666667
"94",1996,"C",11,89.8206666666667
"95",1996,"C",14,62.0253333333333
"96",1996,"C",18,123.988
"97",1996,"DC",3,80.1193333333333
"98",1996,"DC",5,101.039333333333
"99",1996,"DC",9,99.938
"100",1996,"DC",10,85.4386666666667
"101",1996,"DC",13,84.72
"102",1996,"DC",17,90.508
"103",1996,"H",1,87.6013333333333
"104",1996,"H",6,123.415333333333
"105",1996,"H",8,89.806
"106",1996,"H",12,127.543333333333
"107",1996,"H",15,113.214
"108",1996,"H",16,105.703333333333
"109",1997,"C",2,102.829375
"110",1997,"C",4,95.23125
"111",1997,"C",7,101.825
"112",1997,"C",11,99.62625
"113",1997,"C",14,78.59375
"114",1997,"C",18,125.19625
"115",1997,"DC",3,86.95375
"116",1997,"DC",5,105.929375
"117",1997,"DC",9,105.94375
"118",1997,"DC",10,104.0825
"119",1997,"DC",13,108.9925
"120",1997,"DC",17,94.910625
"121",1997,"H",1,91.701875
"122",1997,"H",6,123.008125
"123",1997,"H",8,85.48125
"124",1997,"H",12,114.48875
"125",1997,"H",15,110.96875
"126",1997,"H",16,119.034375
"127",1998,"C",2,142.525
"128",1998,"C",4,140.504166666667
"129",1998,"C",7,175.571666666667
