"","BLOCK","PLOT","treatment","START_DATE","HEIGHT_mean","HEIGHT_sd","DIAMETER_mean","DIAMETER_sd"
"1","A",1,"Control",2003-06-05,25.3553459119497,27.37356054219,0.300723270440252,0.319524161434922
"2","A",1,"Control",2003-10-06,24.0656473829201,25.617455338479,0.294423076923077,0.336343893139469
"3","A",1,"Control",2004-06-22,24.6472333333333,25.4961926204552,0.443766666666667,1.68838669870682
"4","A",1,"Control",2005-08-08,22.3154607508532,24.5988729599548,0.473378839590444,1.61631721903975
"5","A",1,"Control",2006-07-08,19.7167553191489,21.2527070866428,0.28875,0.285316724594499
"6","A",1,"Control",2007-10-24,18.629179331307,20.9477252882331,0.296048632218845,0.290142223440193
"7","A",1,"Control",2008-08-11,16.1599499374218,12.6955273239271,0.280287859824781,0.661923446376132
"8","A",1,"Control",2009-09-11,17.5963,13.7301531499485,0.2689,0.268202264922986
"9","A",1,"Control",2010-08-20,17.3575063613232,14.7751877950214,0.288346055979644,0.261783643221133
"10","A",1,"Control",2011-09-26,16.6715867158672,16.5615318688634,0.312555555555556,0.30306327425675
"11","A",1,"Control",2012-09-28,18.9647577092511,18.9129021445555,0.307577092511013,0.348442599486116
"12","A",1,"Control",2013-09-30,23.0337552742616,20.8283674264624,0.317679324894515,0.369181547989351
"13","A",1,"Control",2014-09-09,18.5687830687831,17.0383956823293,0.276111111111111,0.307846905237887
"14","A",1,"Control",2015-09-10,18.9586956521739,18.5552823972438,0.28004347826087,0.365085977582199
"15","A",1,"Control",2016-09-12,20.9022082018927,16.4016023119558,0.264668769716088,0.374621708860326
"16","A",1,"Control",2017-10-12,19.8409090909091,17.5312855782448,0.276647727272727,0.384643227338871
"17","A",1,"Control",2018-09-21,31.3186274509804,26.8333930273095,0.493024390243902,0.594963851587907
"18","A",1,"Control",2019-09-20,47.2138728323699,51.3614124625338,0.66,0.87022050132724
"19","A",1,"Control",2021-09-13,60.6312849162011,68.5824225197448,0.79877094972067,1.03806845699045
"20","A",2,"Trim + clear",2003-06-05,21.4420654911839,27.3234076354667,0.338891687657431,1.24914669090965
"21","A",2,"Trim + clear",2003-10-06,20.7273838630807,25.9238540551058,0.27669099756691,0.51162414690791
"22","A",2,"Trim + clear",2004-06-22,22.8457928802589,29.5708682401522,0.329870550161812,0.589960363025839
"23","A",2,"Trim + clear",2005-08-08,27.0786604361371,24.9015621325793,0.278473520249221,0.431757833641537
"24","A",2,"Trim + clear",2006-07-08,41.6207401032702,40.1786978767604,0.599569707401033,5.04421918916319
"25","A",2,"Trim + clear",2007-10-24,46.55,46.1250492364446,0.558466981132075,0.770470525755838
"26","A",2,"Trim + clear",2008-08-11,41.8587387387387,52.8730347821137,0.515675675675676,0.751319443016212
"27","A",2,"Trim + clear",2009-09-11,31.7949101796407,46.2016780703219,0.429011976047904,0.696507401666342
"28","A",2,"Trim + clear",2010-08-20,33.824925093633,48.5978558029419,0.467977528089888,0.765936153255395
"29","A",2,"Trim + clear",2011-09-26,34.5504222222222,53.0025324440101,0.4754,0.830565559856951
"30","A",2,"Trim + clear",2012-09-28,36.5046153846154,52.954885384069,0.498276923076923,0.8249677043378
"31","A",2,"Trim + clear",2013-09-30,39.7238493723849,57.9375850079087,0.54489539748954,0.976996710867521
"32","A",2,"Trim + clear",2014-09-09,31.0453074433657,47.2967752976645,0.441132686084142,1.05046511584629
"33","A",2,"Trim + clear",2015-09-10,30.8969298245614,49.8915046598971,0.390438596491228,0.698148451642042
"34","A",2,"Trim + clear",2016-09-12,27.4771573604061,44.8558432027444,0.44507614213198,1.02079431821066
"35","A",2,"Trim + clear",2017-10-12,35.0081967213115,44.1635683004365,0.667540983606557,1.68054718840591
"36","A",2,"Trim + clear",2018-09-21,50.4074074074074,49.4647916842134,0.589925925925926,0.898035581099015
"37","A",2,"Trim + clear",2019-09-20,60.566265060241,81.3900735174616,0.669819277108434,0.983196686689418
"38","A",2,"Trim + clear",2021-09-13,58.2486486486486,95.3624824300896,0.676972972972973,1.13480774292212
"39","A",3,"Trim + debris",2003-06-05,24.5683823529412,23.5348911184349,0.426494464944649,1.63451677052192
"40","A",3,"Trim + debris",2003-10-06,24.4250871080139,24.2214534864422,0.291284722222222,0.300871119993122
"41","A",3,"Trim + debris",2004-06-22,23.0419141914191,22.9480811711202,0.295445544554455,0.253769690466808
"42","A",3,"Trim + debris",2005-08-08,33.65625,32.5967272434539,0.503818181818182,0.537058141928272
"43","A",3,"Trim + debris",2006-07-08,45.1222222222222,43.6906458447582,0.530666666666667,0.540294967296007
"44","A",3,"Trim + debris",2007-10-24,50.1134020618557,63.1730223751701,0.596734693877551,0.640867285278806
"45","A",3,"Trim + debris",2008-08-11,49.4398148148148,73.411072708598,1.51657407407407,9.01432973047852
"46","A",3,"Trim + debris",2009-09-11,36.484238410596,71.1740144756693,0.480805369127517,0.62732757594302
"47","A",3,"Trim + debris",2010-08-20,35.910447761194,74.4451620030655,0.495481481481481,0.630585748212355
"48","A",3,"Trim + debris",2011-09-26,29.6928571428571,58.2953774132154,0.454928571428571,0.585511516426832
