"","Year","Creek","Branch","shoot_mass"
"1",2004,"CL","L",6.18027040427155
"2",2004,"CL","R",8.33640298764038
"3",2004,"NE","L",7.45004550724638
"4",2004,"NE","R",8.56714666666667
"5",2004,"SW","L",7.23179839262187
"6",2004,"SW","R",9.01112511732229
"7",2004,"WE","L",6.0067311117385
"8",2004,"WE","R",5.40687942583986
"9",2005,"CL","L",8.55511384057971
"10",2005,"CL","R",10.0995813128123
"11",2005,"NE","L",8.85484164251208
"12",2005,"NE","R",9.90594282608696
"13",2005,"SW","L",7.52986980449234
"14",2005,"SW","R",8.11301446507516
"15",2005,"WE","L",7.92669593511852
"16",2005,"WE","R",7.28804507435131
"17",2006,"CL","L",6.56283294102948
"18",2006,"CL","R",8.70489390229128
"19",2006,"NE","L",8.25988958498773
"20",2006,"NE","R",6.96733375935122
"21",2006,"SW","L",8.54285710510812
"22",2006,"SW","R",8.51795655611233
"23",2006,"WE","L",8.67533429107587
"24",2006,"WE","R",8.37662970920088
"25",2007,"SW","L",8.24084013419216
"26",2007,"SW","R",8.63473787274454
"27",2007,"WE","L",8.05588666666667
"28",2007,"WE","R",6.6370193432842
"29",2008,"SW","L",8.28647054998142
"30",2008,"SW","R",6.86376645299145
"31",2008,"WE","L",5.95163420289855
"32",2008,"WE","R",4.90223807453416
"33",2009,"CL","L",6.84927791666667
"34",2009,"NE","R",7.19842109810479
"35",2009,"SW","L",8.03026769230769
"36",2009,"SW","R",7.31601880952381
"37",2009,"WE","L",6.45907049242424
"38",2009,"WE","R",6.46262
"39",2010,"CL","R",7.88887474747475
"40",2010,"NE","L",6.68515011695906
"41",2010,"SW","L",7.52893222222222
"42",2010,"SW","R",9.13376229925578
"43",2010,"WE","L",7.36316665129556
"44",2010,"WE","R",5.57021678932179
"45",2011,"CL","R",7.47144166666667
"46",2011,"NE","L",7.86089333333333
"47",2011,"SW","L",7.34056
"48",2011,"SW","R",8.14041101449275
"49",2011,"WE","L",7.20692722222222
"50",2011,"WE","R",6.71509333333333
"51",2012,"CL","R",5.64140944444444
"52",2012,"NE","L",5.43662888888889
"53",2012,"SW","L",6.00497333333333
"54",2012,"SW","R",5.84102666666667
"55",2012,"WE","L ",5.75301333333333
"56",2012,"WE","R",5.48841333333333
"57",2013,"CL","R",7.01392571365832
"58",2013,"NE","L",7.1392332536361
"59",2013,"SW","L",5.37418703024029
"60",2013,"SW","R",4.99538326201978
"61",2013,"WE","L",5.5567365393061
"62",2013,"WE","R",5.85643936181032
"63",2014,"CL","R",6.66654666666667
"64",2014,"NE","L",6.89778666666667
"65",2014,"SW","L",6.75621888888889
"66",2014,"SW","R",6.07840833333333
"67",2014,"WE","L",5.58822
"68",2014,"WE","R",5.84253
"69",2015,"CL","R",6.51948
"70",2015,"NE","L",5.62744
"71",2015,"SW","L",6.44153333333333
"72",2015,"SW","R",7.07757333333333
"73",2015,"WE","L",6.91929333333333
"74",2015,"WE","R",5.922
"75",2016,"CL","R",7.33137833333333
"76",2016,"NE","L",4.68968811594203
"77",2016,"SW","L",8.42049520467836
"78",2016,"SW","R",6.36793333333333
"79",2016,"WE","L",4.95785277777778
"80",2016,"WE","R",5.33942666666667
"81",2016,"WE ","L",0.0803627777777778
"82",2016,"WE ","R",0.0673333333333333
"83",2017,"CL","R",6.38833333333333
"84",2017,"NE","L",5.88853333333333
"85",2017,"SW","L",7.274
"86",2017,"SW","R",7.73001333333333
"87",2017,"WE","L",6.48084
"88",2017,"WE","R",4.90844
"89",2018,"CL","R",5.45678666666667
"90",2018,"NE","L",3.85178666666667
"91",2018,"SW","L",4.99814666666667
"92",2018,"SW","R",6.25699191919192
"93",2018,"WE","L",6.63918666666667
"94",2018,"WE","R",3.87918666666667
"95",2019,"CL","R",6.01852
"96",2019,"NE","L",5.40221333333333
"97",2019,"SW","L",6.78726666666667
"98",2019,"SW","R",7.12505333333333
"99",2019,"WE","L",5.37044
"100",2019,"WE","R",5.41186666666667
"101",2020,"CL","R",5.60082666666667
"102",2020,"NE","L",5.53736
"103",2020,"SW","L",5.86881333333333
"104",2020,"SW","R",5.24438666666667
"105",2020,"WE","R",5.33286666666667
