"EOYBYear","locationName","marshRegion_sd","marshRegion_mean","marshRegion_sum","isExperiment_sd","isExperiment_mean","isExperiment_sum","transect_sd","transect_mean","transect_sum","locationID_sd","locationID_mean","locationID_sum","ITISID_sd","ITISID_mean","ITISID_sum","liveMass_sd","liveMass_mean","liveMass_sum","deadMass_sd","deadMass_mean","deadMass_sum","unknownMass_sd","unknownMass_mean","unknownMass_sum","totalMass_sd","totalMass_mean","totalMass_sum","latitude_sd","latitude_mean","latitude_sum","longitude_sd","longitude_mean","longitude_sum"
1998,"(B)Border Control",1.58741582191761,2.95744680851064,139,0,1,47,0.505291152639911,1.48936170212766,70,0,6,282,307.722311957706,40960.0212765957,1925121,17.9535388120056,24.7753191489362,1164.44,22.8236471979251,27.7263829787234,1303.14,0,0,0,36.6011999280107,52.5017021276596,2467.58,0,37.46,1760.62,0,-75.833,-3564.151
1998,"(C)Control Plot",1.29291987031091,3,204,0,1,68,0.924142105077744,1.83823529411765,125,0,8,544,306.631259606496,40957.5441176471,2785113,22.601497597653,24.6375,1675.35,17.7694280795888,26.5444117647059,1805.02,0,0,0,36.8682287790657,51.1819117647059,3480.37,0,37.46,2547.28,0,-75.833,-5156.644
1998,"(P)Pumped Plot",1.57516964809822,2.91304347826087,134,0,1,46,0.505525029603437,1.5,69,0,7,322,307.573617910871,40953.2608695652,1883850,25.3063696681328,30.2023260869565,1389.307,20.1373896192215,27.825652173913,1279.98,0,0,0,40.9907724036028,58.0279782608696,2669.287,0,37.46,1723.16,0,-75.833,-3488.318
1999,"(B)Border Control",1.24434203367651,3.5,112,0,1,32,0.507007348677416,1.46875,47,0,6,192,308.767475344547,40947.46875,1310319,10.7609186064217,15.0971875,483.11,0,0,0,0,0,0,10.7609186064217,15.0971875,483.11,0,37.46,1198.72,0,-75.833,-2426.656
1999,"(C)Control Plot",1.41380023091246,3.03389830508475,179,0,1,59,0.504219484089611,1.49152542372881,88,0,8,472,307.069665810573,40961.3389830508,2416719,12.5567287374854,17.3633898305085,1024.44,0,0,0,0,0,0,12.5567287374854,17.3633898305085,1024.44,0,37.46,2210.14,0,-75.833,-4474.147
1999,"(P)Pumped Plot",1.26491106406735,3.66666666666667,132,0,1,36,0.50709255283711,1.5,54,0,7,252,308.8193646778,40966.5,1474794,8.78246092622307,11.2547222222222,405.17,0,0,0,0,0,0,8.78246092622307,11.2547222222222,405.17,0,37.46,1348.56,0,-75.833,-2729.988
2000,"(B)Border Control",1.26990087067608,3.60869565217391,83,0,1,23,0.510753918455249,1.47826086956522,34,0,6,138,311.049136339247,40953.2608695652,941925,14.3602986828572,16.7134782608696,384.41,15.9335680036853,17.494347826087,402.37,0,0,0,26.8053525788688,34.2078260869565,786.78,0,37.46,861.58,0,-75.833,-1744.159
2000,"(C)Control Plot",1.44829588676132,2.95121951219512,121,0,1,41,0.506060827347474,1.48780487804878,61,0,8,328,308.379137276977,40966.5,1638660,16.6722868930421,18.9643902439024,777.54,11.9998778703135,12.7375609756098,522.24,0,0,0,25.0728993356883,31.7019512195122,1299.78,0,37.46,1535.86,0,-75.833,-3109.153
2000,"(P)Pumped Plot",1.26217019180204,3.54545454545455,78,0,1,22,0.511766315719159,1.5,33,0,7,154,310.375139585514,40938.8181818182,900654,17.9902294369695,21.5113636363636,473.25,20.1876279029093,21.6781818181818,476.92,0,0,0,35.7842891141154,43.1895454545455,950.17,0,37.46,824.12,0,-75.833,-1668.326
2001,"(B)Border Control",1.27404411454121,3.66666666666667,88,0,1,24,0.510753918455249,1.5,36,0,6,144,311.049136339247,40966.5,983196,15.5588830119553,13.0266666666667,312.64,22.2026667635454,24.28125,582.75,0,0,0,32.2964216592605,37.3079166666667,895.39,0,37.46,899.04,0,-75.833,-1819.992
