"window_bin","n_treatments","mean","set"
3,16,0.0274950497440355,"Directional: trend detected (correct sign)"
4,16,0.0846086205461205,"Directional: trend detected (correct sign)"
5,16,0.177256944444444,"Directional: trend detected (correct sign)"
6,15,0.155339541926978,"Directional: trend detected (correct sign)"
7,15,0.202880174291939,"Directional: trend detected (correct sign)"
8,15,0.294357110660356,"Directional: trend detected (correct sign)"
9,15,0.321813319530711,"Directional: trend detected (correct sign)"
10,15,0.359070065736732,"Directional: trend detected (correct sign)"
11,14,0.36726517530089,"Directional: trend detected (correct sign)"
12,12,0.254725274725275,"Directional: trend detected (correct sign)"
13,12,0.261339902787271,"Directional: trend detected (correct sign)"
14,12,0.290733702690224,"Directional: trend detected (correct sign)"
15,12,0.324898494751436,"Directional: trend detected (correct sign)"
16,12,0.386153198653199,"Directional: trend detected (correct sign)"
17,11,0.332683982683983,"Directional: trend detected (correct sign)"
18,11,0.375332270069112,"Directional: trend detected (correct sign)"
19,10,0.353782051282051,"Directional: trend detected (correct sign)"
20,10,0.453683473389356,"Directional: trend detected (correct sign)"
21,10,0.512121212121212,"Directional: trend detected (correct sign)"
22,9,0.537037037037037,"Directional: trend detected (correct sign)"
23,10,0.660714285714286,"Directional: trend detected (correct sign)"
24,10,0.842307692307692,"Directional: trend detected (correct sign)"
25,7,0.836734693877551,"Directional: trend detected (correct sign)"
26,7,0.857142857142857,"Directional: trend detected (correct sign)"
27,6,0.833333333333333,"Directional: trend detected (correct sign)"
28,6,0.833333333333333,"Directional: trend detected (correct sign)"
29,6,1,"Directional: trend detected (correct sign)"
30,6,1,"Directional: trend detected (correct sign)"
31,6,1,"Directional: trend detected (correct sign)"
32,1,1,"Directional: trend detected (correct sign)"
33,1,1,"Directional: trend detected (correct sign)"
34,1,1,"Directional: trend detected (correct sign)"
35,1,1,"Directional: trend detected (correct sign)"
36,1,1,"Directional: trend detected (correct sign)"
3,16,0.0137969519704433,"Directional: significant, wrong sign"
4,16,0.011715367965368,"Directional: significant, wrong sign"
5,16,0.0133618551587302,"Directional: significant, wrong sign"
6,15,0.0155021548909495,"Directional: significant, wrong sign"
7,15,0.021037037037037,"Directional: significant, wrong sign"
8,15,0.0163736759071445,"Directional: significant, wrong sign"
9,15,0.0254399585921325,"Directional: significant, wrong sign"
10,15,0.0278563411896745,"Directional: significant, wrong sign"
11,14,0.0354526425954997,"Directional: significant, wrong sign"
12,12,0.0447435897435897,"Directional: significant, wrong sign"
13,12,0.0383771929824561,"Directional: significant, wrong sign"
14,12,0.0352803396281657,"Directional: significant, wrong sign"
15,12,0.0162655971479501,"Directional: significant, wrong sign"
16,12,0.00793650793650794,"Directional: significant, wrong sign"
17,11,0.00909090909090909,"Directional: significant, wrong sign"
18,11,0.00478468899521531,"Directional: significant, wrong sign"
19,10,0,"Directional: significant, wrong sign"
20,10,0,"Directional: significant, wrong sign"
21,10,0,"Directional: significant, wrong sign"
22,9,0,"Directional: significant, wrong sign"
23,10,0,"Directional: significant, wrong sign"
24,10,0,"Directional: significant, wrong sign"
25,7,0,"Directional: significant, wrong sign"
26,7,0,"Directional: significant, wrong sign"
27,6,0,"Directional: significant, wrong sign"
28,6,0,"Directional: significant, wrong sign"
29,6,0,"Directional: significant, wrong sign"
30,6,0,"Directional: significant, wrong sign"
31,6,0,"Directional: significant, wrong sign"
32,1,0,"Directional: significant, wrong sign"
33,1,0,"Directional: significant, wrong sign"
34,1,0,"Directional: significant, wrong sign"
35,1,0,"Directional: significant, wrong sign"
36,1,0,"Directional: significant, wrong sign"
3,10,0.0297063653047426,"Directional, records >= 20 yr: trend detected"
4,10,0.0574891774891775,"Directional, records >= 20 yr: trend detected"
5,10,0.100277777777778,"Directional, records >= 20 yr: trend detected"
6,10,0.131494161375316,"Directional, records >= 20 yr: trend detected"
7,10,0.184320261437909,"Directional, records >= 20 yr: trend detected"
8,10,0.258202332657201,"Directional, records >= 20 yr: trend detected"
9,10,0.286886645962733,"Directional, records >= 20 yr: trend detected"
10,10,0.288605098605099,"Directional, records >= 20 yr: trend detected"
11,10,0.301671245421245,"Directional, records >= 20 yr: trend detected"
12,10,0.291384615384615,"Directional, records >= 20 yr: trend detected"
13,10,0.296941216678059,"Directional, records >= 20 yr: trend detected"
14,10,0.308880443228269,"Directional, records >= 20 yr: trend detected"
15,10,0.314878193701723,"Directional, records >= 20 yr: trend detected"
16,10,0.330050505050505,"Directional, records >= 20 yr: trend detected"
17,10,0.315952380952381,"Directional, records >= 20 yr: trend detected"
18,10,0.312865497076023,"Directional, records >= 20 yr: trend detected"
19,10,0.353782051282051,"Directional, records >= 20 yr: trend detected"
20,10,0.453683473389356,"Directional, records >= 20 yr: trend detected"
21,10,0.512121212121212,"Directional, records >= 20 yr: trend detected"
22,9,0.537037037037037,"Directional, records >= 20 yr: trend detected"
23,10,0.660714285714286,"Directional, records >= 20 yr: trend detected"
24,10,0.842307692307692,"Directional, records >= 20 yr: trend detected"
25,7,0.836734693877551,"Directional, records >= 20 yr: trend detected"
26,7,0.857142857142857,"Directional, records >= 20 yr: trend detected"
27,6,0.833333333333333,"Directional, records >= 20 yr: trend detected"
28,6,0.833333333333333,"Directional, records >= 20 yr: trend detected"
29,6,1,"Directional, records >= 20 yr: trend detected"
30,6,1,"Directional, records >= 20 yr: trend detected"
31,6,1,"Directional, records >= 20 yr: trend detected"
32,1,1,"Directional, records >= 20 yr: trend detected"
33,1,1,"Directional, records >= 20 yr: trend detected"
34,1,1,"Directional, records >= 20 yr: trend detected"
35,1,1,"Directional, records >= 20 yr: trend detected"
36,1,1,"Directional, records >= 20 yr: trend detected"
3,53,0.0486202648287879,"Non-directional: spurious significant trend"
4,51,0.0351625498684322,"Non-directional: spurious significant trend"
5,48,0.0385683537547573,"Non-directional: spurious significant trend"
6,45,0.0452374169040836,"Non-directional: spurious significant trend"
7,38,0.0549917686372795,"Non-directional: spurious significant trend"
8,36,0.0612256411888765,"Non-directional: spurious significant trend"
9,39,0.0791062801932367,"Non-directional: spurious significant trend"
10,36,0.040783417744202,"Non-directional: spurious significant trend"
11,24,0.103140262515263,"Non-directional: spurious significant trend"
12,22,0.0853119103119103,"Non-directional: spurious significant trend"
13,24,0.071440438216754,"Non-directional: spurious significant trend"
14,17,0.0589423648247178,"Non-directional: spurious significant trend"
15,19,0.0995872033023736,"Non-directional: spurious significant trend"
16,19,0.08957336523126,"Non-directional: spurious significant trend"
17,19,0.093859649122807,"Non-directional: spurious significant trend"
18,15,0.0148148148148148,"Non-directional: spurious significant trend"
19,8,0.03125,"Non-directional: spurious significant trend"
20,8,0.0104166666666667,"Non-directional: spurious significant trend"
21,7,0.0238095238095238,"Non-directional: spurious significant trend"
22,5,0.04,"Non-directional: spurious significant trend"
23,7,0,"Non-directional: spurious significant trend"
24,7,0,"Non-directional: spurious significant trend"
25,5,0,"Non-directional: spurious significant trend"
26,4,0,"Non-directional: spurious significant trend"
27,2,0,"Non-directional: spurious significant trend"
28,2,0,"Non-directional: spurious significant trend"
29,2,0,"Non-directional: spurious significant trend"
30,2,0,"Non-directional: spurious significant trend"
31,2,0,"Non-directional: spurious significant trend"
33,1,0,"Non-directional: spurious significant trend"
