"source","site_abbr","Treatment","trend_class","n_total","record_years","n_timepoints","window_years","n_windows","p_same_sign","p_opposite_sign","p_any","directional","window_bin"
"ARC_vascular_biomass_1983-2015.csv","ARC","NP","stable",6,33,3,11.9993155373032,4,0,0,0,FALSE,12
"ARC_vascular_biomass_1983-2015.csv","ARC","NP","stable",6,33,4,17,3,0.333333333333333,0,0.333333333333333,FALSE,17
"ARC_vascular_biomass_1983-2015.csv","ARC","NP","stable",6,33,5,25,2,0,0,0,FALSE,25
"ARC_vascular_biomass_1983-2015.csv","ARC","NP","stable",6,33,6,33,1,0,0,0,FALSE,33
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,3,2.99863107460643,11,0.0909090909090909,0,0.0909090909090909,FALSE,3
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,4,4.00068446269678,10,0.1,0.1,0.2,FALSE,4
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,5,5,9,0.222222222222222,0.111111111111111,0.333333333333333,FALSE,5
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,6,5.99931553730322,8,0.375,0.125,0.5,FALSE,6
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,7,6.99863107460643,7,0.285714285714286,0.142857142857143,0.428571428571429,FALSE,7
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,8,8.00068446269678,6,0.333333333333333,0,0.333333333333333,FALSE,8
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,9,9,5,0.2,0,0.2,FALSE,9
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,10,9.99931553730322,4,0,0,0,FALSE,10
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,11,10.9986310746064,3,0,0,0,FALSE,11
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,12,11.9993155373032,2,0,0,0,FALSE,12
"BNZ_NEE_2009-2021.csv","BNZ","C S","stable",13,13,13,13,1,0,0,0,FALSE,13
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,3,2.99863107460643,11,0,0,0,FALSE,3
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,4,4.00068446269678,10,0.2,0,0.2,FALSE,4
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,5,5,9,0.333333333333333,0,0.333333333333333,FALSE,5
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,6,5.99931553730322,8,0.375,0,0.375,FALSE,6
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,7,6.99863107460643,7,0.428571428571429,0,0.428571428571429,FALSE,7
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,8,8.00068446269678,6,0.333333333333333,0,0.333333333333333,FALSE,8
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,9,9,5,0.2,0,0.2,FALSE,9
"BNZ_NEE_2009-2021.csv","BNZ","W C","variable",13,13,10,9.99931553730322,4,0,0,0,FALSE,10
