"site_abbr","source","treatment","n_timepoints","n_slope_changes","change_years","segment_slopes","segment_p_values","model_p_values","bandwidth"
"ARC","ARC_Biomass_1982-2015_processed.csv","NP",5,0,NA,"0.026596","0.2979","0.2979",5
"BNZ","BNZ_NEE_2009-2021.csv","C S",12,1,"2011","-0.431876; 0.075806","0.0247; 0.0649","0.0247; 0.0649",5
"BNZ","BNZ_NEE_2009-2021.csv","W C",12,0,NA,"-0.068126","0.3848","0.3848",5
"BNZ","BNZ_NEE_2009-2021.csv","W S",12,0,NA,"0.073487","0.445","0.445",5
"CAP","CAP_Biomass_2006-2024_Processed.csv","N",11,0,NA,"-0.013726","0.4669","0.4669",5
"CAP","CAP_Biomass_2006-2024_Processed.csv","NP",12,2,"2013; 2019","0.047595; -0.23391; -0.176289","0.8379; 0.1373; 0.3753","0.8379; 0.1373; 0.3753",5
"CAP","CAP_Biomass_2006-2024_Processed.csv","P",12,0,NA,"-0.005244","0.7591","0.7591",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb",14,0,NA,"0.0339","0.3906","0.3906",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb",10,0,NA,"-0.002137","0.9655","0.9655",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv",10,0,NA,"-0.066248","0.3295","0.3295",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg",5,0,NA,"0.013874","0.8129","0.8129",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTamb",9,0,NA,"-0.019641","0.7229","0.7229",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTelv",9,0,NA,"-0.01039","0.8439","0.8439",5
"CDR","CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M HTelv",9,0,NA,"-0.194572","0.0155","0.0155",5
