"Year","Treatment","Biomass","block","n_quadrats"
1982,"Control",311.62,"block 1",5
1982,"Control",420.985,"block 2",5
1982,"Control",309.695,"block 3",5
1982,"Control",468.6,"block 4",5
1983,"Control",354.27,"block 1",5
1983,"Control",230.04,"block 2",5
1983,"Control",333.095,"block 3",5
1983,"Control",338.16,"block 4",5
1983,"GH",445,"block 1",5
1983,"GH",352.275,"block 2",5
1983,"GH",314.31,"block 3",5
1983,"GH",166.3,"block 4",5
1983,"GHNP",368.955,"block 1",5
1983,"GHNP",564.295,"block 2",5
1983,"GHNP",460.08,"block 3",5
1983,"GHNP",420.04,"block 4",5
1983,"NP",479.95,"block 1",5
1983,"NP",410.475,"block 2",5
1983,"NP",446.15,"block 3",5
1983,"NP",337.13,"block 4",5
1983,"SH",225.435,"block 1",5
1983,"SH",200.325,"block 2",5
1983,"SH",300.96,"block 3",5
1983,"SH",330.905,"block 4",5
1984,"Control",289.94,"block 1",5
1984,"Control",246.79,"block 2",5
1984,"Control",244.56,"block 3",5
1984,"Control",247.955,"block 4",5
1984,"NP",246.66,"block 1",5
1984,"NP",442,"block 2",5
1984,"NP",380.235,"block 3",5
1984,"NP",358.705,"block 4",5
1989,"Control",537.975,"block 1",5
1989,"Control",466.755,"block 2",5
1989,"Control",572.885,"block 3",5
1989,"Control",559.07,"block 4",5
1989,"GH",419.545,"block 1",5
1989,"GH",369.935,"block 2",5
1989,"GH",411.985,"block 3",5
1989,"GH",486.01,"block 4",5
1989,"GHNP",398.18,"block 1",5
1989,"GHNP",606.565,"block 2",5
1989,"GHNP",646.785,"block 3",5
1989,"GHNP",549.535,"block 4",5
1989,"NP",563.905,"block 1",5
1989,"NP",475.335,"block 2",5
1989,"NP",536.665,"block 3",5
1989,"NP",597.405,"block 4",5
1989,"SH",415.285,"block 1",5
1989,"SH",354.25,"block 2",5
1989,"SH",358.14,"block 3",5
1989,"SH",280.295,"block 4",5
1995,"Control",402.225,"block 1",5
1995,"Control",473.79,"block 2",5
1995,"Control",428.485,"block 3",5
1995,"Control",470.07,"block 4",5
1995,"NP",690.11,"block 1",5
1995,"NP",831.935,"block 2",5
1995,"NP",635.51,"block 3",5
1995,"NP",1058.17,"block 4",5
2000,"Control",827.058,"block 1",5
2000,"Control",605.46,"block 2",5
2000,"Control",544.09,"block 3",5
2000,"Control",714.945,"block 4",5
2000,"NP",804.545357142857,"block 1",7
2000,"NP",595.064285714286,"block 2",7
2000,"NP",992.360714285714,"block 3",7
2000,"NP",938.392857142857,"block 4",7
2015,"Control",461.846875,"block 1",8
2015,"Control",597.788125,"block 2",8
2015,"Control",397.0315625,"block 3",8
2015,"Control",603.3196875,"block 4",8
2015,"NP",977.43,"block 1",5
2015,"NP",938.335,"block 2",5
2015,"NP",1386.88,"block 3",5
2015,"NP",667.87,"block 4",5
