"Year","Treatment","Biomass","block","n_quadrats"
1982,"Control",311.62,"block 1",5
1982,"Control",420.985,"block 2",5
1982,"Control",309.695,"block 3",5
1982,"Control",468.6,"block 4",5
1983,"Control",354.27,"block 1",5
1983,"Control",230.04,"block 2",5
1983,"Control",333.095,"block 3",5
1983,"Control",338.16,"block 4",5
1983,"GH",445,"block 1",5
1983,"GH",352.275,"block 2",5
1983,"GH",314.31,"block 3",5
1983,"GH",166.3,"block 4",5
1983,"GHNP",368.955,"block 1",5
1983,"GHNP",564.295,"block 2",5
1983,"GHNP",460.08,"block 3",5
1983,"GHNP",420.04,"block 4",5
1983,"NP",479.95,"block 1",5
1983,"NP",410.475,"block 2",5
1983,"NP",446.15,"block 3",5
1983,"NP",337.13,"block 4",5
1983,"SH",225.435,"block 1",5
1983,"SH",200.325,"block 2",5
1983,"SH",300.96,"block 3",5
1983,"SH",330.905,"block 4",5
1984,"Control",289.94,"block 1",5
1984,"Control",246.79,"block 2",5
1984,"Control",244.56,"block 3",5
1984,"Control",247.955,"block 4",5
1984,"NP",246.66,"block 1",5
1984,"NP",442,"block 2",5
1984,"NP",380.235,"block 3",5
1984,"NP",358.705,"block 4",5
1989,"Control",259.95,"block 1",5
1989,"Control",218.555,"block 2",5
1989,"Control",261.58,"block 3",5
1989,"Control",276.74,"block 4",5
1989,"GH",349.25,"block 1",5
1989,"GH",358.095,"block 2",5
1989,"GH",305.295,"block 3",5
1989,"GH",400.53,"block 4",5
1989,"GHNP",396.1,"block 1",5
1989,"GHNP",606.115,"block 2",5
1989,"GHNP",643.16,"block 3",5
1989,"GHNP",542.895,"block 4",5
1989,"NP",525.765,"block 1",5
1989,"NP",454.695,"block 2",5
1989,"NP",524.845,"block 3",5
1989,"NP",562.59,"block 4",5
1989,"SH",263.77,"block 1",5
1989,"SH",114.995,"block 2",5
1989,"SH",134.665,"block 3",5
1989,"SH",158.755,"block 4",5
1995,"Control",277.655,"block 1",5
1995,"Control",371.135,"block 2",5
1995,"Control",287.505,"block 3",5
1995,"Control",327.115,"block 4",5
1995,"NP",688.07,"block 1",5
1995,"NP",831.785,"block 2",5
1995,"NP",634.315,"block 3",5
1995,"NP",1057.565,"block 4",5
2000,"Control",702.623,"block 1",5
2000,"Control",333.78,"block 2",5
2000,"Control",344.47,"block 3",5
2000,"Control",503.525,"block 4",5
2000,"NP",802.534642857143,"block 1",7
2000,"NP",595.064285714286,"block 2",7
2000,"NP",981.985714285714,"block 3",7
2000,"NP",936.671428571429,"block 4",7
2015,"Control",308.51875,"block 1",8
2015,"Control",434.281875,"block 2",8
2015,"Control",273.7753125,"block 3",8
2015,"Control",427.7915625,"block 4",8
2015,"NP",977.125,"block 1",5
2015,"NP",938.185,"block 2",5
2015,"NP",1385.14,"block 3",5
2015,"NP",652.24,"block 4",5
