year,fence,treatment,NEE
2009,1,C C,0.3374908
2009,1,C S,2.33869728
2009,1,W C,-34.04240752
2009,1,W S,-8.1512252
2009,2,C C,-17.06212112
2009,2,C S,-58.3718878
2009,2,W C,-43.22642624
2009,2,W S,-31.04907546
2009,3,C C,67.89139142
2009,3,C S,75.53061276
2009,3,W C,60.26003182
2009,3,W S,-91.20348264
2009,4,C C,32.51427986
2009,4,C S,46.2564407
2009,4,W C,13.18129254
2009,4,W S,11.61401258
2009,5,C C,9.51415152
2009,5,C S,62.99511154
2009,5,W C,-33.25980348
2009,5,W S,103.2092022
2009,6,C C,-28.95588294
2009,6,C S,26.46843126
2009,6,W C,21.75076114
2009,6,W S,51.3514286
2010,1,C C,53.17609787
2010,1,C S,46.76312678
2010,1,W C,51.40544597
2010,1,W S,72.60232688
2010,2,C C,-8.151880511
2010,2,C S,-20.00278233
2010,2,W C,34.42315563
2010,2,W S,65.97735898
2010,3,C C,120.4090412
2010,3,C S,148.6392201
2010,3,W C,239.2523689
2010,3,W S,-67.6947331
2010,4,C C,78.581453
2010,4,C S,121.5660471
2010,4,W C,58.02654842
2010,4,W S,176.8716925
2010,5,C C,81.81428264
2010,5,C S,182.1730069
2010,5,W C,15.449067
2010,5,W S,186.5291821
2010,6,C C,-50.91227454
2010,6,C S,58.41652021
2010,6,W C,179.2327951
2010,6,W S,124.2116398
2011,1,C C,135.67258
2011,1,C S,100.5990627
2011,1,W C,235.2205719
2011,1,W S,168.54808
2011,2,C C,99.11520519
2011,2,C S,63.61402372
2011,2,W C,160.6450539
2011,2,W S,127.1615117
2011,3,C C,172.5644871
2011,3,C S,167.8684189
2011,3,W C,314.3925279
2011,3,W S,-13.5904675
2011,4,C C,84.80170686
2011,4,C S,176.8334978
2011,4,W C,115.8995469
2011,4,W S,454.2300585
2011,5,C C,96.18555873
2011,5,C S,272.9521345
2011,5,W C,130.9839197
2011,5,W S,275.4357
2011,6,C C,-2.698837374
2011,6,C S,127.3308575
2011,6,W C,269.6784468
2011,6,W S,106.0700112
2012,1,C C,209.1510345
2012,1,C SW,148.1883654
2012,1,WW C,315.2863807
2012,1,WW SW,292.1301552
2012,2,C C,139.1754896
2012,2,C SW,68.36370698
2012,2,WW C,309.3327362
2012,2,WW SW,222.6771891
2012,3,C C,207.667965
2012,3,C SW,145.2653618
2012,3,WW C,244.5214264
2012,3,WW SW,74.2317855
2012,4,C C,116.7943575
2012,4,C SW,216.671661
2012,4,WW C,135.7336778
2012,4,WW SW,473.0498846
2012,5,C C,162.9615183
2012,5,C SW,411.2785874
2012,5,WW C,106.3403711
2012,5,WW SW,181.7910808
2012,6,C C,80.11189232
2012,6,C SW,190.180222
2012,6,WW C,405.5514476
2012,6,WW SW,111.8764966
2013,1,C C,181.151746
2013,1,C S,244.9070297
2013,1,W C,413.6140776
2013,1,W S,265.4855125
2013,2,C C,220.3130862
2013,2,C S,90.52236009
2013,2,W C,489.7594671
2013,2,W S,319.0422986
2013,3,C C,219.3889004
2013,3,C S,152.9459795
2013,3,W C,207.1096786
2013,3,W S,129.4526863
2013,4,C C,114.8648829
2013,4,C S,213.5549513
2013,4,W C,105.6001161
2013,4,W S,304.7094166
2013,5,C C,169.0018233
2013,5,C S,417.211873
2013,5,W C,199.2221746
2013,5,W S,167.0001029
2013,6,C C,178.0126174
2013,6,C S,255.3938777
2013,6,W C,260.2420936
2013,6,W S,265.4881876
2014,1,C C,292.5731512
2014,1,C S,203.2586969
2014,1,W C,53.92478253
2014,1,W S,404.470373
2014,2,C C,225.5967501
2014,2,C S,95.20006069
2014,2,W C,304.286352
2014,2,W S,268.1885408
2014,3,C C,215.0167778
2014,3,C S,202.0591176
2014,3,W C,204.0100405
2014,3,W S,145.6097157
2014,4,C C,159.4336609
2014,4,C S,241.4985278
2014,4,W C,118.4767447
2014,4,W S,281.7640733
2014,5,C C,221.0081262
2014,5,C S,430.290323
2014,5,W C,82.79115188
2014,5,W S,134.0449507
2014,6,C C,151.462104
2014,6,C S,250.2517081
2014,6,W C,238.2312119
2014,6,W S,76.9193501
2015,1,C C,447.81521
2015,1,C S,306.0722422
2015,1,W C,-19.61774927
2015,1,W S,613.2143876
2015,2,C C,115.8654231
2015,2,C S,163.6459499
2015,2,W C,379.7637591
2015,2,W S,373.4059265
2015,3,C C,243.7371013
2015,3,C S,174.5363695
2015,3,W C,110.4236706
