"Date","Plot","Grazed","total_mass"
"2004",1,"g",84.802
"2004",2,"ug",145
"2004",8,"ug",79.08
"2004",10,"ug",93.53
"2004",11,"g",92.832
"2004",11,"ug",77.732
"2004",13,"ug",161.518
"2004",15,"ug",148.696
"2004",19,"ug",129.8
"2004",21,"ug",35.034
"2004",23,"ug",129.366
"2004",27,"g",60.334
"2004",29,"ug",137.6
"2004",31,"ug",176.036
"2004",32,"ug",111.268
"2004",42,"g",69.634
"2004",42,"ug",98.698
"2004",44,"ug",129.622
"2004",45,"ug",62.766
"2004",52,"ug",87.502
"2004",54,"g",100.98
"2004",55,"g",27.518
"2004",55,"ug",63.234
"2004",56,"ug",226.234
"2004",59,"ug",246.33
"2004",62,"ug",83.602
"2004",68,"ug",91.9
"2004",70,"ug",65.632
"2004",71,"g",73.368
"2004",71,"ug",114.132
"2004",73,"g",64.234
"2004",74,"g",94.334
"2004",77,"g",18.868
"2004",79,"g",39.006
"2004",79,"ug",31.002
"2004",81,"g",88.766
"2004",82,"g",146.734
"2004",83,"g",97.67
"2004",83,"ug",127.502
"2004",85,"g",72.218
"2004",86,"g",149.718
"2004",89,"ug",144.332
"2004",94,"ug",167.002
"2004",95,"g",119.424
"2004",100,"g",69.798
"2004",102,"g",78.134
"2004",102,"ug",190.93
"2004",103,"g",114.4
"2004",103,"ug",155.698
"2004",109,"g",98.436
"2004",109,"ug",102.274
"2004",110,"g",119.5
"2004",111,"g",102.498
"2004",115,"g",48.93
"2004",115,"ug",88.302
"2004",116,"ug",124.868
"2004",118,"ug",110.764
"2004",120,"g",83.406
"2004",120,"ug",86.866
"2004",122,"ug",169.198
"2004",123,"g",158.366
"2004",124,"ug",142.3
"2004",126,"g",56.466
"2004",134,"g",112.798
"2004",135,"g",127.702
"2004",137,"ug",125.4
"2004",138,"ug",40.032
"2004",139,"ug",98.668
"2004",140,"g",126.166
"2004",141,"g",5.31
"2004",141,"ug",63.366
"2004",142,"ug",101.558
"2004",143,"g",26
"2004",143,"ug",74.066
"2004",144,"g",41.936
"2004",4,"g",188.202
"2004",6,"g",59.172
"2004",7,"g",192.03
"2004",13,"g",154.002
"2004",14,"g",94.7
"2004",25,"g",64.766
"2004",38,"g",79.158
"2004",45,"g",71.264
"2004",47,"g",61.966
"2004",50,"g",30.068
"2004",51,"g",63.868
"2004",52,"g",43.032
"2004",53,"g",48.498
"2004",56,"g",206.834
"2004",72,"g",48.6
"2004",75,"g",99.4
"2004",76,"g",76.32
"2004",78,"g",210.5
"2004",80,"g",55.636
"2004",84,"g",175.964
"2004",89,"g",131.332
"2004",96,"g",74.934
"2004",99,"g",49.934
"2004",101,"g",100.914
"2004",104,"g",103.634
"2004",105,"g",50.902
"2004",106,"g",139.232
"2004",107,"g",138.502
"2004",112,"g",53.932
"2004",113,"g",29.17
"2004",114,"g",113.004
"2004",116,"g",184.548
"2004",117,"g",96.996
"2004",118,"g",67
"2004",119,"g",38.964
"2004",121,"g",115.866
"2004",124,"g",136.432
"2004",125,"g",56.734
"2004",136,"g",63.934
"2004",139,"g",87.168
"2004",145,"g",75.802
"2004",146,"g",68.464
"2004",16,"g",108.1
"2004",19,"g",126.094
"2004",20,"g",19.07
"2004",22,"g",19.336
"2004",23,"g",34.566
"2004",24,"g",53.7
"2004",26,"g",140.736
"2004",28,"g",87.7
"2004",87,"g",75.95
"2004",88,"g",176.932
"2004",90,"g",38.834
"2004",92,"g",19.566
"2004",93,"g",182.636
"2004",94,"g",88.058
