Date,Plot,Cover_Fertilizer,total_SCF
2000,1,shaded_0,5.78
2000,1,unshaded_0,1.093
2000,2,shaded_50,6.214
2000,2,unshaded_50,2.508
2000,3,shaded_16,2.86
2000,3,unshaded_16,2.636
2000,4,shaded_0,3.544
2000,4,unshaded_0,1.595
2000,5,shaded_0,3.694
2000,5,unshaded_0,3.384
2000,6,shaded_16,6.238
2000,6,unshaded_16,8.722
2000,7,shaded_50,3.73
2000,7,unshaded_50,3.276
2000,8,shaded_16,3.964
2000,8,unshaded_16,2.842
2000,9,shaded_50,3.215
2000,9,unshaded_50,2.43
2002,1,shaded_0,10.234
2002,1,unshaded_0,7.092
2002,2,shaded_50,12.398
2002,2,unshaded_50,7.272
2002,3,shaded_16,9.422
2002,3,unshaded_16,6.542
2002,4,shaded_0,9.091
2002,4,unshaded_0,5.171
2002,5,shaded_0,10.794
2002,5,unshaded_0,6.7
2002,6,shaded_16,9.497
2002,6,unshaded_16,10.991
2002,7,shaded_50,7.796
2002,7,unshaded_50,9.918
2002,8,shaded_16,6.338
2002,8,unshaded_16,10.308
2002,9,shaded_50,7.835
2002,9,unshaded_50,8.531
2003,1,shaded_0,7.429
2003,1,unshaded_0,1.986
2003,2,shaded_50,10.053
2003,2,unshaded_50,2.381
2003,3,shaded_16,8.231
2003,3,unshaded_16,5.513
2003,4,shaded_0,6.27
2003,4,unshaded_0,3.287
2003,5,shaded_0,6.441
2003,5,unshaded_0,4.941
2003,6,shaded_16,8.382
2003,6,unshaded_16,7.021
2003,7,shaded_50,5.447
2003,7,unshaded_50,4.879
2003,8,shaded_16,6.51
2003,8,unshaded_16,4.522
2003,9,shaded_50,5.591
2003,9,unshaded_50,3.678
2001,1,shaded_0,12.279
2001,1,unshaded_0,5.525
2001,2,shaded_50,11.515
2001,2,unshaded_50,6.648
2001,3,shaded_16,7.033
2001,3,unshaded_16,8.57
2001,4,shaded_0,7.381
2001,4,unshaded_0,5.389
2001,5,shaded_0,6.664
2001,5,unshaded_0,7.595
2001,6,shaded_16,8.399
2001,6,unshaded_16,8.959
2001,7,shaded_50,7.437
2001,7,unshaded_50,7.17
2001,8,shaded_16,8.822
2001,8,unshaded_16,8.944
2001,9,shaded_50,8.283
2001,9,unshaded_50,7.141
2003,1,shaded_0,9.519
2003,1,unshaded_0,5.445
2003,2,shaded_50,6.738
2003,2,unshaded_50,3.872
2003,3,shaded_16,7.641
2003,3,unshaded_16,5.708
2003,4,shaded_0,7.466
2003,4,unshaded_0,4.549
2003,5,shaded_0,7.596
2003,5,unshaded_0,7.25
2003,6,shaded_16,8.735
2003,6,unshaded_16,8.218
2003,7,shaded_50,5.165
2003,7,unshaded_50,5.876
2003,8,shaded_16,6.427
2003,8,unshaded_16,6.27
2003,9,shaded_50,7.195
2003,9,unshaded_50,4.378
2004,1,shaded_0,5.874
2004,1,unshaded_0,3.011
2004,2,shaded_50,6.327
2004,2,unshaded_50,2.677
2004,3,shaded_16,5.562
2004,3,unshaded_16,4.477
2004,4,shaded_0,5.315
2004,4,unshaded_0,3.633
2004,5,shaded_0,4.894
2004,5,unshaded_0,3.898
2004,6,shaded_16,6.24
2004,6,unshaded_16,6.238
2004,7,shaded_50,3.325
2004,7,unshaded_50,3.346
2004,8,shaded_16,5.873
2004,8,unshaded_16,4.323
2004,9,shaded_50,4.316
2004,9,unshaded_50,2.743
2002,1,shaded_0,7.864
2002,1,unshaded_0,4.859
2002,2,shaded_50,9.502
2002,2,unshaded_50,6.972
2002,3,shaded_16,5.538
2002,3,unshaded_16,4.887
2002,4,shaded_0,9.374
2002,4,unshaded_0,7.076
2002,5,shaded_0,5.492
2002,5,unshaded_0,5.704
2002,6,shaded_16,9.036
2002,6,unshaded_16,8.947
2002,7,shaded_50,5.25
2002,7,unshaded_50,4.875
2002,8,shaded_16,7.035
2002,8,unshaded_16,8.329
2002,9,shaded_50,8.011
2002,9,unshaded_50,7.94
2001,1,shaded_0,8.037
2001,1,unshaded_0,7.157
2001,2,shaded_50,5.734
2001,2,unshaded_50,5.454
2001,3,shaded_16,8.702
2001,3,unshaded_16,5.854
2001,4,shaded_0,6.627
2001,4,unshaded_0,5.179
2001,5,shaded_0,6.165
2001,5,unshaded_0,5.283
2001,6,shaded_16,9.367
2001,6,unshaded_16,7.776
2001,7,shaded_50,4.873
2001,7,unshaded_50,7.365
2001,8,shaded_16,6.424
2001,8,unshaded_16,7.037
2001,9,shaded_50,5.771
2001,9,unshaded_50,9.088
1999,1,shaded_0,14.024
1999,1,unshaded_0,7.329
1999,2,shaded_50,8.021
1999,2,unshaded_50,8.765
1999,3,shaded_16,8.846
1999,3,unshaded_16,7.657
1999,4,shaded_0,9.195
1999,4,unshaded_0,7.394
1999,5,shaded_0,7.603
1999,5,unshaded_0,9.04
1999,6,shaded_16,8.379
1999,6,unshaded_16,8.305
1999,7,shaded_50,9.902
1999,7,unshaded_50,8.579
1999,8,shaded_16,8.291
1999,8,unshaded_16,7.085
1999,9,shaded_50,7.858
1999,9,unshaded_50,7.83
2005,1,shaded_0,7.139
2005,1,unshaded_0,3.551
2005,2,shaded_50,8.579
2005,2,unshaded_50,4.4
2005,3,shaded_16,5.125
2005,3,unshaded_16,5.585
2005,4,shaded_0,4.466
