"date","plot","treatment","total_mass"
"2019","01","control_NPK",679.8
"2019","02","control_infra_NPK",824.95
"2019","03","drought",449.2
"2019","04","control",463.35
"2019","05","control_infra",476.55
"2019","06","drought_NPK",465.7
"2019","07","drought",375.55
"2019","08","control_NPK",607.75
"2019","09","control_infra_NPK",1420
"2019","10","drought_NPK",472.35
"2019","11","control_infra",452.55
"2019","12","control",324.3
"2019","13","control_infra_NPK",862.4
"2019","14","drought_NPK",772.65
"2019","15","drought",522.35
"2019","16","control_NPK",400.95
"2019","17","control",465.15
"2019","18","control_infra",405.7
"2019","19","control_NPK",559.8
"2019","20","drought_NPK",410.85
"2019","21","drought",320.3
"2019","22","control_infra_NPK",540.9
"2019","23","control_infra",331
"2019","24","control",278.2
"2019","25","control",251.05
"2019","26","drought_NPK",548.5
"2019","27","control_infra_NPK",653.05
"2019","28","drought",508.65
"2019","29","control_NPK",627.85
"2019","30","control_infra",299.65
"2020","01","control_NPK",747.55
"2020","02","control_infra_NPK",561.5
"2020","03","drought",543.85
"2020","04","control",682.6
"2020","05","control_infra",545.8
"2020","06","drought_NPK",159.65
"2020","07","drought",784.9
"2020","08","control_NPK",183.05
"2020","09","control_infra_NPK",1016.4
"2020","10","drought_NPK",788.9
"2020","11","control_infra",410.25
"2020","12","control",430.8
"2020","13","control_infra_NPK",797.5
"2020","14","drought_NPK",503.95
"2020","15","drought",915.9
"2020","16","control_NPK",414.25
"2020","17","control",686.3
"2020","18","control_infra",591.75
"2020","19","control_NPK",680
"2020","20","drought_NPK",642.9
"2020","21","drought",287.6
"2020","22","control_infra_NPK",708.4
"2020","23","control_infra",417.65
"2020","24","control",352
"2020","25","control",320.65
"2020","26","drought_NPK",1181.45
"2020","27","control_infra_NPK",635.7
"2020","28","drought",488.55
"2020","29","control_NPK",654.45
"2020","30","control_infra",593.05
"2018","01","control_NPK",494.65
"2018","02","control_infra_NPK",363.25
"2018","03","drought",291.85
"2018","04","control",351.8
"2018","05","control_infra",330.45
"2018","06","drought_NPK",407.15
"2018","07","drought",231.45
"2018","08","control_NPK",546.25
"2018","09","control_infra_NPK",553.3
"2018","10","drought_NPK",354.8
"2018","11","control_infra",263.55
"2018","12","control",296.9
"2018","13","control_infra_NPK",549.45
"2018","14","drought_NPK",444.65
"2018","15","drought",394.1
"2018","16","control_NPK",518.65
"2018","17","control",393.9
"2018","18","control_infra",196.05
"2018","19","control_NPK",435.75
"2018","20","drought_NPK",416.4
"2018","21","drought",145.35
"2018","22","control_infra_NPK",620.5
"2018","23","control_infra",317.8
"2018","24","control",209.65
"2018","25","control",202.2
"2018","26","drought_NPK",322.55
"2018","27","control_infra_NPK",630.5
"2018","28","drought",227.25
"2018","29","control_NPK",709.15
"2018","30","control_infra",183.75
"2017","01","control_NPK",335.9
"2017","02","control_infra_NPK",697.6
"2017","03","drought",201
"2017","04","control",455.7
"2017","05","control_infra",220.2
"2017","06","drought_NPK",340.6
"2017","07","drought",226.9
"2017","08","control_NPK",205.4
"2017","09","control_infra_NPK",521.5
"2017","10","drought_NPK",133.2
"2017","11","control_infra",411.3
"2017","12","control",236.1
"2017","13","control_infra_NPK",427.8
"2017","14","drought_NPK",187.4
"2017","15","drought",375.1
"2017","16","control_NPK",182.2
"2017","17","control",340.2
"2017","18","control_infra",153.5
"2017","19","control_NPK",194.7
"2017","20","drought_NPK",221.4
"2017","21","drought",170.8
"2017","22","control_infra_NPK",175.1
"2017","23","control_infra",395.4
"2017","24","control",247.6
"2017","25","control",264.6
"2017","26","drought_NPK",124.7
"2017","27","control_infra_NPK",240.1
"2017","28","drought",363.5
"2017","29","control_NPK",244.3
"2017","30","control_infra",196.1
"2016","01","control_NPK",699.9
"2016","02","control_infra_NPK",939.6
"2016","03","drought",746.7
"2016","04","control",718.3
"2016","05","control_infra",763.8
"2016","06","drought_NPK",689.1
"2016","07","drought",1118.7
"2016","08","control_NPK",768.1
"2016","09","control_infra_NPK",1022.9
"2016","10","drought_NPK",872.6
"2016","11","control_infra",1024
"2016","12","control",679.8
"2016","13","control_infra_NPK",994
"2016","14","drought_NPK",584.9
"2016","15","drought",1043.4
"2016","16","control_NPK",999.4
"2016","17","control",681.7
"2016","18","control_infra",911
"2016","19","control_NPK",698.4
"2016","20","drought_NPK",625.9
"2016","21","drought",658.8
"2016","22","control_infra_NPK",700.9
"2016","23","control_infra",663.5
"2016","24","control",440.8
"2016","25","control",643.4
"2016","26","drought_NPK",588.6
"2016","27","control_infra_NPK",516.6
"2016","28","drought",561.4
"2016","29","control_NPK",1095.1
"2016","30","control_infra",551
