"year","treatment","plot","soil_res"
1991,"C",2,111.235
1991,"C",4,123.604583333333
1991,"C",7,130.002916666667
1991,"C",11,138.034166666667
1991,"C",14,122.256666666667
1991,"C",18,145.298333333333
1991,"DC",3,141.965833333333
1991,"DC",5,162.558333333333
1991,"DC",9,136.03125
1991,"DC",10,137.1075
1991,"DC",13,160.688333333333
1991,"DC",17,131.3375
1991,"H",1,134.05
1991,"H",6,199.27375
1991,"H",8,172.97625
1991,"H",12,203.255833333333
1991,"H",15,254.256666666667
1991,"H",16,190.537727272727
1992,"C",2,76.3496875
1992,"C",4,87.8228125
1992,"C",7,100.146875
1992,"C",11,100.8046875
1992,"C",14,94.9253125
1992,"C",18,99.736875
1992,"DC",3,98.585
1992,"DC",5,112.3175
1992,"DC",9,99.28875
1992,"DC",10,103.4765625
1992,"DC",13,112.3203125
1992,"DC",17,93.081875
1992,"H",1,93.37625
1992,"H",6,117.159375
1992,"H",8,100.9290625
1992,"H",12,120.608125
1992,"H",15,149.480625
1992,"H",16,122.573125
1993,"C",2,89.1463636363636
1993,"C",4,101.981818181818
1993,"C",7,100.066818181818
1993,"C",11,110.739545454545
1993,"C",14,100.411818181818
1993,"C",18,101.446363636364
1993,"DC",3,104.220909090909
1993,"DC",5,111.170454545455
1993,"DC",9,95.5640909090909
1993,"DC",10,102.233636363636
1993,"DC",13,123.961363636364
1993,"DC",17,107.075909090909
1993,"H",1,99.9386363636364
1993,"H",6,128.585909090909
1993,"H",8,104.365454545455
1993,"H",12,122.869090909091
1993,"H",15,168.442727272727
1993,"H",16,153.601363636364
1994,"C",2,122.639375
1994,"C",4,128.158125
1994,"C",7,128.33
1994,"C",11,132.668125
1994,"C",14,120.26875
1994,"C",18,140.105625
1994,"DC",3,123.103125
1994,"DC",5,132.1325
1994,"DC",9,129.750625
1994,"DC",10,109.6775
1994,"DC",13,136.498125
1994,"DC",17,117.505625
1994,"H",1,114.458125
1994,"H",6,144.681875
1994,"H",8,132.086875
1994,"H",12,162.053125
1994,"H",15,172.981875
1994,"H",16,164.4775
1995,"C",2,61.0566666666667
1995,"C",4,58.3633333333333
1995,"C",7,99.1266666666667
1995,"C",11,96.3533333333333
1995,"C",14,78.0333333333333
1995,"C",18,112.3375
1995,"DC",3,72.1933333333333
1995,"DC",5,91.6333333333333
1995,"DC",9,76.0233333333333
1995,"DC",10,84.2066666666667
1995,"DC",13,102.650833333333
1995,"DC",17,87.5933333333333
1995,"H",1,78.7133333333333
1995,"H",6,104.883333333333
1995,"H",8,66.8366666666667
1995,"H",12,131.939166666667
1995,"H",15,112.015
1995,"H",16,111.2
1996,"C",2,94.7173333333333
1996,"C",4,88.536
1996,"C",7,107.502666666667
1996,"C",11,89.8206666666667
1996,"C",14,62.0253333333333
1996,"C",18,123.988
1996,"DC",3,80.1193333333333
1996,"DC",5,101.039333333333
1996,"DC",9,99.938
1996,"DC",10,85.4386666666667
1996,"DC",13,84.72
1996,"DC",17,90.508
1996,"H",1,87.6013333333333
1996,"H",6,123.415333333333
1996,"H",8,89.806
1996,"H",12,127.543333333333
1996,"H",15,113.214
1996,"H",16,105.703333333333
1997,"C",2,102.829375
1997,"C",4,95.23125
1997,"C",7,101.825
1997,"C",11,99.62625
1997,"C",14,78.59375
1997,"C",18,125.19625
1997,"DC",3,86.95375
1997,"DC",5,105.929375
1997,"DC",9,105.94375
1997,"DC",10,104.0825
1997,"DC",13,108.9925
1997,"DC",17,94.910625
1997,"H",1,91.701875
1997,"H",6,123.008125
1997,"H",8,85.48125
1997,"H",12,114.48875
1997,"H",15,110.96875
1997,"H",16,119.034375
1998,"C",2,142.525
1998,"C",4,140.504166666667
1998,"C",7,175.571666666667
1998,"C",11,130.0775
1998,"C",14,111.235833333333
1998,"C",18,179.3525
1998,"DC",3,108.971666666667
1998,"DC",5,170.455
1998,"DC",9,175.833333333333
1998,"DC",10,155.46
1998,"DC",13,147.908333333333
1998,"DC",17,151.526666666667
1998,"H",1,116.9175
1998,"H",6,183.556666666667
1998,"H",8,120.298333333333
1998,"H",12,180.156666666667
1998,"H",15,162.850833333333
1998,"H",16,148.541666666667
1999,"C",2,98.05125
1999,"C",4,97.541875
1999,"C",7,121.539375
1999,"C",11,99.71
1999,"C",14,86.406875
1999,"C",18,111.51875
1999,"DC",3,68.881875
1999,"DC",5,121.54375
1999,"DC",9,140.38125
1999,"DC",10,99.995625
1999,"DC",13,104.184375
1999,"DC",17,113.369375
1999,"H",1,79.26
1999,"H",6,108.496875
1999,"H",8,76.401875
1999,"H",12,116.4325
1999,"H",15,106.43
1999,"H",16,103.64375
2000,"C",2,96.09
2000,"C",4,99.8409375
2000,"C",7,127.950625
2000,"C",11,111.4590625
2000,"C",14,88.826875
2000,"C",18,138.83625
2000,"DC",3,78.7171875
2000,"DC",5,116.1665625
2000,"DC",9,152.6790625
2000,"DC",10,91.4340625
2000,"DC",13,111.4790625
2000,"DC",17,121.4840625
2000,"H",1,86.894375
2000,"H",6,126.6015625
2000,"H",8,83.8953125
2000,"H",12,136.9896875
2000,"H",15,123.1378125
2000,"H",16,114.0503125
2001,"C",2,94.58125
2001,"C",4,87.301875
2001,"C",7,106.336875
