"Year","Treatment","Replicate","Biomass"
1990,"T1","R1",1156.675
1990,"T1","R2",995.893
1990,"T1","R3",1099.327
1990,"T1","R4",759.751
1990,"T1","R5",1101.896
1990,"T1","R6",1019.475
1990,"T2","R1",1225.76
1990,"T2","R2",1294.831
1990,"T2","R3",1236.929
1990,"T2","R4",1068.205
1990,"T2","R5",1044.901
1990,"T2","R6",1308.151
1990,"T3","R1",1809.6588
1990,"T3","R2",722.5206
1990,"T3","R3",894.6405
1990,"T3","R4",1209.601
1990,"T3","R5",998.1977
1990,"T3","R6",1166.2729
1990,"T4","R1",1305.958
1990,"T4","R2",1325.4156
1990,"T4","R3",828.1075
1990,"T4","R4",1237.4803
1990,"T4","R5",914.9257
1990,"T4","R6",898.1129
1990,"T6","R1",605.413333333333
1990,"T6","R2",595.643333333333
1990,"T6","R3",485.656666666667
1990,"T6","R4",602.513333333333
1990,"T6","R5",295.176666666667
1990,"T6","R6",374
1991,"T1","R2",1568.01782
1991,"T1","R3",1637.2224
1991,"T1","R4",1082.0969
1991,"T1","R6",1295.64496
1991,"T2","R3",1522.56406
1991,"T2","R4",1241.07614
1991,"T2","R5",1382.23622
1991,"T2","R6",1704.05966
1991,"T3","R1",558.05146
1991,"T3","R2",550.8705
1991,"T3","R3",585.08768
1991,"T3","R4",675.69665
1991,"T3","R5",538.347
1991,"T3","R6",608.46806
1991,"T4","R1",622.12454
1991,"T4","R2",624.0329
1991,"T4","R4",673.24162
1991,"T4","R5",606.72354
1991,"T4","R6",749.898
1991,"T6","R1",406.806666666667
1991,"T6","R2",461.656666666667
1991,"T6","R3",478.813333333333
1991,"T6","R4",436.83
1991,"T6","R5",458.123333333333
1991,"T6","R6",374.826666666667
1992,"T1","R1",583.67
1992,"T1","R2",504.21
1992,"T1","R3",525.798
1992,"T1","R4",537.17
1992,"T1","R5",535.374
1992,"T1","R6",515.306
1992,"T2","R1",512.842
1992,"T2","R2",504.472
1992,"T2","R3",579.568
1992,"T2","R4",606.234
1992,"T2","R5",522.81
