"Year","Treatment","Replicate","Biomass"
1993,"T1","R1",1414.42038
1993,"T1","R2",1549.05252
1993,"T1","R3",1557.06302
1993,"T1","R4",1492.51734
1993,"T1","R5",2011.22552
1993,"T1","R6",1667.14912
1993,"T2","R1",1762.91994
1993,"T2","R2",1755.41012
1993,"T2","R3",1813.12488
1993,"T2","R4",1917.7098
1993,"T2","R5",1361.67878
1993,"T2","R6",1418.36532
1993,"T3","R1",1375.84098666667
1993,"T3","R2",1562.37442
1993,"T3","R3",1606.26252
1993,"T3","R4",1764.6964
1993,"T3","R5",1581.29114
1993,"T3","R6",1427.91366
1993,"T4","R1",1270.16644
1993,"T4","R2",1279.00438
1993,"T4","R3",1380.57674
1993,"T4","R4",1229.91544
1993,"T4","R5",1084.9857
1993,"T4","R6",1058.93114
1994,"T1","R1",638.45
1994,"T1","R2",819.862
1994,"T1","R3",711.28
1994,"T1","R4",765.686
1994,"T1","R5",703.856
1994,"T1","R6",759.416
1994,"T2","R1",811.25
1994,"T2","R2",498.994
1994,"T2","R3",651.06
1994,"T2","R4",531.848
1994,"T2","R6",660.444
1994,"T21","R5",615.548
1994,"T3","R1",621.16382
1994,"T3","R2",720.0228
1994,"T3","R3",807.63768
1994,"T3","R4",925.70246
1994,"T3","R5",884.22146
1994,"T3","R6",644.6601
1994,"T4","R1",782.23108
1994,"T4","R2",690.65282
1994,"T4","R3",830.31064
1994,"T4","R4",815.21884
1994,"T4","R5",801.3173
1994,"T4","R6",721.58758
1995,"T1","R1",919.582
1995,"T1","R2",1162.592
1995,"T1","R3",1210.542
1995,"T1","R4",862.514
1995,"T1","R5",1016.88
1995,"T1","R6",1001.322
1995,"T2","R1",1110.776
1995,"T2","R2",907.192
1995,"T2","R3",1181.316
1995,"T2","R4",938.768
1995,"T2","R6",1097.764
1995,"T21","R5",807.014
1995,"T3","R1",719.534
1995,"T3","R2",720.208
1995,"T3","R3",816.974
1995,"T3","R4",731.364
1995,"T3","R5",799.588
1995,"T3","R6",645.262
1995,"T4","R1",618.128
1995,"T4","R2",616.458
1995,"T4","R3",678.594
1995,"T4","R4",723.392
1995,"T4","R5",555.556
1995,"T4","R6",606.98
1996,"T1","R1",862.478
1996,"T1","R2",915.46
1996,"T1","R3",1385.204
1996,"T1","R4",707.938
1996,"T1","R5",797.16
1996,"T1","R6",903.27
1996,"T2","R1",1151.638
1996,"T2","R2",993.19
1996,"T2","R3",1232.908
1996,"T2","R4",1586.212
1996,"T2","R5",735.506
1996,"T2","R6",765.986
1996,"T3","R1",939.008
1996,"T3","R2",1046.03
1996,"T3","R3",1241.686
1996,"T3","R4",1069.83333333333
1996,"T3","R5",996.108
1996,"T3","R6",1158.684
1996,"T4","R1",946.450666666667
1996,"T4","R2",1070.74
1996,"T4","R3",1152.712
1996,"T4","R4",1202.29933333333
1996,"T4","R5",937.925333333333
1996,"T4","R6",847.824666666667
1997,"T1","R1",449.938
1997,"T1","R2",507.336
1997,"T1","R3",615.35
1997,"T1","R4",502.796
1997,"T1","R5",530.466
1997,"T1","R6",572.214
1997,"T2","R1",559.862
1997,"T2","R2",491.84
1997,"T2","R3",634.664
1997,"T2","R4",370.85
1997,"T2","R5",394.1
1997,"T2","R6",530.25
1997,"T3","R1",416.888
1997,"T3","R2",552.192
1997,"T3","R3",543.686
1997,"T3","R4",593.436
1997,"T3","R5",505.792
1997,"T3","R6",365.226
1997,"T4","R1",477.974
1997,"T4","R2",459.868
1997,"T4","R3",540.388
1997,"T4","R4",674.926
1997,"T4","R5",525.51
1997,"T4","R6",502.576
1998,"T1","R1",672.2
1998,"T1","R2",660.138
1998,"T1","R3",848.312
1998,"T1","R4",590.5
1998,"T1","R5",581.652
1998,"T1","R6",547.148
1998,"T2","R1",621.24
1998,"T2","R2",560.96
1998,"T2","R3",748.35
1998,"T2","R4",682.274
1998,"T2","R5",550.516
1998,"T2","R6",624.146
1998,"T3","R1",415.966
1998,"T3","R2",490.898
1998,"T3","R3",515.106
1998,"T3","R4",558.144
1998,"T3","R5",585.476
1998,"T3","R6",616.31
1998,"T4","R1",461.55
1998,"T4","R2",336.322
1998,"T4","R3",362.832
1998,"T4","R4",407.952
1998,"T4","R5",354.2
1998,"T4","R6",351.286
1999,"T1","R1",1220.65048
1999,"T1","R2",1237.82806
1999,"T1","R3",1685.2591
1999,"T1","R4",1298.20032
1999,"T1","R5",730.2391
1999,"T1","R6",1116.88688
1999,"T2","R1",1165.49222
1999,"T2","R2",994.44346
1999,"T2","R3",1471.35748
1999,"T2","R4",1246.37256
1999,"T2","R5",1059.4476
1999,"T2","R6",1345.44078
1999,"T3","R1",1292.19002
1999,"T3","R2",2068.29276
1999,"T3","R3",1419.62694
1999,"T3","R4",1364.9895
1999,"T3","R5",1567.49856
1999,"T3","R6",1811.35072
1999,"T4","R1",2389.9095
1999,"T4","R2",1518.7028
1999,"T4","R3",1801.28336
1999,"T4","R4",2124.39652
1999,"T4","R5",1304.80086
1999,"T4","R6",1591.02884
2000,"T1","R1",526.288
2000,"T1","R2",555.446
2000,"T1","R3",547.778
2000,"T1","R4",487.368
2000,"T1","R5",387.404
2000,"T1","R6",559.758
2000,"T2","R1",601.716
2000,"T2","R2",517.028
2000,"T2","R3",600.992
2000,"T2","R4",515.752
2000,"T2","R5",506.47
2000,"T2","R6",666.212
2000,"T3","R1",591.4112
2000,"T3","R2",574.00532
2000,"T3","R3",639.02514
2000,"T3","R4",542.49612
2000,"T3","R5",554.06546
2000,"T3","R6",717.83804
2000,"T4","R1",704.06328
2000,"T4","R2",600.76824
2000,"T4","R3",666.26786
2000,"T4","R4",696.4113
2000,"T4","R5",569.89626
2000,"T4","R6",630.53218
2001,"T1","R1",811.292
2001,"T1","R2",945.29
2001,"T1","R3",1104.392
2001,"T1","R4",888.77
2001,"T1","R5",859.696
2001,"T1","R6",672.016
2001,"T2","R1",710.324
2001,"T2","R2",560.028
2001,"T2","R3",898.198
2001,"T2","R4",790.508
2001,"T2","R5",692.662
2001,"T2","R6",684.834
2001,"T3","R1",658.466
2001,"T3","R2",782.032
2001,"T3","R3",785.298
2001,"T3","R4",771.8
2001,"T3","R5",724.322
2001,"T3","R6",761.644
2001,"T4","R1",650.506
2001,"T4","R2",560.142
2001,"T4","R3",668.49
2001,"T4","R4",610.658
2001,"T4","R5",532.706
2001,"T4","R6",500.898
2002,"T1","R1",810.35632
2002,"T1","R2",1460.78178
2002,"T1","R3",1473.5779
2002,"T1","R4",769.76584
2002,"T1","R5",1035.29036
2002,"T1","R6",1348.81158
2002,"T2","R1",1073.7709
2002,"T2","R2",907.70764
2002,"T2","R3",1105.94546
2002,"T2","R4",901.42322
2002,"T2","R5",1253.298
2002,"T2","R6",1280.4745
2002,"T3","R1",1241.34166
2002,"T3","R2",1398.20282
2002,"T3","R3",1496.35192
2002,"T3","R4",1100.39168
2002,"T3","R5",1160.60988
2002,"T3","R6",1216.00766
2002,"T4","R1",1636.56658
2002,"T4","R2",1065.86972
2002,"T4","R3",1245.8125
2002,"T4","R4",1232.14776
2002,"T4","R5",1031.12638
2002,"T4","R6",659.2115
2003,"T1","R1",493.93
2003,"T1","R2",507.34
2003,"T1","R3",552.542
2003,"T1","R4",491.024
2003,"T1","R5",529.556
2003,"T1","R6",545.248
2003,"T2","R1",458.16
2003,"T2","R2",439.986
2003,"T2","R3",549.538
2003,"T2","R4",479.506
2003,"T2","R5",431.126
2003,"T2","R6",455.362
2003,"T3","R1",418.078
2003,"T3","R2",571.152
2003,"T3","R3",498.604
2003,"T3","R4",526.976
2003,"T3","R5",539.312
2003,"T3","R6",618.196
2003,"T4","R1",493.732
2003,"T4","R2",500.106
2003,"T4","R3",543.408
2003,"T4","R4",531.47
2003,"T4","R5",442.984
2003,"T4","R6",573.748
2004,"T1","R1",757.4884
2004,"T1","R2",842.616
2004,"T1","R3",961.664
2004,"T1","R4",826.694
2004,"T1","R5",824.0872
2004,"T1","R6",700.942
2004,"T2","R1",811.658
2004,"T2","R2",769.816
2004,"T2","R3",899.486
2004,"T2","R4",878.658
2004,"T2","R6",779.436
2004,"T21","R5",761.022
2004,"T3","R1",806.663
2004,"T3","R2",865.019
2004,"T3","R3",792.8282
2004,"T3","R4",823.809
2004,"T3","R5",764.837
2004,"T3","R6",809.693
2004,"T4","R1",606.217
2004,"T4","R2",645.423
2004,"T4","R3",617.861
2004,"T4","R4",586.715
2004,"T4","R5",603.285
2004,"T4","R6",523.015
2005,"T1","R1",1492.602
2005,"T1","R2",1563.492
2005,"T1","R3",1879.766
2005,"T1","R4",1228.758
2005,"T1","R5",1438.984
2005,"T1","R6",1615.958
2005,"T2","R1",1539.746
2005,"T2","R2",1551.748
2005,"T2","R3",1992.742
2005,"T2","R4",1628.976
2005,"T2","R5",1472.57
2005,"T2","R6",1670.174
2005,"T3","R1",1517.7202
2005,"T3","R2",1736.8728
2005,"T3","R3",1793.6104
2005,"T3","R4",1597.3964
2005,"T3","R5",1862.974
2005,"T3","R6",1964.6924
2005,"T4","R1",1803.9092
2005,"T4","R2",1756.228
2005,"T4","R3",1691.8376
2005,"T4","R4",1391.0656
2005,"T4","R5",1524.3368
2005,"T4","R6",1732.818
2006,"T1","R1",446.1288
2006,"T1","R2",578.2482
2006,"T1","R3",544.4828
2006,"T1","R4",519.5368
2006,"T1","R5",490.033
2006,"T1","R6",595.659
2006,"T2","R1",596.983
2006,"T2","R2",619.171
2006,"T2","R3",620.193
2006,"T2","R4",614.815
2006,"T2","R5",557.769
2006,"T2","R6",624.207
2006,"T3","R1",583.8234
2006,"T3","R2",722.8128
2006,"T3","R3",735.2442
2006,"T3","R4",639.2702
2006,"T3","R5",740.677
2006,"T3","R6",760.509
2006,"T4","R1",737.1194
2006,"T4","R2",660.5922
2006,"T4","R3",727.6068
2006,"T4","R4",712.0122
2006,"T4","R5",619.673
2006,"T4","R6",725.721
2007,"T1","R1",501.758
2007,"T1","R2",707.376
2007,"T1","R3",700.87
2007,"T1","R4",652.8564
2007,"T1","R5",549.5914
2007,"T1","R6",497.2714
2007,"T2","R1",767.274
2007,"T2","R2",767.1812
2007,"T2","R3",908.094
2007,"T2","R4",846.794
2007,"T2","R5",713.4412
2007,"T2","R6",722.036
2007,"T3","R1",575.15
2007,"T3","R2",481.2084
2007,"T3","R3",605.9
2007,"T3","R4",553.4444
2007,"T3","R5",615.0188
2007,"T3","R6",569.63
2007,"T4","R1",496.674
2007,"T4","R2",458.5536
2007,"T4","R3",508.96
2007,"T4","R4",502.08
2007,"T4","R5",494.218
2007,"T4","R6",350.266
2008,"T1","R1",925.674
2008,"T1","R2",1177.182
2008,"T1","R3",1546.172
2008,"T1","R4",782.278
2008,"T1","R5",1042.702
2008,"T1","R6",1566.876
2008,"T2","R1",1269.092
2008,"T2","R2",1056.832
2008,"T2","R3",1455.152
2008,"T2","R4",1359.584
2008,"T2","R5",1201.58
2008,"T2","R6",1449.182
2008,"T3","R1",1240.0992
2008,"T3","R2",1249.4146
2008,"T3","R3",1141.6266
2008,"T3","R4",1198.3114
2008,"T3","R5",1353.4732
2008,"T3","R6",1630.1232
2008,"T4","R1",1161.573
2008,"T4","R2",1003.4536
2008,"T4","R3",1217.6612
2008,"T4","R4",996.9874
