"RECYEAR","PLOT","TREATMENT","BIOMASS","N_CLIPS"
1986,1,"u u n",43.08,1
1986,2,"u u c",47.39,1
1986,3,"u u p",54.69,1
1986,4,"u u n+p",77.55,1
1986,5,"u m n",27.51,1
1986,6,"u m c",13.28,1
1986,7,"u m p",27.14,1
1986,8,"u m n+p",13.16,1
1986,9,"b m c",9.69,1
1986,10,"b m p",3.12,1
1986,11,"b m n+p",8.04,1
1986,12,"b m n",31.22,1
1986,13,"b u c",6.83,1
1986,14,"b u p",9.99,1
1986,15,"b u n+p",22.21,1
1986,16,"b u n",39.02,1
1986,17,"u u n+p",18.17,1
1986,18,"u u n",25.28,1
1986,19,"u u p",14.15,1
1986,20,"u u c",34.68,1
1986,21,"u m n+p",0,1
1986,22,"u m n",4.86,1
1986,23,"u m p",5.41,1
1986,24,"u m c",6.61,1
1986,25,"b u c",23.55,1
1986,26,"b u n+p",16.37,1
1986,27,"b u p",30.68,1
1986,28,"b u n",32.23,1
1986,29,"b m c",12.58,1
1986,30,"b m n+p",22.38,1
1986,31,"b m p",18.65,1
1986,32,"b m n",20.75,1
1986,33,"u m n+p",19.46,1
1986,34,"u m c",24.43,1
1986,35,"u m p",13.3,1
1986,36,"u m n",23.59,1
1986,37,"u u n+p",28.26,1
1986,38,"u u c",23.19,1
1986,39,"u u p",34.87,1
1986,40,"u u n",49.37,1
1986,41,"b u n",144.29,1
1986,42,"b u c",52.15,1
1986,43,"b u p",42.17,1
1986,44,"b u n+p",66.97,1
1986,45,"b m n",28.69,1
1986,46,"b m c",18.98,1
1986,47,"b m p",18.26,1
1986,48,"b m n+p",34.13,1
1986,49,"b m n+p",21.28,1
1986,50,"b m n",19.18,1
1986,51,"b m p",20.68,1
1986,52,"b m c",23.92,1
1986,53,"b u n+p",43.69,1
1986,54,"b u n",37.05,1
1986,55,"b u p",41,1
1986,56,"b u c",58.42,1
1986,57,"u u c",50.1,1
1986,58,"u u n+p",22.68,1
1986,59,"u u p",67.8,1
1986,60,"u u n",34.62,1
1986,61,"u m c",13.56,1
1986,62,"u m n+p",20.14,1
1986,63,"u m p",15.12,1
1986,64,"u m n",14.27,1
1987,1,"u u n",41.505,2
1987,2,"u u c",26.61,2
1987,3,"u u p",15.52,2
1987,4,"u u n+p",41.65,2
1987,5,"u m n",52.735,3
1987,6,"u m c",37.435,3
1987,7,"u m p",43.735,3
1987,8,"u m n+p",72.59,3
1987,9,"b m c",44.34,3
1987,10,"b m p",33.84,3
1987,11,"b m n+p",63.345,3
1987,12,"b m n",65.23,3
1987,13,"b u c",25.97,2
1987,14,"b u p",22.11,2
1987,15,"b u n+p",66.625,2
1987,16,"b u n",54.155,2
