"year","block","snow","N","temp","plot_sd","plot_mean","plot_sum","mass_sd","mass_mean","mass_sum"
2006,1,"X","N","X",1.4142135623731,6,12,189.950094630142,743.815,1487.63
2006,1,"X","X","X",1.4142135623731,5,10,62.6638029487518,518.19,1036.38
2006,2,"X","N","X",2.12132034355964,18.5,37,80.0798429693765,367.875,735.75
2006,2,"X","X","X",1.4142135623731,23,46,213.723024613634,527.875,1055.75
2006,3,"X","N","X",1.4142135623731,36,72,154.23413111241,381.69,763.38
2006,3,"X","X","X",4.24264068711928,36,72,68.7661344703917,441.375,882.75
2007,1,"X","N","X",1.15470053837925,6,24,255.081808772532,355.625,1422.5
2007,1,"X","X","X",1.15470053837925,5,20,89.6475738656658,306.875,1227.5
2007,2,"X","N","X",1.73205080756888,18.5,74,93.900767657494,207.125,828.5
2007,2,"X","X","X",1.15470053837925,23,92,179.358971409294,235.0625,940.25
2007,3,"X","N","X",1.15470053837925,36,144,53.5856012998517,149,596
2007,3,"X","X","X",3.46410161513775,36,144,120.777084609071,228.875,915.5
2008,1,"X","N","X",1.15470053837925,6,24,30.1927833540842,233.125,932.5
2008,1,"X","X","X",1.15470053837925,5,20,138.841036200877,233.25,933
2008,2,"X","N","X",1.73205080756888,18.5,74,206.512156623607,346.375,1385.5
2008,2,"X","X","X",1.15470053837925,23,92,227.207171890179,309.6875,1238.75
2008,3,"X","N","X",1.15470053837925,36,144,138.08941849396,164.875,659.5
2008,3,"X","X","X",3.46410161513775,36,144,125.451351792903,180.5,722
2009,1,"X","N","X",1.15470053837925,6,24,80.7213571491461,313.875,1255.5
2009,1,"X","X","X",1.15470053837925,5,20,84.7868344241408,289.6875,1158.75
2009,2,"X","N","X",1.73205080756888,18.5,74,83.0861438006763,237.1875,948.75
2009,2,"X","X","X",1.15470053837925,23,92,175.427276005377,275.875,1103.5
2009,3,"X","N","X",1.15470053837925,36,144,124.114593387187,217.4375,869.75
2009,3,"X","X","X",3.46410161513775,36,144,110.468226955386,148.375,593.5
2010,1,"X","N","X",1.15470053837925,6,24,171.850892248678,301.125,1204.5
2010,1,"X","X","X",1.15470053837925,5,20,130.974393171592,212.5,850
2010,2,"X","N","X",1.73205080756888,18.5,74,82.9875429909011,98.8125,395.25
2010,2,"X","X","X",1.15470053837925,23,92,126.461518356376,216.0625,864.25
2010,3,"X","N","X",1.15470053837925,36,144,66.1546089979124,278.9375,1115.75
2010,3,"X","X","X",3.46410161513775,36,144,88.7738230936725,203.5,814
2011,1,"X","N","X",1.15470053837925,6,24,41.9297527618118,138.125,552.5
2011,1,"X","X","X",1.15470053837925,5,20,97.37863707371,198.9375,795.75
2011,2,"X","N","X",1.73205080756888,18.5,74,73.751377105787,262.6875,1050.75
2011,2,"X","X","X",1.15470053837925,23,92,62.2597047321406,161.625,646.5
2011,3,"X","N","X",1.15470053837925,36,144,96.8694353240484,145.875,583.5
2011,3,"X","X","X",3.46410161513775,36,144,39.1590639784286,92.1875,368.75
2012,1,"X","N","X",1.15470053837925,6,24,25.4847789539822,174.0625,696.25
2012,1,"X","X","X",1.15470053837925,5,20,97.563093901673,174.3125,697.25
2012,2,"X","N","X",1.73205080756888,18.5,74,67.5809699545664,169.625,678.5
2012,2,"X","X","X",1.15470053837925,23,92,64.4438951724676,115.1875,460.75
2012,3,"X","N","X",1.15470053837925,36,144,62.6574682965513,150.25,601
2012,3,"X","X","X",3.46410161513775,36,144,72.1817728608361,126,504
2013,1,"X","N","X",1.15470053837925,6,24,134.128824891097,211.75,847
2013,1,"X","X","X",1.15470053837925,5,20,97.1131213242234,201.75,807
2013,2,"X","N","X",1.73205080756888,18.5,74,275.530350339728,314.5625,1258.25
2013,2,"X","X","X",1.15470053837925,23,92,126.87272165442,153.625,614.5
2013,3,"X","N","X",1.15470053837925,36,144,32.7305922138092,95.75,383
