,Year,Creek,Treatment,Branch,shoot_mass
1,2004,CL,Control,L,6.180270404
2,2004,CL,Control,R,8.336402988
3,2004,NE,Enriched,L,7.450045507
4,2004,NE,Enriched,R,8.567146667
5,2004,SW,Enriched,L,7.231798393
6,2004,SW,Enriched,R,9.011125117
7,2004,WE,Control,L,6.006731112
8,2004,WE,Control,R,5.406879426
9,2005,CL,Control,L,8.555113841
10,2005,CL,Control,R,10.09958131
11,2005,NE,Enriched,L,8.854841643
12,2005,NE,Enriched,R,9.905942826
13,2005,SW,Enriched,L,7.529869804
14,2005,SW,Enriched,R,8.113014465
15,2005,WE,Control,L,7.926695935
16,2005,WE,Control,R,7.288045074
17,2006,CL,Control,L,6.562832941
18,2006,CL,Control,R,8.704893902
19,2006,NE,Enriched,L,8.259889585
20,2006,NE,Enriched,R,6.967333759
21,2006,SW,Enriched,L,8.542857105
22,2006,SW,Enriched,R,8.517956556
23,2006,WE,Control,L,8.675334291
24,2006,WE,Control,R,8.376629709
25,2007,SW,Enriched,L,8.240840134
26,2007,SW,Enriched,R,8.634737873
27,2007,WE,Control,L,8.055886667
28,2007,WE,Control,R,6.637019343
29,2008,SW,Enriched,L,8.28647055
30,2008,SW,Enriched,R,6.863766453
31,2008,WE,Control,L,5.951634203
32,2008,WE,Control,R,4.902238075
33,2009,CL,Control,L,6.849277917
34,2009,NE,Enriched,R,7.198421098
35,2009,SW,Enriched,L,8.030267692
36,2009,SW,Enriched,R,7.31601881
37,2009,WE,Control,L,6.459070492
38,2009,WE,Control,R,6.46262
39,2010,CL,Control,R,7.888874747
40,2010,NE,Enriched,L,6.685150117
41,2010,SW,Enriched,L,7.528932222
42,2010,SW,Enriched,R,9.133762299
43,2010,WE,Control,L,7.363166651
44,2010,WE,Control,R,5.570216789
45,2011,CL,Control,R,7.471441667
46,2011,NE,Enriched,L,7.860893333
47,2011,SW,Enriched,L,7.34056
48,2011,SW,Enriched,R,8.140411014
49,2011,WE,Control,L,7.206927222
50,2011,WE,Control,R,6.715093333
51,2012,CL,Control,R,5.641409444
52,2012,NE,Enriched,L,5.436628889
53,2012,SW,Enriched,L,6.004973333
54,2012,SW,Enriched,R,5.841026667
55,2012,WE,Control,L ,5.753013333
56,2012,WE,Control,R,5.488413333
57,2013,CL,Control,R,7.013925714
58,2013,NE,Enriched,L,7.139233254
59,2013,SW,Enriched,L,5.37418703
60,2013,SW,Enriched,R,4.995383262
61,2013,WE,Control,L,5.556736539
62,2013,WE,Control,R,5.856439362
63,2014,CL,Control,R,6.666546667
64,2014,NE,Enriched,L,6.897786667
65,2014,SW,Enriched,L,6.756218889
66,2014,SW,Enriched,R,6.078408333
67,2014,WE,Control,L,5.58822
68,2014,WE,Control,R,5.84253
69,2015,CL,Control,R,6.51948
70,2015,NE,Enriched,L,5.62744
71,2015,SW,Enriched,L,6.441533333
72,2015,SW,Enriched,R,7.077573333
73,2015,WE,Enriched,L,6.919293333
74,2015,WE,Enriched,R,5.922
75,2016,CL,Control,R,7.331378333
76,2016,NE,Enriched,L,4.689688116
77,2016,SW,Enriched,L,8.420495205
78,2016,SW,Enriched,R,6.367933333
79,2016,WE,Control,L,4.957852778
80,2016,WE,Control,R,5.339426667
81,2016,WE ,Control,L,0.080362778
82,2016,WE ,Control,R,0.067333333
83,2017,CL,Control,R,6.388333333
84,2017,NE,Enriched,L,5.888533333
85,2017,SW,Enriched,L,7.274
86,2017,SW,Enriched,R,7.730013333
87,2017,WE,Control,L,6.48084
88,2017,WE,Control,R,4.90844
89,2018,CL,Control,R,5.456786667
90,2018,NE,Enriched,L,3.851786667
91,2018,SW,Enriched,L,4.998146667
92,2018,SW,Enriched,R,6.256991919
93,2018,WE,Control,L,6.639186667
94,2018,WE,Control,R,3.879186667
95,2019,CL,Control,R,6.01852
96,2019,NE,Enriched,L,5.402213333
97,2019,SW,Enriched,L,6.787266667
98,2019,SW,Enriched,R,7.125053333
99,2019,WE,Control,L,5.37044
100,2019,WE,Control,R,5.411866667
101,2020,CL,Control,R,5.600826667
102,2020,NE,Enriched,L,5.53736
103,2020,SW,Enriched,L,5.868813333
104,2020,SW,Enriched,R,5.244386667
105,2020,WE,Control,R,5.332866667
