"Year","Creek","Treatment","Replicate","shoot_mass"
2004,"CL","Control","L 1",4.69230947368421
2004,"CL","Control","L 2",6.85870173913044
2004,"CL","Control","L 3",6.9898
2004,"CL","Control","R 1",8.59551852813853
2004,"CL","Control","R 2",7.51424
2004,"CL","Control","R 3",8.89945043478261
2004,"NE","Enriched","L 1",8.03224166666667
2004,"NE","Enriched","L 2",8.4181252173913
2004,"NE","Enriched","L 3",5.89976963768116
2004,"NE","Enriched","R 1",8.86724
2004,"NE","Enriched","R 2",7.08396
2004,"NE","Enriched","R 3",9.75024
2004,"SW","Enriched","L 1",8.06416909090909
2004,"SW","Enriched","L 2",6.84442608695652
2004,"SW","Enriched","L 3",6.7868
2004,"SW","Enriched","R 1",10.0809923809524
2004,"SW","Enriched","R 2",10.1092
2004,"SW","Enriched","R 3",6.84318297101449
2004,"WE","Control","L 1",6.52195256916996
2004,"WE","Control","L 2",4.83643
2004,"WE","Control","L 3",6.66181076604555
2004,"WE","Control","R 1",4.91943787878788
2004,"WE","Control","R 2",4.72602052295531
2004,"WE","Control","R 3",6.5751798757764
2005,"CL","Control","L 1",7.334465
2005,"CL","Control","L 2",8.74321391304348
2005,"CL","Control","L 3",9.58766260869565
2005,"CL","Control","R 1",9.71290307692308
2005,"CL","Control","R 2",9.90950962962963
2005,"CL","Control","R 3",10.6763312318841
2005,"NE","Enriched","L 1",8.142805
2005,"NE","Enriched","L 2",10.3062382608696
2005,"NE","Enriched","L 3",8.11548166666667
2005,"NE","Enriched","R 1",10.4584034782609
2005,"NE","Enriched","R 2",8.501745
2005,"NE","Enriched","R 3",10.75768
2005,"SW","Enriched","L 1",8.05184
2005,"SW","Enriched","L 2",7.49543959866221
2005,"SW","Enriched","L 3",7.04232981481481
2005,"SW","Enriched","R 1",8.89106615384615
2005,"SW","Enriched","R 2",9.20978307692308
2005,"SW","Enriched","R 3",6.23819416445623
2005,"WE","Control","L 1",7.31708
2005,"WE","Control","L 2",8.89977648351648
2005,"WE","Control","L 3",7.56323132183908
2005,"WE","Control","R 1",6.02285656084656
2005,"WE","Control","R 2",8.37412173913043
2005,"WE","Control","R 3",7.46715692307692
2006,"CL","Control","L 1",7.50048232441472
2006,"CL","Control","L 2",5.50982367816092
2006,"CL","Control","L 3",6.67819282051282
2006,"CL","Control","R 1",9.01253022983458
2006,"CL","Control","R 2",6.79694248233026
2006,"CL","Control","R 3",10.305208994709
2006,"NE","Enriched","L 1",8.44970167487685
2006,"NE","Enriched","L 2",10.5725434615385
2006,"NE","Enriched","L 3",5.75742361854787
2006,"NE","Enriched","R 1",11.0842083333333
2006,"NE","Enriched","R 2",8.84968806177719
2006,"NE","Enriched","R 3",0.968104882943144
2006,"SW","Enriched","L 1",8.55486930641822
