"EOYBYear","Plot","Treatment","live_gm2","n_quadrats"
1994,1,"No wrack",384.92,4
1994,1,"Wrack",65.24,4
1994,2,"No wrack",343.56,4
1994,2,"Wrack",77.12,4
1994,3,"No wrack",348.4,4
1994,3,"Wrack",35.16,4
1994,4,"No wrack",234.96,4
1994,4,"Wrack",15.16,4
1994,5,"No wrack",488.36,4
1994,5,"Wrack",43.8933333333333,3
1994,6,"No wrack",439.12,4
1994,6,"Wrack",68.44,4
1994,7,"No wrack",508.64,4
1994,7,"Wrack",16.48,4
1994,8,"No wrack",391.36,4
1994,8,"Wrack",43.64,4
1994,9,"No wrack",336.68,4
1994,9,"Wrack",48.36,4
1995,1,"No wrack",328.64,4
1995,1,"Wrack",188.6,4
1995,2,"No wrack",267,4
1995,2,"Wrack",263.08,4
1995,3,"No wrack",431.36,4
1995,3,"Wrack",188.28,4
1995,4,"No wrack",295.84,4
1995,4,"Wrack",109.72,4
1995,5,"No wrack",323.92,4
1995,5,"Wrack",288.16,2
1995,6,"No wrack",488.48,4
1995,6,"Wrack",467.24,4
1995,7,"No wrack",334.16,4
1995,7,"Wrack",214.88,4
1995,8,"No wrack",462.6,4
1995,8,"Wrack",264.28,4
1995,9,"No wrack",500.28,4
1995,9,"Wrack",316.8,4
1996,1,"No wrack",400.28,4
1996,1,"Wrack",417.88,4
1996,2,"No wrack",615.56,4
1996,2,"Wrack",650.08,4
1996,3,"No wrack",494.28,4
1996,3,"Wrack",323.64,4
1996,4,"No wrack",529.64,4
1996,4,"Wrack",426.28,4
1996,5,"No wrack",391.08,4
1996,5,"Wrack",466.24,4
1996,6,"No wrack",583.16,4
1996,6,"Wrack",579.76,4
1996,7,"No wrack",594.24,4
1996,7,"Wrack",538.28,4
1996,8,"No wrack",544.76,4
1996,8,"Wrack",540.4,4
1996,9,"No wrack",616.08,4
1996,9,"Wrack",518.08,4
1997,1,"No wrack",816.88,4
1997,1,"Wrack",653.68,4
1997,2,"No wrack",538.12,4
1997,2,"Wrack",521.92,4
1997,3,"No wrack",867.04,4
1997,3,"Wrack",416.38,4
1997,4,"No wrack",519.685,4
1997,4,"Wrack",811.24,4
1997,5,"No wrack",532.76,4
1997,5,"Wrack",546.56,4
1997,6,"No wrack",533.52,4
1997,6,"Wrack",471.36,4
1997,7,"No wrack",306.12,4
1997,7,"Wrack",420.92,4
1997,8,"No wrack",688.32,4
1997,8,"Wrack",652.28,4
1997,9,"No wrack",579.12,4
1997,9,"Wrack",689.6,4
1998,1,"No wrack",1008.48,4
1998,1,"Wrack",1020.32,4
1998,2,"No wrack",621.2,4
1998,2,"Wrack",613.08,4
1998,3,"No wrack",724.36,4
1998,3,"Wrack",426.4,4
1998,4,"No wrack",639.84,4
1998,4,"Wrack",844.48,4
1998,5,"No wrack",761.32,4
1998,5,"Wrack",586.2,4
1998,6,"No wrack",806.48,4
1998,6,"Wrack",727.56,4
1998,7,"No wrack",872.04,4
1998,7,"Wrack",569.48,4
1998,8,"No wrack",758.92,4
1998,8,"Wrack",546.56,4
1998,9,"No wrack",761.2,4
1998,9,"Wrack",854,4
