Date,Site,Treatment,Growth Form,Species,Tissue,Biomass Categroy,B1Q1,B1Q2,B1Q3,B1Q4,B1Q5,B1Q6,B1Q7,B1Q8,B2Q1,B2Q2,B2Q3,B2Q4,B2Q5,B2Q6,B2Q7,B2Q8,B3Q1,B3Q2,B3Q3,B3Q4,B3Q5,B3Q6,B3Q7,B3Q8,B4Q1,B4Q2,B4Q3,B4Q4,B4Q5,B4Q6,B4Q7,B4Q8,Average,Std. Err.,Count,B1Q1gm2,B1Q2gm2,B1Q3gm2,B1Q4gm2,B1Q5gm2,B1Q6gm2,B1Q7gm2,B2Q1gm2,B2Q2gm2,B2Q3gm2,B2Q4gm2,B2Q5gm2,B2Q6gm2,B2Q7gm2,B3Q1gm2,B3Q2gm2,B3Q3gm2,B3Q4gm2,B3Q5gm2,B3Q6gm2,B3Q7gm2,B4Q1gm2,B4Q2gm2,B4Q3gm2,B4Q4gm2,B4Q5gm2,B4Q6gm2,B4Q7gm2,Average g/m^2,StdERR g/m^2,Count  g/m^2,Species Comments,Comments
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,blade,new above,0.000,1.232,0.585,0.000,0.037,.,.,.,0.111,0.000,0.000,0.793,0.263,.,.,.,1.990,0.362,2.980,1.333,0.307,.,.,.,0.27,0.787,0.730,0.000,2.730,.,.,.,0.726,0.202,20.000,0,30.8,14.625,0,0.925,.,.,2.775,0,0,19.825,6.575,.,.,49.75,9.05,74.5,33.325,7.675,.,.,6.825,19.675,18.25,0,68.25,.,.,18.141,5.059,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,sheath,new above,0.000,0.875,0.945,0.000,0.051,.,.,.,0.168,0.000,0.000,1.129,0.288,.,.,.,1.964,0.644,3.438,1.228,0.423,.,.,.,0.26,1.096,1.032,0.000,6.031,.,.,.,0.978,0.326,20.000,0,21.875,23.625,0,1.275,.,.,4.2,0,0,28.225,7.2,.,.,49.1,16.1,85.95,30.7,10.575,.,.,6.375,27.4,25.8,0,150.775,.,.,24.459,8.150,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,rhizome,below,0.000,1.365,2.555,0.000,0.065,.,.,.,0.312,0.000,0.000,1.319,0.364,.,.,.,3.834,1.196,3.839,2.696,1.712,.,.,.,0.55,1.807,3.580,0.000,3.553,.,.,.,1.437,0.321,20.000,0,34.125,63.875,0,1.625,.,.,7.8,0,0,32.975,9.1,.,.,95.85,29.9,95.975,67.4,42.8,.,.,13.675,45.175,89.5,0,88.825,.,.,35.930,8.022,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,roots,below,0.000,0.237,0.383,0.000,0.008,.,.,.,0.042,0.000,0.000,0.327,0.205,.,.,.,1.986,0.264,1.760,1.464,0.354,.,.,.,0.10,0.257,5.193,0.000,2.739,.,.,.,0.766,0.293,20.000,0,5.925,9.575,0,0.2,.,.,1.05,0,0,8.175,5.125,.,.,49.65,6.6,44,36.6,8.85,.,.,2.525,6.425,129.825,0,68.475,.,.,19.150,7.316,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,v1,new above,0.000,0.000,0.065,0.000,0.000,.,.,.,0,0.000,0.000,0.023,0.093,.,.,.,0.095,0.000,0.581,0.240,0.000,.,.,.,0.07,0.056,0.174,0.000,0.041,.,.,.,0.072,0.031,20.000,0,0,1.625,0,0,.,.,0,0,0,0.575,2.325,.,.,2.375,0,14.525,6,0,.,.,1.675,1.4,4.35,0,1.025,.,.,1.794,0.763,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,v0,new above,0.000,0.007,0.034,0.000,0.000,.,.,.,0,0.000,0.000,0.019,0.015,.,.,.,0.043,0.018,0.148,0.027,0.000,.,.,.,0.01,0.003,0.029,0.000,0.031,.,.,.,0.019,0.007,20.000,0,0.175,0.85,0,0,.,.,0,0,0,0.475,0.375,.,.,1.075,0.45,3.7,0.675,0,.,.,0.325,0.075,0.725,0,0.775,.,.,0.484,0.186,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,buds,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,inflorescence,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.134,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.180,.,.,.,0.016,0.011,20.000,0,0,0,0,0,.,.,0,0,0,3.35,0,.,.,0,0,0,0,0,.,.,0,0,0,0,4.5,.,.,0.393,0.273,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,inc. blade,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,inc. sheath,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
