"Field number/letter"	"Experiment number"	"Plot number"	"Subplot number"	"N Level Treatment"	"Soil Remove (in)"	"Black Dirt Added (in)"	"Competition Treatment"	"Competition Species Percentage"	"Sampling Year (YYYY)"	"Sampling Month (MM)"	"Sampling Day (DD)"	"Root biomass (g/sample)"	"Root biomass (g/m2)"	"Depth"	"Type"	"Note"
E	55	1	3	4	0	2	2	SS100	1992	08	12	0.82	226.5747	00-25	 	 
E	55	1	9	4	0	2	4	BG100	1992	08	12	0.59	163.0233	00-25	 	 
E	55	1	11	4	0	2	5	AG100	1992	08	12	1.62	447.6233	00-25	 	 
E	55	1	18	4	0	2	3	AS100	1992	08	12	0.43	118.8136	00-25	 	 
E	55	1	19	4	0	2	6	BD100	1992	08	12	1.68	464.2019	00-25	 	 
E	55	1	20	4	0	2	1	PV100	1992	08	12	1.75	483.5437	00-25	 	 
E	55	2	1	7	4	5	4	BG100	1992	08	12	0.59	163.0233	00-25	 	 
E	55	2	5	7	4	5	1	PV100	1992	08	12	1.83	505.6485	00-25	 	 
E	55	2	13	7	4	5	6	BD100	1992	08	12	0.79	218.2854	00-25	 	 
E	55	2	17	7	4	5	3	AS100	1992	08	12	0.59	163.0233	00-25	 	 
E	55	2	21	7	4	5	2	SS100	1992	08	12	1.96	541.5689	00-25	 	 
E	55	2	22	7	4	5	5	AG100	1992	08	12	3.18	878.6679	00-25	 	 
E	55	3	8	12	7	9	3	AS100	1992	08	12	1.25	345.3883	00-25	 	 
E	55	3	11	12	7	9	4	BG100	1992	08	12	0.82	226.5747	00-25	 	 
E	55	3	16	12	7	9	2	SS100	1992	08	12	1.56	431.0446	00-25	 	 
E	55	3	17	12	7	9	6	BD100	1992	08	12	1.17	323.2835	00-25	 	 
E	55	3	18	12	7	9	5	AG100	1992	08	12	2.62	723.9339	00-25	 	 
E	55	3	19	12	7	9	1	PV100	1992	08	12	2.66	734.9864	00-25	 	 
E	55	4	2	6	3	4	1	PV100	1992	08	12	2.42	668.6718	00-25	 	 
E	55	4	7	6	3	4	3	AS100	1992	08	12	0.62	171.3126	00-25	 	 
E	55	4	13	6	3	4	4	BG100	1992	08	12	0.64	176.8388	00-25	 	 
E	55	4	14	6	3	4	2	SS100	1992	08	12	1.53	422.7553	00-25	 	 
E	55	4	18	6	3	4	6	BD100	1992	08	12	0.68	187.8912	00-25	 	 
E	55	4	23	6	3	4	5	AG100	1992	08	12	3.08	851.0368	00-25	 	 
E	55	5	2	1	0	0.3	6	BD100	1992	08	12	0.29	80.1301	00-25	 	 
E	55	5	5	1	0	0.3	4	BG100	1992	08	12	0.55	151.9709	00-25	 	 
E	55	5	8	1	0	0.3	1	PV100	1992	08	12	0.45	124.3398	00-25	 	 
E	55	5	10	1	0	0.3	3	AS100	1992	08	12	0.17	46.9728	00-25	 	 
