"Field name ( Ignore this for this experiment)"	"Experiment number"	"Plot number"	"Sub plot number"	"Treatment number"	"Species and percent seed of total planted"	"Soil totaln N (mg/kg)(1989 samples)"	"Year"	"Species Name"	"Maximum species height (cm)"	"Median species height (cm)"	"Species Above ground biomass(g/m2)"	"Species proportion of total biomass"	"Date"	"Biomass"	"Prop"
E	55	1	1	12	PV30BG70	476.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	MISCELLANEOUS LITTER	 	 	1.9	 	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	PANICUM VIRGATUM (PV)	 	 	33.919998	0.580822	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	BOUTELOUA GRACILIS (BG)	 	 	24.48	0.419178	 	 	 
E	55	1	1	12	PV30BG70	476.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	MISCELLANEOUS LITTER	 	 	3.72	 	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	10.88	0.277551	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	AGROPYRON SMITHII (AS)	 	 	28.32	0.722449	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	2	14	SS30AS70	517.1	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	3	2	SS100	569.7	1989	MISCELLANEOUS LITTER	 	 	0.34	 	 	 	 
E	55	1	3	2	SS100	569.7	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	18.76	1	 	 	 
E	55	1	3	2	SS100	569.7	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	3	2	SS100	569.7	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	MISCELLANEOUS LITTER	 	 	0	 	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0.36	0.011711	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	PANICUM VIRGATUM (PV)	 	 	30.380001	0.988289	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	4	9	PV70SS30	717.5	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	MISCELLANEOUS LITTER	 	 	4.18	 	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	PANICUM VIRGATUM (PV)	 	 	41.259998	0.831185	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	BOUTELOUA GRACILIS (BG)	 	 	8.38	0.168815	 	 	 
E	55	1	5	13	PV70BG30	1318.3	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	MISCELLANEOUS LITTER	 	 	0.9	 	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	12.32	0.930514	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	BOUTELOUA GRACILIS (BG)	 	 	0.92	0.069486	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	MISCELLANEOUS LITTER	 	 	3.64	 	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	AGROPYRON SMITHII (AS)	 	 	18.200001	0.249315	 	 	 
