"Field"	"Experiment"	"Plot"	"Subplot"	"N Level Treatment"	"Soil Remove (in)"	"Black Dirt Added (in)"	"Competition Treatment"	"Competition Species Percentage"	"Biomass"	"Species"	"Date sampled"	"Year"	"Month"	"Day"
E	55	1	1	4	0	2	12	PV30BG70	0.04	Bouteloua gracilis	890822	1989	08	22
E	55	1	7	4	0	2	18	AS30BG70	0.2	Bouteloua gracilis	890822	1989	08	22
E	55	1	9	4	0	2	4	BG100	0.05	Bouteloua gracilis	890822	1989	08	22
E	55	1	22	4	0	2	21	AG30BG70	0.01	Bouteloua gracilis	890822	1989	08	22
E	55	1	23	4	0	2	19	AS70BG30	0.03	Bouteloua gracilis	890822	1989	08	22
E	55	2	1	7	4	5	4	BG100	0.08	Bouteloua gracilis	890822	1989	08	22
E	55	2	2	7	4	5	21	AG30BG70	0.1	Bouteloua gracilis	890822	1989	08	22
E	55	2	4	7	4	5	19	AS70BG30	0.42	Bouteloua gracilis	890822	1989	08	22
E	55	2	8	7	4	5	16	SS30BG70	0.11	Bouteloua gracilis	890822	1989	08	22
E	55	2	9	7	4	5	17	SS70BG30	0.05	Bouteloua gracilis	890822	1989	08	22
E	55	2	11	7	4	5	12	PV30BG70	0.25	Bouteloua gracilis	890822	1989	08	22
E	55	2	14	7	4	5	18	AS30BG70	0.02	Bouteloua gracilis	890822	1989	08	22
E	55	3	1	12	7	9	20	PV25SS25AS25BG25	0.14	Bouteloua gracilis	890823	1989	08	23
E	55	3	2	12	7	9	24	BD70PV30	0.08	Buchloe dactyloides	890823	1989	08	23
E	55	3	3	12	7	9	12	PV30BG70	0.84	Bouteloua gracilis	890823	1989	08	23
E	55	3	4	12	7	9	23	BD30PV70	0.01	Buchloe dactyloides	890823	1989	08	23
E	55	3	4	12	7	9	23	BD30PV70	0.02	Panicum virgatum	890823	1989	08	23
E	55	3	9	12	7	9	16	SS30BG70	0.41	Bouteloua gracilis	890823	1989	08	23
E	55	3	10	12	7	9	17	SS70BG30	0.54	Bouteloua gracilis	890823	1989	08	23
E	55	3	11	12	7	9	4	BG100	0.53	Bouteloua gracilis	890823	1989	08	23
E	55	3	12	12	7	9	19	AS70BG30	0.12	Bouteloua gracilis	890823	1989	08	23
E	55	3	14	12	7	9	13	PV70BG30	0.07	Bouteloua gracilis	890823	1989	08	23
E	55	3	20	12	7	9	22	AG70BG30	0.04	Andropogon gerardi	890823	1989	08	23
E	55	3	20	12	7	9	22	AG70BG30	0.31	Bouteloua gracilis	890823	1989	08	23
E	55	3	21	12	7	9	21	AG30BG70	0.15	Bouteloua gracilis	890823	1989	08	23
E	55	3	22	12	7	9	11	PV70AS30	0.1	Panicum virgatum	890823	1989	08	23
E	55	3	23	12	7	9	18	AS30BG70	0.18	Bouteloua gracilis	890823	1989	08	23
E	55	4	1	6	3	4	19	AS70BG30	0.16	Bouteloua gracilis	890823	1989	08	23
E	55	4	3	6	3	4	21	AG30BG70	0.99	Bouteloua gracilis	890823	1989	08	23
E	55	4	4	6	3	4	22	AG70BG30	0.02	Bouteloua gracilis	890823	1989	08	23
E	55	4	8	6	3	4	18	AS30BG70	0.1	Bouteloua gracilis	890823	1989	08	23
E	55	4	9	6	3	4	16	SS30BG70	0.42	Bouteloua gracilis	890823	1989	08	23
E	55	4	13	6	3	4	4	BG100	0.58	Bouteloua gracilis	890823	1989	08	23
E	55	4	15	6	3	4	17	SS70BG30	0.69	Bouteloua gracilis	890823	1989	08	23
E	55	4	16	6	3	4	13	PV70BG30	0.01	Bouteloua gracilis	890823	1989	08	23
E	55	5	16	1	0	0.3	18	AS30BG70	0.01	Bouteloua gracilis	890823	1989	08	23
E	55	6	3	11	6	8	21	AG30BG70	0.369	Bouteloua gracilis	890823	1989	08	23
E	55	6	4	11	6	8	18	AS30BG70	0.228	Bouteloua gracilis	890823	1989	08	23
E	55	6	5	11	6	8	4	BG100	0.518	Bouteloua gracilis	890823	1989	08	23
E	55	6	6	11	6	8	19	AS70BG30	0.936	Bouteloua gracilis	890823	1989	08	23
E	55	6	7	11	6	8	13	PV70BG30	0.08	Bouteloua gracilis	890823	1989	08	23
E	55	6	15	11	6	8	6	BD100	0.027	Buchloe dactyloides	890823	1989	08	23
E	55	6	17	11	6	8	16	SS30BG70	0.259	Bouteloua gracilis	890823	1989	08	23
E	55	6	19	11	6	8	22	AG70BG30	0.157	Bouteloua gracilis	890823	1989	08	23
E	55	6	21	11	6	8	20	PV25SS25AS25BG25	0.078	Bouteloua gracilis	890823	1989	08	23
E	55	6	22	11	6	8	12	PV30BG70	0.098	Bouteloua gracilis	890823	1989	08	23
E	55	7	2	14	8	10	16	SS30BG70	2.19	Bouteloua gracilis	890823	1989	08	23
E	55	7	6	14	8	10	21	AG30BG70	1.18	Bouteloua gracilis	890823	1989	08	23
