"Experiment number"	"Plot number"	"Year"	"Sampling date (YYMMDD)"	"Species name"	"Species Biomass (g/m2)"	"Grazed"
123	1	1996	960626	Miscellaneous litter	166.65	pre
123	1	1996	960626	Miscellaneous sp.	122.85	pre
123	1	1996	960723	Miscellaneous litter	90.7	pre
123	1	1996	960723	Miscellaneous sp.	85.25	pre
123	1	1996	960819	Miscellaneous litter	160.95	pre
123	1	1996	960819	Miscellaneous sp.	251.1	pre
123	2	1996	960626	Miscellaneous litter	127.7	pre
123	2	1996	960626	Miscellaneous sp.	95.7	pre
123	2	1996	960723	Miscellaneous litter	89.4	pre
123	2	1996	960723	Miscellaneous sp.	131	pre
123	2	1996	960819	Miscellaneous litter	113.45	pre
123	2	1996	960819	Miscellaneous sp.	269.85	pre
123	3	1996	960626	Miscellaneous litter	56.6	pre
123	3	1996	960626	Miscellaneous sp.	47.25	pre
123	3	1996	960723	Miscellaneous litter	35.95	pre
123	3	1996	960723	Miscellaneous sp.	47.9	pre
123	3	1996	960819	Miscellaneous litter	28.9	pre
123	3	1996	960819	Miscellaneous sp.	49.1	pre
123	4	1996	960626	Miscellaneous litter	74.7	pre
123	4	1996	960626	Miscellaneous sp.	177.25	pre
123	4	1996	960723	Miscellaneous litter	4.55	pre
123	4	1996	960723	Miscellaneous sp.	67.85	pre
123	4	1996	960819	Miscellaneous litter	27.4	pre
123	4	1996	960819	Miscellaneous sp.	235.8	pre
123	5	1996	960626	Miscellaneous litter	170.25	pre
123	5	1996	960626	Miscellaneous sp.	189.5	pre
123	5	1996	960723	Miscellaneous litter	313.35	pre
123	5	1996	960723	Miscellaneous sp.	370.95	pre
123	5	1996	960819	Miscellaneous litter	177.1	pre
123	5	1996	960819	Miscellaneous sp.	207	pre
123	6	1996	960626	Miscellaneous litter	71.4	pre
123	6	1996	960626	Miscellaneous sp.	116.65	pre
123	6	1996	960723	Miscellaneous litter	30.2	pre
123	6	1996	960723	Miscellaneous sp.	84.3	pre
123	6	1996	960819	Miscellaneous litter	79.65	pre
123	6	1996	960819	Miscellaneous sp.	73.2	pre
123	7	1996	960626	Miscellaneous litter	153.05	pre
123	7	1996	960626	Miscellaneous sp.	139.75	pre
123	7	1996	960723	Miscellaneous litter	104.6	pre
123	7	1996	960723	Miscellaneous sp.	82.65	pre
123	7	1996	960819	Miscellaneous litter	71.5	pre
123	7	1996	960819	Miscellaneous sp.	104.15	pre
123	8	1996	960626	Miscellaneous litter	79.6	pre
