Survey Year,Year planted,Species_Full,SPCODE,SR,Block,Plot,ID,Row,Col,Position ID,Height.cm,Diameter.mm,DBH.mm,Dead,Reproducing,Reproduction Count,Notes on survey
2013,2013,Acer_negundo,ACNE,12,1,17,ACNE-2013-1026,1,B,1026,35.5,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,12,1,17,ACNE-2013-1063,5,G,1063,24,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,12,1,17,ACNE-2013-1073,7,A,1073,31,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,12,1,17,ACNE-2013-1084,8,D,1084,28.5,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1092,1,D,1092,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1099,2,C,1099,38,4,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1103,2,G,1103,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1105,3,A,1105,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1110,3,F,1110,46.5,6,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1114,4,B,1114,52,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1121,5,A,1121,34,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1136,6,H,1136,32,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1138,7,B,1138,36,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1144,7,H,1144,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,5,1,18,ACNE-2013-1145,8,A,1145,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1217,1,A,1217,48,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1218,1,B,1218,34.5,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1219,1,C,1219,35,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1220,1,D,1220,37,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1221,1,E,1221,40,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1222,1,F,1222,41.5,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1223,1,G,1223,36,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1224,1,H,1224,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1225,2,A,1225,33,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1226,2,B,1226,44,4.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1227,2,C,1227,44,4,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1228,2,D,1228,35,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1229,2,E,1229,37.5,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1230,2,F,1230,29,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1231,2,G,1231,45,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1232,2,H,1232,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1233,3,A,1233,35,2.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1234,3,B,1234,34,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1235,3,C,1235,54,4,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1236,3,D,1236,36,2,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1237,3,E,1237,39,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1238,3,F,1238,31.5,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1239,3,G,1239,40.5,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1240,3,H,1240,34.5,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1241,4,A,1241,35,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1242,4,B,1242,44,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1243,4,C,1243,54,4,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1244,4,D,1244,36,2,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1245,4,E,1245,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1246,4,F,1246,31.5,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1247,4,G,1247,40.5,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1248,4,H,1248,34.5,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1249,5,A,1249,35,3,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1250,5,B,1250,44,3.5,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1251,5,C,1251,,,,Yes,,,
2013,2013,Acer_negundo,ACNE,1,1,20,ACNE-2013-1252,5,D,1252,35.5,2.5,,Yes,,,
