"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	1	960725	ROOTS	0--30	5752	0.83235	23.9582	28.784
123	2	960725	ROOTS	0--30	5753	0.68009	25.7476	37.859
123	3	960725	ROOTS	0--30	5754	0.48259	17.8772	37.044
123	4	960725	ROOTS	0--30	5755	1.06249	33.5223	31.551
123	5	960725	ROOTS	0--30	5756	0.72315	24.4675	33.834
123	6	960725	ROOTS	0--30	5757	1.22473	30.7363	25.096
123	7	960725	ROOTS	0--30	5758	0.91122	32.2144	35.353
123	8	960725	ROOTS	0--30	5759	1.01826	30.6428	30.093
123	9	960725	ROOTS	0--30	5760	1.21565	37.288	30.673
123	10	960725	ROOTS	0--30	5761	0.49718	21.6404	43.527
123	11	960725	ROOTS	0--30	5762	0.72884	31.4373	43.133
123	12	960725	ROOTS	0--30	5763	0.63895	40.5616	63.481
123	13	960725	ROOTS	0--30	5764	0.85235	37.9653	44.542
123	14	960725	ROOTS	0--30	5765	0.77487	35.1785	45.399
123	15	960725	ROOTS	0--30	5766	1.0516	38.2072	36.332
123	16	960725	ROOTS	0--30	5767	0.79022	31.8907	40.357
123	17	960725	ROOTS	0--30	5768	0.87514	34.1363	39.007
123	18	960725	ROOTS	0--30	5769	0.52179	21.0267	40.297
123	19	960726	ROOTS	0--30	5770	1.03676	34.8717	33.635
123	20	960725	ROOTS	0--30	5771	1.14926	38.5133	33.511
123	21	960725	ROOTS	0--30	5772	0.62771	27.6343	44.024
123	22	960726	ROOTS	0--30	5773	0.87838	27.338	31.123
123	23	960726	ROOTS	0--30	5774	0.77045	25.4801	33.072
123	24	960725	ROOTS	0--30	5775	1.17644	40.8739	34.744
123	25	960725	ROOTS	0--30	5776	0.66898	15.1522	22.65
123	26	960725	ROOTS	0--30	5777	0.75907	30.1169	39.676
123	27	960725	ROOTS	0--30	5778	0.79979	34.1573	42.708
123	28	960726	ROOTS	0--30	5779	0.91005	25.4832	28.002
123	29	960725	ROOTS	0--30	5780	0.90245	34.4773	38.204
123	30	960725	ROOTS	0--30	5781	0.96308	24.2514	25.181
123	31	960725	ROOTS	0--30	5782	1.23109	36.0405	29.275
123	32	960725	ROOTS	0--30	5783	0.73715	32.033	43.455
123	33	960725	ROOTS	0--30	5784	0.82525	22.9604	27.822
123	34	960725	ROOTS	0--30	5785	0.97376	35.989	36.959
123	35	960725	ROOTS	0--30	5786	1.20433	38.3669	31.857
123	36	960726	ROOTS	0--30	5787	0.73819	32.806	44.441
123	37	960726	ROOTS	0--30	5788	0.44232	25.8514	58.445
123	38	960726	ROOTS	0--30	5789	0.84554	31.2762	36.99
123	39	960725	ROOTS	0--30	5790	0.3987	39.0061	97.834
123	40	960726	ROOTS	0--30	5791	0.83613	34.2282	40.937
123	41	960726	ROOTS	0--30	5792	0.9018	35.7204	39.61
123	42	960726	ROOTS	0--30	5793	0.75875	24.7136	32.572
123	43	960726	ROOTS	0--30	5794	0.72631	35.9204	49.456
123	44	960726	ROOTS	0--30	5795	0.81721	32.3274	39.558
123	45	960726	ROOTS	0--30	5796	0.86087	32.1461	37.341
123	46	960725	ROOTS	0--30	5797	0.93109	31.4116	33.736
123	47	960725	ROOTS	0--30	5798	0.86653	33.8484	39.062
123	48	960726	ROOTS	0--30	5799	0.95251	34.0361	35.733
123	49	960725	ROOTS	0--30	5800	0.67052	26.661	39.762
123	50	960726	ROOTS	0--30	5801	0.67098	27.1151	40.411
123	51	960726	ROOTS	0--30	5802	0.86327	25.9278	30.034
123	52	960726	ROOTS	0--30	5803	0.61142	25.9017	42.363
123	53	960726	ROOTS	0--30	5804	0.67059	30.1144	44.907
123	54	960726	ROOTS	0--30	5805	0.87421	22.4693	25.702
123	55	960726	ROOTS	0--30	5806	0.85093	29.3163	34.452
123	56	960726	ROOTS	0--30	5807	0.92016	25.9037	28.151
123	57	960726	ROOTS	0--30	5808	0.90965	26.6746	29.324
123	58	960726	ROOTS	0--30	5809	0.80182	21.4252	26.721
123	59	960726	ROOTS	0--30	5810	0.86069	27.6413	32.115
123	60	960726	ROOTS	0--30	5811	0.71101	23.5212	33.081
123	61	960726	ROOTS	0--30	5812	0.7029	27.47	39.081
123	62	960726	ROOTS	0--30	5813	1.02092	34.3644	33.66
123	63	960726	ROOTS	0--30	5814	0.79958	30.8152	38.539
123	64	960726	ROOTS	0--30	5815	0.7672	32.0026	41.713
123	65	960726	ROOTS	0--30	5816	0.72127	39.8449	55.243
123	66	960726	ROOTS	0--30	5817	0.30464	39.3202	129.071
123	67	960726	ROOTS	0--30	5818	0.91868	32.7378	35.636
123	68	960726	ROOTS	0--30	5819	0.80503	21.6603	26.906
123	69	960726	ROOTS	0--30	5820	0.84335	21.4626	25.449
123	70	960726	ROOTS	0--30	5821	0.75068	27.6166	36.789
123	71	960726	ROOTS	0--30	5822	0.72921	28.3088	38.821
123	72	960726	ROOTS	0--30	5823	0.71827	22.992	32.01
