date,plot,subplot,treatment,shelter,fertilized,taxa,cover,note_cover
8/22/2016,01,A,control_NPK,none,yes,Amorpha_canescens,6,
8/22/2016,01,A,control_NPK,none,yes,Andropogon_gerardi,1,
8/22/2016,01,A,control_NPK,none,yes,Comandra_richardsiana,1,
8/22/2016,01,A,control_NPK,none,yes,Comandra_richardsiana,2,
8/22/2016,01,A,control_NPK,none,yes,Coreopsis_palmata,4,
8/22/2016,01,A,control_NPK,none,yes,Erigeron_strigosus,2,
8/22/2016,01,A,control_NPK,none,yes,Helianthus_laetiflorus,2,
8/22/2016,01,A,control_NPK,none,yes,Lathyrus_venosus,4,
8/22/2016,01,A,control_NPK,none,yes,Panicum_praecocious,2,
8/22/2016,01,A,control_NPK,none,yes,Poa_pratensis,5,
8/22/2016,01,A,control_NPK,none,yes,Quercus_macrocarpa,15,
8/22/2016,01,A,control_NPK,none,yes,Schizachyrium_scoparium,15,
8/22/2016,01,A,control_NPK,none,yes,Sorghastrum_nutans,2,
8/22/2016,01,A,control_NPK,none,yes,Stipa_spartea,10,
8/22/2016,01,A,control_NPK,none,yes,Viola_pedatifida,1,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Andropogon_gerardi,5,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Coreopsis_palmata,3,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Euthamia_graminifolia,9,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Euthamia_graminifolia,4,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Helianthus_laetiflorus,8,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Lathyrus_venosus,4,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Panicum_oligosanthes,2,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Poa_pratensis,8,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Rosa_arkansana,1,
8/22/2016,02,A,control_infra_NPK,infrastructure_control,yes,Schizachyrium_scoparium,10,
8/22/2016,03,A,drought,drought,no,Amorpha_canescens,8,
8/22/2016,03,A,drought,drought,no,Andropogon_gerardi,5,
8/22/2016,03,A,drought,drought,no,Artemisia_ludoviciana,1,
8/22/2016,03,A,drought,drought,no,Coreopsis_palmata,5,
8/22/2016,03,A,drought,drought,no,Lathyrus_venosus,8,
8/22/2016,03,A,drought,drought,no,Liatris_aspera,1,
8/22/2016,03,A,drought,drought,no,Lithospermum_caroliniense,8,
8/22/2016,03,A,drought,drought,no,Panicum_perlongum,1,
8/22/2016,03,A,drought,drought,no,Poa_pratensis,10,
8/22/2016,03,A,drought,drought,no,Quercus_ellipsoidalis,3,
8/22/2016,03,A,drought,drought,no,Quercus_macrocarpa,15,
8/22/2016,03,A,drought,drought,no,Rhamnus_frangula,1,
8/22/2016,03,A,drought,drought,no,Schizachyrium_scoparium,4,
8/22/2016,03,A,drought,drought,no,Sorghastrum_nutans,25,
8/22/2016,03,A,drought,drought,no,Stipa_spartea,3,
8/22/2016,03,A,drought,drought,no,Viola_pedatifida,1,
8/22/2016,04,A,control,none,no,Aster_azureus,4,
8/22/2016,04,A,control,none,no,Aster_ericoides,15,
8/22/2016,04,A,control,none,no,Campanula_rotundifolia,1,
8/22/2016,04,A,control,none,no,Carex_sp.,4,
8/22/2016,04,A,control,none,no,Coreopsis_palmata,8,
8/22/2016,04,A,control,none,no,Euthamia_graminifolia,5,
8/22/2016,04,A,control,none,no,Lathyrus_venosus,2,
8/22/2016,04,A,control,none,no,Lithospermum_canescens,2,
8/22/2016,04,A,control,none,no,Panicum_oligosanthes,2,
