DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,PLOT,REPLICATE,BURN,MOW,NUTRIENT,LVGRASS,FORBS,CUYRDD,PRYRDD,WOODY,COMMENTS
PBB01,1,1986,11,15,1,.,u,u,n,40.21,2.87,0,0,0,
PBB01,1,1986,11,15,2,.,u,u,c,42.84,4.55,0,0,0,
PBB01,1,1986,11,15,3,.,u,u,p,45.57,9.12,0,0,0,
PBB01,1,1986,11,15,4,.,u,u,n+p,68.44,9.11,0,0,0,
PBB01,1,1986,11,15,5,.,u,m,n,27.19,0.32,0,0,0,
PBB01,1,1986,11,15,6,.,u,m,c,13.08,0.2,0,0,0,
PBB01,1,1986,11,15,7,.,u,m,p,27.14,0,0,0,0,
PBB01,1,1986,11,15,8,.,u,m,n+p,12.63,0.53,0,0,0,
PBB01,1,1986,11,15,9,.,b,m,c,9.51,0.18,0,0,0,
PBB01,1,1986,11,15,10,.,b,m,p,2.54,0.58,0,0,0,
PBB01,1,1986,11,15,11,.,b,m,n+p,7.21,0.83,0,0,0,
PBB01,1,1986,11,15,12,.,b,m,n,30.96,0.26,0,0,0,
PBB01,1,1986,11,15,13,.,b,u,c,5.86,0.97,0,0,0,
PBB01,1,1986,11,15,14,.,b,u,p,8.9,1.09,0,0,0,
PBB01,1,1986,11,15,15,.,b,u,n+p,19.2,3.01,0,0,0,
PBB01,1,1986,11,15,16,.,b,u,n,36.14,2.88,0,0,0,
PBB01,1,1986,11,15,17,.,u,u,n+p,13.7,4.47,0,0,0,
PBB01,1,1986,11,15,18,.,u,u,n,22.19,3.09,0,0,0,
PBB01,1,1986,11,15,19,.,u,u,p,8.52,5.63,0,0,0,
PBB01,1,1986,11,15,20,.,u,u,c,28.72,5.96,0,0,0,
PBB01,1,1986,11,15,21,.,u,m,n+p,0,0,0,0,0,
PBB01,1,1986,11,15,22,.,u,m,n,4.57,0.29,0,0,0,
PBB01,1,1986,11,15,23,.,u,m,p,5.06,0.35,0,0,0,
PBB01,1,1986,11,15,24,.,u,m,c,6.53,0.08,0,0,0,
PBB01,1,1986,11,15,25,.,b,u,c,19.16,4.39,0,0,0,
PBB01,1,1986,11,15,26,.,b,u,n+p,7.01,9.36,0,0,0,
PBB01,1,1986,11,15,27,.,b,u,p,28.69,1.99,0,0,0,
PBB01,1,1986,11,15,28,.,b,u,n,30.13,2.1,0,0,0,
PBB01,1,1986,11,15,29,.,b,m,c,12.58,0,0,0,0,
PBB01,1,1986,11,15,30,.,b,m,n+p,22.31,0.07,0,0,0,
PBB01,1,1986,11,15,31,.,b,m,p,18.48,0.17,0,0,0,
PBB01,1,1986,11,15,32,.,b,m,n,20.53,0.22,0,0,0,
PBB01,1,1986,11,15,33,.,u,m,n+p,19.04,0.42,0,0,0,
PBB01,1,1986,11,15,34,.,u,m,c,11.8,12.63,0,0,0,
PBB01,1,1986,11,15,35,.,u,m,p,11.63,1.67,0,0,0,
PBB01,1,1986,11,15,36,.,u,m,n,22.98,0.61,0,0,0,
PBB01,1,1986,11,15,37,.,u,u,n+p,21.47,3.46,3.33,22.14,0,
PBB01,1,1986,11,15,38,.,u,u,c,17.51,0.24,5.44,19.62,0,
PBB01,1,1986,11,15,39,.,u,u,p,15.57,9.33,9.97,34.2,0,
PBB01,1,1986,11,15,40,.,u,u,n,28.98,12.96,7.43,60.8,0,
PBB01,1,1986,11,15,41,.,b,u,n,144.29,0,0,0,0,
PBB01,1,1986,11,15,42,.,b,u,c,51.87,0.28,0,0,0,
PBB01,1,1986,11,15,43,.,b,u,p,41.41,0.76,0,0,0,
PBB01,1,1986,11,15,44,.,b,u,n+p,65.81,1.16,0,0,0,
PBB01,1,1986,11,15,45,.,b,m,n,28.4,0.29,0,0,0,
PBB01,1,1986,11,15,46,.,b,m,c,18.93,0.05,0,0,0,
PBB01,1,1986,11,15,47,.,b,m,p,18.05,0.21,0,0,0,
PBB01,1,1986,11,15,48,.,b,m,n+p,33.81,0.32,0,0,0,
PBB01,1,1986,11,15,49,.,b,m,n+p,20.33,0.95,0,0,0,
PBB01,1,1986,11,15,50,.,b,m,n,18.98,0.2,0,0,0,
PBB01,1,1986,11,15,51,.,b,m,p,20.02,0.66,0,0,0,
PBB01,1,1986,11,15,52,.,b,m,c,23,0.92,0,0,0,
PBB01,1,1986,11,15,53,.,b,u,n+p,43.16,0.53,0,0,0,
PBB01,1,1986,11,15,54,.,b,u,n,35.16,1.89,0,0,0,
PBB01,1,1986,11,15,55,.,b,u,p,39.88,1.12,0,0,0,
PBB01,1,1986,11,15,56,.,b,u,c,57.25,1.17,0,0,0,
PBB01,1,1986,11,15,57,.,u,u,c,47.4,0.77,1.93,68.81,0,
PBB01,1,1986,11,15,58,.,u,u,n+p,21.34,0.11,1.23,63.13,0,
PBB01,1,1986,11,15,59,.,u,u,p,60.62,0.46,6.72,78.01,0,
PBB01,1,1986,11,15,60,.,u,u,n,26.32,3,5.3,51.58,0,
PBB01,1,1986,11,15,61,.,u,m,c,12.98,0.58,0,0,0,
PBB01,1,1986,11,15,62,.,u,m,n+p,19.59,0.55,0,0,0,
PBB01,1,1986,11,15,63,.,u,m,p,14.22,0.9,0,0,0,
PBB01,1,1986,11,15,64,.,u,m,n,14.1,0.17,0,0,0,
PBB01,1,1987,5,27,5,a,u,m,n,8.84,2.91,0,0.1,0,
PBB01,1,1987,5,27,6,a,u,m,c,6.08,1.53,0,1.83,0,
PBB01,1,1987,5,27,7,a,u,m,p,6.57,0.58,0,2.23,0,
PBB01,1,1987,5,27,8,a,u,m,n+p,13.67,2.53,0,0.14,0,
PBB01,1,1987,5,27,9,a,b,m,c,10.28,2.28,0,0,0,
PBB01,1,1987,5,27,10,a,b,m,p,9.17,0.54,0,0,0,
PBB01,1,1987,5,27,11,a,b,m,n+p,15.75,1.38,0,0,0,
PBB01,1,1987,5,27,12,a,b,m,n,22.46,0.71,0,0,0,
PBB01,1,1987,5,27,21,a,u,m,n+p,11.04,3.26,0,0.12,0,
PBB01,1,1987,5,27,22,a,u,m,n,10.88,1.62,0,0.05,0,
PBB01,1,1987,5,27,23,a,u,m,p,8.02,1.04,0,0.15,0,
PBB01,1,1987,5,27,24,a,u,m,c,5.26,2.09,0,0.06,0,
PBB01,1,1987,5,27,29,a,b,m,c,6.67,1.39,0,0,0,
PBB01,1,1987,5,27,30,a,b,m,n+p,14.1,0.25,0,0,0,
PBB01,1,1987,5,27,31,a,b,m,p,11.04,0.23,0,0,0,
PBB01,1,1987,5,27,32,a,b,m,n,11.7,2.69,0,0,0,
PBB01,1,1987,5,27,33,a,u,m,n+p,16.61,1.13,0,2.56,0,
PBB01,1,1987,5,27,34,a,u,m,c,9.3,0.97,0,0.39,0,
PBB01,1,1987,5,27,35,a,u,m,p,9.21,2.2,0,0.1,0,
PBB01,1,1987,5,27,36,a,u,m,n,26.86,0.08,0,15.4,0,
PBB01,1,1987,5,27,45,a,b,m,n,23.54,0.04,0,0,0,
PBB01,1,1987,5,27,46,a,b,m,c,12.81,0.12,0,0,0,
PBB01,1,1987,5,27,47,a,b,m,p,8.99,3.82,0,0,0,
PBB01,1,1987,5,27,48,a,b,m,n+p,24.4,0.94,0,0,0,
PBB01,1,1987,5,27,49,a,b,m,n+p,22.98,0.8,0,0,0,
PBB01,1,1987,5,27,50,a,b,m,n,19.27,0.03,0,0,0,
PBB01,1,1987,5,27,51,a,b,m,p,18,0.79,0,0,0,
PBB01,1,1987,5,27,52,a,b,m,c,16.01,0.17,0,0,0,
PBB01,1,1987,5,27,61,a,u,m,c,13.55,2.12,0,0.09,0,
PBB01,1,1987,5,27,62,a,u,m,n+p,21.03,1.48,0,2.45,0,
PBB01,1,1987,5,27,63,a,u,m,p,5.8,1.82,0,0.14,0,
PBB01,1,1987,5,27,64,a,u,m,n,16.03,1.79,0,2.73,0,
PBB01,1,1987,6,15,1,a,u,u,n,20,8.84,16.38,24.38,0,
PBB01,1,1987,6,15,1,b,u,u,n,28.22,4.14,19.29,.,0,pryrdd missing
PBB01,1,1987,6,15,2,a,u,u,c,5.7,15.96,4.84,11.1,0,
PBB01,1,1987,6,15,2,b,u,u,c,14.53,15.39,9.74,24.33,0,
PBB01,1,1987,6,15,3,a,u,u,p,11.79,17.78,4.55,28.82,0,
PBB01,1,1987,6,15,3,b,u,u,p,14.24,4.86,7.9,18.13,0,
PBB01,1,1987,6,15,4,a,u,u,n+p,53.57,24.68,23.84,13.77,0,
PBB01,1,1987,6,15,4,b,u,u,n+p,30.31,28.12,12.08,19.76,0,
PBB01,1,1987,6,15,5,a,u,m,n,16.34,2.35,3.8,0,0,
PBB01,1,1987,6,15,5,b,u,m,n,20.48,0.69,2.29,0,0,
PBB01,1,1987,6,15,6,a,u,m,c,11.93,2.47,5.28,0,0,
PBB01,1,1987,6,15,6,b,u,m,c,9.13,2.56,5.93,0,0,
PBB01,1,1987,6,15,7,a,u,m,p,6.42,1.6,3.16,0,0,
PBB01,1,1987,6,15,7,b,u,m,p,20.85,1.13,3.49,0,0,
PBB01,1,1987,6,15,8,a,u,m,n+p,18.89,0.83,3.12,0,0,
PBB01,1,1987,6,15,8,b,u,m,n+p,27.55,1.26,13.72,0,0,
PBB01,1,1987,6,15,9,a,b,m,c,10.1,0.4,4.64,0,0,
PBB01,1,1987,6,15,9,b,b,m,c,12.65,0.66,4.92,0,0,
PBB01,1,1987,6,15,10,a,b,m,p,12.01,0.64,0.06,0,0,
PBB01,1,1987,6,15,10,b,b,m,p,12.15,1.18,6.98,0,0,
PBB01,1,1987,6,15,11,a,b,m,n+p,20.47,1.14,7.03,0,0,
PBB01,1,1987,6,15,11,b,b,m,n+p,27.63,2.85,4.29,0,0,
PBB01,1,1987,6,15,12,a,b,m,n,25.47,2.46,3.66,0,0,
PBB01,1,1987,6,15,12,b,b,m,n,15.43,0.29,4.71,0,0,
PBB01,1,1987,6,15,13,a,b,u,c,55.95,5.94,16.44,0,0,
PBB01,1,1987,6,15,13,b,b,u,c,37.08,3.08,11.88,0,0,
PBB01,1,1987,6,15,14,a,b,u,p,48.66,20.4,13.62,0,0,
PBB01,1,1987,6,15,14,b,b,u,p,55.01,22.65,14.4,0,0,
PBB01,1,1987,6,15,15,a,b,u,n+p,12.93,3.95,2.74,0,0,
PBB01,1,1987,6,15,15,b,b,u,n+p,15.01,11.51,3.28,0,0,
PBB01,1,1987,6,15,16,a,b,u,n,9.93,17.46,1.73,0,0,
PBB01,1,1987,6,15,16,b,b,u,n,13.04,8.99,3.44,0,0,
PBB01,1,1987,6,15,17,a,u,u,n+p,14.93,12.7,5.07,20.94,0,
PBB01,1,1987,6,15,17,b,u,u,n+p,20.17,14.63,16.15,34.98,0,
PBB01,1,1987,6,15,18,a,u,u,n,31.6,13.52,0.87,13.54,0,
PBB01,1,1987,6,15,18,b,u,u,n,2.34,9.19,3.24,11.81,0,
PBB01,1,1987,6,15,19,a,u,u,p,9.4,11.81,15.81,16.38,0,
PBB01,1,1987,6,15,19,b,u,u,p,0.91,46.48,4.06,18.44,0,
PBB01,1,1987,6,15,20,a,u,u,c,18.85,4.79,17.94,36.67,0,
PBB01,1,1987,6,15,20,b,u,u,c,21.06,7.03,14.22,29.14,0,
PBB01,1,1987,6,15,21,a,u,m,n+p,40.05,0.09,15.97,0,0,
PBB01,1,1987,6,15,21,b,u,m,n+p,33.79,5.06,14.8,0,0,
PBB01,1,1987,6,15,22,a,u,m,n,24.1,1.25,3.52,0,0,
PBB01,1,1987,6,15,22,b,u,m,n,21.49,2.95,1.29,0,0,
PBB01,1,1987,6,15,23,a,u,m,p,12.11,4.26,2.95,0,0,
PBB01,1,1987,6,15,23,b,u,m,p,10.8,0.25,7.75,0,0,
PBB01,1,1987,6,15,24,a,u,m,c,17.46,0.36,14.2,0,0,
PBB01,1,1987,6,15,24,b,u,m,c,14.28,0.38,8.58,0,0,
PBB01,1,1987,6,15,25,a,b,u,c,33.22,0.91,19.66,0,0,
PBB01,1,1987,6,15,25,b,b,u,c,12.72,5.57,9.01,0,0,
PBB01,1,1987,6,15,26,a,b,u,n+p,37.54,10.11,17.27,0,0,
PBB01,1,1987,6,15,26,b,b,u,n+p,30.49,12.82,39.23,0,0,
PBB01,1,1987,6,15,27,a,b,u,p,27.25,3.25,5.42,0,0,
PBB01,1,1987,6,15,27,b,b,u,p,21.66,2.43,9.09,0,0,
PBB01,1,1987,6,15,28,a,b,u,n,50.15,12.89,9.92,0,0,
PBB01,1,1987,6,15,28,b,b,u,n,32.5,7.51,9.64,0,0,
PBB01,1,1987,6,15,29,a,b,m,c,14.72,0.48,5.53,0,0,
PBB01,1,1987,6,15,29,b,b,m,c,15.58,1,15.12,0,0,
PBB01,1,1987,6,15,30,a,b,m,n+p,24.87,0.43,10.72,0,0,
PBB01,1,1987,6,15,30,b,b,m,n+p,23.91,1.65,11.91,0,0,
PBB01,1,1987,6,15,31,a,b,m,p,14.98,0.49,3.88,0,0,
PBB01,1,1987,6,15,31,b,b,m,p,18.57,0.82,7.29,0,0,
PBB01,1,1987,6,15,32,a,b,m,n,65.88,0.54,16.38,0,0,
PBB01,1,1987,6,15,32,b,b,m,n,43.93,0.61,14.28,0,0,
PBB01,1,1987,6,15,33,a,u,m,n+p,26.13,0.06,14.1,0,0,
PBB01,1,1987,6,15,33,b,u,m,n+p,59.13,0.51,17.43,0,0,
PBB01,1,1987,6,15,34,a,u,m,c,17.11,1.45,12.72,0,0,
PBB01,1,1987,6,15,34,b,u,m,c,12.66,0.16,11.06,0,0,
PBB01,1,1987,6,15,35,a,u,m,p,15.19,0.3,6.98,0,0,
PBB01,1,1987,6,15,35,b,u,m,p,13.05,0.87,3.06,0,0,
PBB01,1,1987,6,15,36,a,u,m,n,38.26,0.86,8.97,0,0,
PBB01,1,1987,6,15,36,b,u,m,n,43.24,0,5.26,0,0,
PBB01,1,1987,6,15,37,a,u,u,n+p,11.59,4.78,6.57,62.1,0,
PBB01,1,1987,6,15,37,b,u,u,n+p,43.96,21.2,28.19,30.88,0,
PBB01,1,1987,6,15,38,a,u,u,c,31.7,11.71,37.7,51.18,0,
PBB01,1,1987,6,15,38,b,u,u,c,18.28,26.58,21.7,27.17,0,
PBB01,1,1987,6,15,39,a,u,u,p,10.66,5.9,6.98,34.52,0,
PBB01,1,1987,6,15,39,b,u,u,p,23.3,9.11,13.77,40.75,0,
PBB01,1,1987,6,15,40,a,u,u,n,27.24,22.13,5.98,36.54,0,
PBB01,1,1987,6,15,40,b,u,u,n,31.78,72.74,23.71,34.48,0,
PBB01,1,1987,6,15,41,a,b,u,n,86.36,4.61,18.78,0,0,
PBB01,1,1987,6,15,41,b,b,u,n,30.2,0.26,11.58,0,0,
PBB01,1,1987,6,15,42,a,b,u,c,57.41,0.42,5.27,0,0,
PBB01,1,1987,6,15,42,b,b,u,c,61.41,0.43,22.44,0,0,
PBB01,1,1987,6,15,43,a,b,u,p,33.05,0.31,9.08,0,0,
PBB01,1,1987,6,15,43,b,b,u,p,11.43,0.49,17.12,0,0,
PBB01,1,1987,6,15,44,a,b,u,n+p,16.35,2.22,2.55,0,0,
PBB01,1,1987,6,15,44,b,b,u,n+p,60.84,10.2,20.11,0,0,
PBB01,1,1987,6,15,45,a,b,m,n,41.68,0.33,14.55,0,0,
PBB01,1,1987,6,15,45,b,b,m,n,38.91,0.05,12.55,0,0,
PBB01,1,1987,6,15,46,a,b,m,c,21.93,0.41,3.33,0,0,
PBB01,1,1987,6,15,46,b,b,m,c,16.45,0,4.41,0,0,
PBB01,1,1987,6,15,47,a,b,m,p,9.95,0.19,8.94,0,0,
PBB01,1,1987,6,15,47,b,b,m,p,16.99,0.5,6.4,0,0,
PBB01,1,1987,6,15,48,a,b,m,n+p,25.22,4.19,22.62,0,0,
PBB01,1,1987,6,15,48,b,b,m,n+p,12.49,0,8.07,0,0,
PBB01,1,1987,6,15,49,a,b,m,n+p,32.05,0.38,7.51,0,0,
PBB01,1,1987,6,15,49,b,b,m,n+p,13.83,1.76,5.77,0,0,
PBB01,1,1987,6,15,50,a,b,m,n,34.84,0.15,10.78,0,0,
PBB01,1,1987,6,15,50,b,b,m,n,26.8,0.27,3.71,0,0,
PBB01,1,1987,6,15,51,a,b,m,p,21.33,0.01,8.05,0,0,
PBB01,1,1987,6,15,51,b,b,m,p,15.11,0.19,2.54,0,0,
PBB01,1,1987,6,15,52,a,b,m,c,12.85,4.64,2.61,0,0,
PBB01,1,1987,6,15,52,b,b,m,c,11.47,0.23,3.86,0,0,
PBB01,1,1987,6,15,53,a,b,u,n+p,76.96,16.24,10.36,0,0,
PBB01,1,1987,6,15,53,b,b,u,n+p,66.85,0.95,17.36,0,0,
PBB01,1,1987,6,15,54,a,b,u,n,28.85,55.26,6.37,0,0,
PBB01,1,1987,6,15,54,b,b,u,n,52.64,31.46,9.78,0,0,
PBB01,1,1987,6,15,55,a,b,u,p,35.9,0.73,18.49,0,0,
PBB01,1,1987,6,15,55,b,b,u,p,54.7,3.5,9.03,0,0,
