DATE,Block-plot-rep,MONTH,YEAR,Reported_CO2_Flux_ug_C_cm-2_hr-1,Reported_CH4_Flux_ng_C_cm-2_hr-1,Reported_N2O_Flux_ng_N_cm-2_hr-1
1/22/2003,A-1-1,Jan,2003,9,0,-2.23
1/22/2003,A-1-2,Jan,2003,8.92,0,-2.06
1/22/2003,A-1-3,Jan,2003,17.39,0,0
1/22/2003,A-1-4,Jan,2003,8.91,0,-1.81
1/22/2003,A-1-5,Jan,2003,16.52,0,-4.28
1/22/2003,A-2-1,Jan,2003,12.43,0,0
1/22/2003,A-2-2,Jan,2003,12.5,0,0
1/22/2003,A-2-3,Jan,2003,,,
1/22/2003,A-2-4,Jan,2003,18.68,0,0
1/22/2003,A-2-5,Jan,2003,14.5,0,0
1/22/2003,A-3-1,Jan,2003,9.22,0,0
1/22/2003,A-3-2,Jan,2003,6.48,0,0
1/22/2003,A-3-3,Jan,2003,10.61,0,-2.48
1/22/2003,A-3-4,Jan,2003,11.84,0,0
1/22/2003,A-3-5,Jan,2003,11.76,0,0
1/22/2003,A-4-1,Jan,2003,15.58,0,0
1/22/2003,A-4-2,Jan,2003,12.5,0,0
1/22/2003,A-4-3,Jan,2003,12.82,0,0
1/22/2003,A-4-4,Jan,2003,18.27,0,0
1/22/2003,A-4-5,Jan,2003,11.83,0,0
1/22/2003,B-1-1,Jan,2003,14.36,0,0
1/22/2003,B-1-2,Jan,2003,7.33,0,0
1/22/2003,B-1-3,Jan,2003,10.5,0,0
1/22/2003,B-1-4,Jan,2003,,,
1/22/2003,B-1-5,Jan,2003,6.8,0,-13.56
1/22/2003,B-2-1,Jan,2003,,,
1/22/2003,B-2-2,Jan,2003,9.34,0,0
1/22/2003,B-2-3,Jan,2003,6.75,0,0
1/22/2003,B-2-4,Jan,2003,6.96,0,0
1/22/2003,B-2-5,Jan,2003,4.24,-44.57,0
1/21/2003,B-3-1,Jan,2003,17.62,0,0
1/21/2003,B-3-2,Jan,2003,8.28,0,0
1/21/2003,B-3-3,Jan,2003,16.22,0,0
1/21/2003,B-3-4,Jan,2003,10.98,0,-1.18
1/21/2003,B-3-5,Jan,2003,,,
1/21/2003,B-4-1,Jan,2003,11.47,0,-1.74
1/21/2003,B-4-2,Jan,2003,10.42,0,0
1/21/2003,B-4-3,Jan,2003,10.96,2.56,-1.98
