START_DATE,BLOCK,PLOT,SUB_QUAD,TAG,SPECIES,MAIN_STEM,DBH_CM,HEIGHT_Measured,HEIGHT_Estimated,SLP,A_D_NF,COMMENTS
2003-03-01,A,1,1,1,PREMON,,16.6,7.5,,S,A,
2003-03-01,A,1,1,2,SLOBER,,3.14,4.7,,S,A,
2003-03-01,A,1,1,3,GUAGUI,,6,9,,L,A,AGAINST LEANING TREE; STRAIGHT @ BASE
2003-03-01,A,1,1,4,CHIDOM,,30.2,19.5,,S,A,
2003-03-01,A,1,1,5,MANBID,,27.5,18,,S,A,
2003-03-01,A,1,1,6,MANBID,,23.8,18,,S,A,
2003-03-01,A,1,1,7,SLOBER,,2.47,4.3,,S,A,LEANING @ BASE
2003-03-01,A,1,1,8,PSYBER,,1.26,2.5,,L,A,
2003-03-01,A,1,1,9,PSYBER,,1.74,3,,L,A,LEANING BELOW POM
2003-03-01,A,1,1,10,GUAGUI,3,1.09,2.1,,S,A,
2003-03-01,A,1,1,11,PSYBER,,1.32,2,,L,A,LEANS INTO TRAIL
2003-03-01,A,1,2,12,MICPRA,,3.03,4,,S,A,
2003-03-01,A,1,2,13,PREMON,,14,9,,S,A,VOGT TAG 1155
2003-03-01,A,1,2,14,PREMON,,10.5,6,,S,A,POM = 45 DTN= -20
2003-03-01,A,1,2,15,HELCAR,,,3.5,,S,A,2 CULMS
2003-03-01,A,1,2,16,HELCAR,,,2.8,,S,A,1 CULMS
2003-03-01,A,1,2,17,HELCAR,,,2,,S,A,2 CULMS
2003-03-01,A,1,2,18,HELCAR,,,3.5,,S,A,2 CULMS
2003-03-01,A,1,3,19,PSYBRA,,1.89,2,,S,A,
2003-03-01,A,1,3,20,PSYBRA,19,1.85,2.2,,S,A,
2003-03-01,A,1,3,21,PSYBRA,19,1.29,1.9,,S,A,
2003-03-01,A,1,3,22,PREMON,,13.4,6.5,,S,A,
2003-03-01,A,1,3,23,CORBOR,,3.53,5,,S,A,
2003-03-01,A,1,3,24,CASSYL,,1.38,3,,S,A,
2003-03-01,A,1,3,25,INGLAU,,4.69,5,,S,A,
2003-03-01,A,1,3,26,SLOBER,,49.7,24,,L,A,POM = 229 DTN= -50
2003-03-01,A,1,3,27,SLOBER,26,20.3,18,,S,A,POM = 229 DTN= -50
2003-03-01,A,1,3,28,MYRDEF,,3.52,6,,S,A,
2003-03-01,A,1,3,29,MICPRA,,1.4,3.2,,S,A,
2003-03-01,A,1,3,30,MICPRA,29,1.23,2,,S,A,
2003-03-01,A,1,4,31,PREMON,,14.9,8.5,,S,A,
2003-03-01,A,1,4,32,DACEXC,,15.9,16,,S,A,
2003-03-01,A,1,4,33,PREMON,,13.8,9,,S,A,
2003-03-01,A,1,4,34,MICPRA,,1.02,2.2,,L,A,
2003-03-01,A,1,4,35,MICPRA,34,1.1,2.2,,L,A,
2003-03-01,A,1,4,36,ALCLAT,,1.13,2.2,,S,A,DYING
2003-03-01,A,1,4,37,ALCLAT,,3.26,6.5,,S,A,
2003-03-01,A,1,4,38,SWIMAC,,1.95,3,,S,A,
2003-03-01,A,1,4,39,TETBAL,,1.11,2.5,,S,A,
2003-03-01,A,1,4,40,IXOFER,,1.31,1.9,,S,A,
2003-03-01,A,1,5,41,HOMRAC,,35.8,25,,S,A,
2003-03-01,A,1,5,42,PSYBRA,,1.97,2.7,,S,A,
2003-03-01,A,1,5,43,SLOBER,,1.75,3.2,,S,A,
2003-03-01,A,1,5,44,MANBID,,4.24,6,,S,A,
2003-03-01,A,1,5,45,INGLAU,,3.86,4.5,,S,A,
2003-03-01,A,1,5,46,TETBAL,,1.14,3,,S,A,
2003-03-01,A,1,5,47,MYRDEF,,1.33,3.2,,S,A,
2003-03-01,A,1,5,48,BYRSPI,,1.45,4,,S,A,TRAIL
2003-03-01,A,1,6,49,SCHMOR,,2.28,4,,S,A,
2003-03-01,A,1,6,50,ROYBOR,,36.3,20,,S,A,
2003-03-01,A,1,6,51,PSYBRA,53,1.68,1.8,,S,A,
2003-03-01,A,1,6,52,PSYBRA,53,1.12,1.5,,S,A,
2003-03-01,A,1,6,53,PSYBRA,,1.85,2,,S,A,
2003-03-01,A,1,6,54,PREMON,,14,7.5,,S,A,
2003-03-01,A,1,6,55,BYRSPI,,3.65,5,,S,A,POM = 121; BK BRANCH
2003-03-01,A,1,6,56,SCHMOR,,1.38,2.5,,S,A,
2003-03-01,A,1,6,57,OCOLEU,,1.2,1.9,,S,A,
2003-03-01,A,1,7,58,PSYBER,,2.92,4.7,,S,A,
2003-03-01,A,1,7,59,PSYBER,58,1.69,2.8,,S,A,
2003-03-01,A,1,7,60,PSYBER,58,1.22,1.9,,S,A,
2003-03-01,A,1,7,61,SLOBER,,1.44,2.7,,S,A,
2003-03-01,A,1,7,62,PREMON,,14,8.5,,S,A,
