START_DATE,BLOCK,PLOT,SEEDLINGPLOT,SECTION,TAG,SPECIES,HEIGHT,DIAMETER,LESSTHAN10CM,COMMENTS,DEAD__ALIVE_NOTFOUND,NEW,Plant life form
2003-06-05,A,1,1,1,,HOMRAC,,,,,,,T
2003-06-05,A,1,1,1,,PSYBRA,,,,,,,S
2003-06-05,A,1,1,1,,ROUSUR,,,,,,,V
2003-06-05,A,1,1,1,,ICHPAL,,,,,,,G
2003-06-05,A,1,1,1,,SCHBRA,,,,,,,V
2003-06-05,A,1,1,1,,HOMRAC,,,,,,,T
2003-06-05,A,1,1,1,,ORCHID,,,,,,,O
2003-06-05,A,1,1,1,1,PREMON,11,0.32,,,A,,T
2003-06-05,A,1,1,1,2,GUAGUI,11,0.15,,,A,,T
2003-06-05,A,1,1,1,3,FABSPP,27,0.14,,FABACEAE,A,,V
2003-06-05,A,1,1,1,4,FABSPP,20,0.15,,FABACEAE,A,,V
2003-06-05,A,1,1,1,5,FABSPP,10,0.07,,FABACEAE,A,,V
2003-06-05,A,1,1,1,6,FABSPP,78,0.15,,FABACEAE,A,,V
2003-06-05,A,1,1,1,7,FABSPP,62,0.15,,FABACEAE,A,,V
2003-06-05,A,1,1,1,8,FABSPP,13,0.12,,FABACEAE,A,,V
2003-06-05,A,1,1,1,9,GUAGUI,13,0.05,,,A,,T
2003-06-05,A,1,1,1,10,PREMON,17,0.43,,,A,,T
2003-06-05,A,1,1,1,11,HIPVOL,10.5,0.13,,,A,,V
2003-06-05,A,1,1,1,12,ROUSUR,13,0.07,,,A,,V
2003-06-05,A,1,1,1,13,SAUERE,10.5,0.06,,,A,,H
2003-06-05,A,1,1,1,14,SECVIR,19,0.16,,,A,,V
2003-06-05,A,1,1,1,15,HOMRAC,15,0.26,,,A,,T
2003-06-05,A,1,1,1,16,DACEXC,17,0.16,,,A,,T
2003-06-05,A,1,1,1,17,SECVIR,135,0.24,,,A,,V
2003-06-05,A,1,1,1,18,SECVIR,56,0.28,,,A,,V
2003-06-05,A,1,1,1,19,PREMON,11,0.28,,,A,,T
2003-06-05,A,1,1,1,20,PREMON,15,0.22,,,A,,T
2003-06-05,A,1,1,1,21,CHIDOM,115,0.98,,,A,,T
2003-06-05,A,1,1,1,22,CHIDOM,107.5,1.19,,,A,,T
2003-06-05,A,1,1,1,23,SAUERE,13,0.05,,,A,,H
2003-06-05,A,1,1,1,24,SAUERE,11,0.05,,,A,,H
2003-06-05,A,1,1,2,,DENARB,,,,,,,T
2003-06-05,A,1,1,2,,LEGSPP,,,,LEGUMEVINE,A,,V
2003-06-05,A,1,1,2,,ICHPAL,,,,,,,G
2003-06-05,A,1,1,2,,SECVIR,,,,,,,V
2003-06-05,A,1,1,2,,HOMRAC,,,,,,,T
2003-06-05,A,1,1,2,,SAUERE,,,,,,,H
2003-06-05,A,1,1,2,,GRASS,,,,UNKNOWNGRASS,A,,G
2003-06-05,A,1,1,2,,ORCHID,,,,,,,O
2003-06-05,A,1,1,2,25,PREMON,10.5,0.26,,,A,,T
2003-06-05,A,1,1,2,26,SAUERE,27,0.12,,PRONE,A,,H
2003-06-05,A,1,1,2,27,ROUSUR,12,0.1,,,A,,V
2003-06-05,A,1,1,2,28,PSYBRA,25,0.24,,,A,,S
2003-06-05,A,1,1,2,29,ROUSUR,12,0.12,,,A,,V
2003-06-05,A,1,1,2,30,HOMRAC,66,0.91,,,A,,T
2003-06-05,A,1,1,3,,ICHPAL,,,,,,,G
2003-06-05,A,1,1,3,,ORCHID,,,,,,,O
