Lake,Year,DOY,BGA_HYLB,Manual_Chl,DO_Sat,pH
L,2011,134,NA,NA,91.68272426794732,6.463423117220339
L,2011,135,NA,NA,91.11635545369302,6.497498678166667
L,2011,136,NA,3.30179,91.634616447491,6.5655193127673614
L,2011,137,NA,2.88056,93.50944013073804,6.5976573259236115
L,2011,138,NA,3.28478,94.44246989687063,6.596110783729166
L,2011,139,NA,3.13585,96.27624682704288,6.574699595253472
L,2011,140,NA,3.20393,97.99655776197518,6.549376895729167
L,2011,141,NA,2.92736,98.79631846789802,6.527921338197917
L,2011,142,NA,2.85929,95.60813925677829,6.465632492319444
L,2011,143,NA,3.8762,94.4403639234278,6.392024113947917
L,2011,144,NA,3.80813,92.71715874112137,6.386262921059028
L,2011,145,NA,3.03374,93.02208593552072,6.402550349395833
L,2011,146,NA,2.84227,94.5749999073288,6.395765667315788
L,2011,147,NA,2.66356,97.09837784966705,6.393828221270834
L,2011,148,NA,2.59548,96.09890486761977,6.388580848496527
L,2011,149,NA,2.35295,94.924453532463545,6.395140095413194
L,2011,150,NA,2.65505,93.30243054676828,6.392984703055555
L,2011,151,NA,2.18701,92.95118871270968,6.386840414597223
L,2011,152,NA,2.24658,91.33443308198392,6.390514623086806
L,2011,153,NA,2.05086,91.3153245211571,6.410394992774193
L,2011,154,NA,1.59984,92.68922503732794,6.370370091954861
L,2011,155,NA,1.55303,95.20232035688156,6.360106980868055
L,2011,156,NA,1.95725,92.2064417294352,6.328906304326389
L,2011,157,NA,1.6977,93.03640698052972,6.322323723211806
L,2011,158,NA,2.19552,92.72499955289425,6.261678773954861
L,2011,159,NA,1.30865,89.34084486422077,6.230165732239583
L,2011,160,NA,2.23807,88.01855117115282,6.243812609347925
L,2011,161,NA,2.47635,87.67093764728261,6.26321346559375
L,2011,162,NA,1.89768,89.39751394913755,6.287141944697916
L,2011,163,NA,1.17411,91.79412420824931,6.330584457152778
L,2011,164,NA,1.519,94.68007525480208,6.3650342876875
L,2011,165,NA,1.37951,95.87451392374317,6.369622558423611
L,2011,166,NA,1.61686,94.2270124636668,6.367509798569444
L,2011,167,NA,3.15713,92.0386134724884,6.406712809776039
L,2011,168,NA,1.82535,93.09033296407723,6.436567710010417
L,2011,169,NA,2.4338,94.41030304466274,6.4550555622847225
L,2011,170,NA,3.52305,90.49058266746196,6.356084465222223
L,2011,171,NA,3.38264,89.22879616391702,6.3197866491875
L,2011,172,NA,3.05927,88.71892146465098,6.275466140628472
L,2011,173,NA,2.23807,88.5165541124029,6.246628688444445
L,2011,174,NA,3.76558,86.94566698826428,6.210798508652777
L,2011,175,NA,3.07203,88.37761668892549,6.237001987774305
L,2011,176,NA,2.13595,90.3780211610838,6.264404099895834
L,2011,177,NA,1.519,91.91386797299424,6.243993713892361
L,2011,178,NA,3.11458,92.08494677499849,6.257750009128472
L,2011,179,NA,3.14862,91.0604803163819,6.245047946524306
L,2011,180,NA,2.11468,91.43578859529558,6.2683528465347225
L,2011,181,NA,2.27637,94.43538047740988,6.221251213104167
L,2011,182,NA,1.81684,97.23810466843456,6.19
L,2011,183,NA,1.89768,95.58273913738958,6.19
L,2011,184,NA,1.77003,92.86222586028988,6.19
L,2011,185,NA,1.75727,91.98233832207195,6.19
L,2011,186,NA,1.97001,92.395032313708,6.19
L,2011,187,NA,1.66366,90.60543702153912,6.19
L,2011,188,NA,2.45082,91.02458010877372,6.154809840715278
L,2011,189,NA,1.59558,92.34301157285115,6.064647082315973
L,2011,190,NA,2.94864,90.6106313324375,6.080056652861111
L,2011,191,NA,2.68484,89.3280877852686,6.101369004763889
L,2011,192,NA,2.49337,92.19382775911986,6.1221605408159725
L,2011,193,NA,2.43805,89.28939334885096,6.147014545263889
L,2011,194,NA,2.3487,85.77439723719819,6.149507457420139
L,2011,195,NA,2.81674,83.86691657696342,6.084423914638888
L,2011,196,NA,1.88066,85.36852947120958,5.983685599815972
L,2011,197,NA,1.95299,87.96656991180741,6.023392589670139
L,2011,198,NA,2.03809,92.11565910975804,6.051608910552083
L,2011,199,NA,2.36997,89.76266622662196,6.019510940690973
L,2011,200,NA,2.06362,91.20891159334238,6.070642137913194
L,2011,201,NA,1.33107,90.66151596094667,6.047051111708333
L,2011,202,NA,2.00831,89.7663523024279,6.157840635451388
L,2011,203,NA,1.94448,83.27741548661953,6.1615481272534725
L,2011,204,NA,2.96566,83.13992110780825,6.1506219520625
L,2011,205,NA,2.23807,82.635148975874,6.157160743972222
L,2011,206,NA,3.16564,83.73451584002736,6.169949535885417
L,2011,207,NA,2.09341,83.252276163613,6.187773050013889
L,2011,208,NA,3.48901,82.344303574589,6.160318786364583
L,2011,209,NA,2.50188,82.47818721993119,6.1807778525809844
L,2011,210,NA,2.40401,85.26215596301535,6.2535921612013885
L,2011,211,NA,1.81684,85.61063894855485,6.240110290076389
L,2011,212,NA,2.33593,83.48983827644558,6.176559494666667
L,2011,213,NA,3.37413,85.4262281414557,6.1989800581875
L,2011,214,NA,4.36552,82.51638963367296,6.115671974055555
L,2011,215,NA,2.83376,83.45290265044316,6.0964263887673615
L,2011,216,NA,2.70611,82.85406464303628,6.189810600395833
L,2011,217,NA,2.93162,81.9264686679521,6.2817937067222225
L,2011,218,NA,1.96576,83.91339145468615,6.314813097597222
L,2011,219,NA,3.24223,83.18967066890005,6.286027001361111
