"LTER_site","local_site","year","date","block","plot","code","snow","N","temp","spp","mass","notes"
"NWT","itex",2006,NaN,1,1,"XXW","X","X","W","total","445.75",""
"NWT","itex",2006,NaN,1,2,"XNW","X","N","W","total","387.5",""
"NWT","itex",2006,NaN,1,3,"XNW","X","N","W","total","440.5",""
"NWT","itex",2006,NaN,1,4,"XXX","X","X","X","total","562.5",""
"NWT","itex",2006,NaN,1,5,"XNX","X","N","X","total","609.5",""
"NWT","itex",2006,NaN,1,6,"XXX","X","X","X","total","473.88",""
"NWT","itex",2006,NaN,1,7,"XNX","X","N","X","total","878.13",""
"NWT","itex",2006,NaN,1,8,"XXW","X","X","W","total","705.38",""
"NWT","itex",2006,NaN,1,9,"PNW","P","N","W","total","769.13",""
"NWT","itex",2006,NaN,1,10,"PNX","P","N","X","total","580",""
"NWT","itex",2006,NaN,1,11,"PXW","P","X","W","total","742.25",""
"NWT","itex",2006,NaN,1,12,"PXX","P","X","X","total","527.63",""
"NWT","itex",2006,NaN,1,13,"PNW","P","N","W","total","552.88",""
"NWT","itex",2006,NaN,1,14,"PXW","P","X","W","total","451.5",""
"NWT","itex",2006,NaN,1,15,"PNX","P","N","X","total","712.5",""
"NWT","itex",2006,NaN,1,16,"PXX","P","X","X","total","529",""
"NWT","itex",2006,NaN,2,17,"XNX","X","N","X","total","311.25",""
"NWT","itex",2006,NaN,2,18,"XXW","X","X","W","total","840.38",""
"NWT","itex",2006,NaN,2,19,"XNW","X","N","W","total","691.75",""
"NWT","itex",2006,NaN,2,20,"XNX","X","N","X","total","424.5",""
"NWT","itex",2006,NaN,2,21,"XXW","X","X","W","total","285.75",""
"NWT","itex",2006,NaN,2,22,"XXX","X","X","X","total","679",""
"NWT","itex",2006,NaN,2,23,"XNW","X","N","W","total","611.25",""
"NWT","itex",2006,NaN,2,24,"XXX","X","X","X","total","376.75",""
"NWT","itex",2006,NaN,2,25,"PNX","P","N","X","total","113.38",""
"NWT","itex",2006,NaN,2,26,"PXX","P","X","X","total","212.5",""
"NWT","itex",2006,NaN,2,27,"PNW","P","N","W","total","491.13",""
"NWT","itex",2006,NaN,2,28,"PXW","P","X","W","total","362.5",""
"NWT","itex",2006,NaN,2,29,"PXW","P","X","W","total","203.63",""
"NWT","itex",2006,NaN,2,30,"PNW","P","N","W","total","304.25",""
"NWT","itex",2006,NaN,2,31,"PXX","P","X","X","total","598.63",""
"NWT","itex",2006,NaN,2,32,"PNX","P","N","X","total","645.13",""
"NWT","itex",2006,NaN,3,33,"XXX","X","X","X","total","392.75",""
"NWT","itex",2006,NaN,3,34,"XNW","X","N","W","total","692.25",""
"NWT","itex",2006,NaN,3,35,"XNX","X","N","X","total","272.63",""
"NWT","itex",2006,NaN,3,36,"XNW","X","N","W","total","309.38",""
"NWT","itex",2006,NaN,3,37,"XNX","X","N","X","total","490.75",""
"NWT","itex",2006,NaN,3,38,"XXW","X","X","W","total","120",""
"NWT","itex",2006,NaN,3,39,"XXX","X","X","X","total","490",""
"NWT","itex",2006,NaN,3,40,"XXW","X","X","W","total","701.5",""
"NWT","itex",2006,NaN,3,41,"PXX","P","X","X","total","311.5",""
"NWT","itex",2006,NaN,3,42,"PNW","P","N","W","total","385.25",""
"NWT","itex",2006,NaN,3,43,"PNX","P","N","X","total","274.13",""
"NWT","itex",2006,NaN,3,44,"PXW","P","X","W","total","96.5",""
"NWT","itex",2006,NaN,3,45,"PXW","P","X","W","total","316",""
"NWT","itex",2006,NaN,3,46,"PXX","P","X","X","total","244",""
"NWT","itex",2006,NaN,3,47,"PNX","P","N","X","total","581.88",""
"NWT","itex",2006,NaN,3,48,"PNW","P","N","W","total","524.25",""
"NWT","itex",2007,2007-07-23,1,1,"XXW","X","X","W","litter","172",""
"NWT","itex",2007,2007-07-23,1,1,"XXW","X","X","W","live","322",""
"NWT","itex",2007,2007-07-23,1,2,"XNW","X","N","W","litter","215.75",""
"NWT","itex",2007,2007-07-23,1,2,"XNW","X","N","W","live","356.5",""
"NWT","itex",2007,2007-07-23,1,3,"XNW","X","N","W","litter","399",""
"NWT","itex",2007,2007-07-23,1,3,"XNW","X","N","W","live","360.75",""
"NWT","itex",2007,2007-07-23,1,4,"XXX","X","X","X","litter","276.75",""
"NWT","itex",2007,2007-07-23,1,4,"XXX","X","X","X","live","420.75",""
"NWT","itex",2007,2007-07-23,1,5,"XNX","X","N","X","litter","724.5",""
"NWT","itex",2007,2007-07-23,1,5,"XNX","X","N","X","live","270.5",""
"NWT","itex",2007,2007-07-23,1,6,"XXX","X","X","X","litter","323",""
"NWT","itex",2007,2007-07-23,1,6,"XXX","X","X","X","live","207",""
"NWT","itex",2007,2007-07-23,1,7,"XNX","X","N","X","litter","137.5",""
"NWT","itex",2007,2007-07-23,1,7,"XNX","X","N","X","live","290",""
"NWT","itex",2007,2007-07-23,1,8,"XXW","X","X","W","litter","258.75",""
"NWT","itex",2007,2007-07-23,1,8,"XXW","X","X","W","live","212",""
"NWT","itex",2007,2007-07-23,1,9,"PNW","P","N","W","litter","330.5",""
"NWT","itex",2007,2007-07-23,1,9,"PNW","P","N","W","live","208",""
"NWT","itex",2007,2007-07-23,1,10,"PNX","P","N","X","litter","258.5",""
"NWT","itex",2007,2007-07-23,1,10,"PNX","P","N","X","live","283",""
"NWT","itex",2007,2007-07-23,1,11,"PXW","P","X","W","litter","60.25",""
"NWT","itex",2007,2007-07-23,1,11,"PXW","P","X","W","live","231.5",""
"NWT","itex",2007,2007-07-23,1,12,"PXX","P","X","X","litter","190.5",""
"NWT","itex",2007,2007-07-23,1,12,"PXX","P","X","X","live","228",""
"NWT","itex",2007,2007-07-23,1,13,"PNW","P","N","W","litter","146.25",""
"NWT","itex",2007,2007-07-23,1,13,"PNW","P","N","W","live","389.75",""
"NWT","itex",2007,2007-07-23,1,14,"PXW","P","X","W","litter","112.75",""
"NWT","itex",2007,2007-07-23,1,14,"PXW","P","X","W","live","333.5",""
"NWT","itex",2007,2007-07-23,1,15,"PNX","P","N","X","litter","42.75",""
"NWT","itex",2007,2007-07-23,1,15,"PNX","P","N","X","live","187",""
"NWT","itex",2007,2007-07-23,1,16,"PXX","P","X","X","litter","324.5",""
"NWT","itex",2007,2007-07-23,1,16,"PXX","P","X","X","live","357",""
"NWT","itex",2007,2007-07-23,2,17,"XNX","X","N","X","litter","106.5",""
