"site","year","season","date","web","transect","block","plot","subplot","quad","treatment","kartez","genus","sp.epithet","family","LifeHistory","PhotoPath","FunctionalGroup","cover","volume","biomass.BM","biomass.BIM","SiteCluster","MetStation","season.precip","GDD","SPEI.comp"
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"3","F","BOBA2","Bouteloua","barbata","Poaceae","annual","C4","grass",0.85,11.3,0.1914744,0.5814,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"3","C","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",1.5,10.5,0.958599,1.107,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"1","F","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",1,24,2.068269,2.3,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"3","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",4.85,40.65,11.24902769,11.7661,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"3","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",4,220,6.596,6.596,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"4","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",12.4,177.9,26.02758747,23.6468,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","MUAR2","Muhlenbergia","arenicola","Poaceae","perennial","C4","grass",0.5,2.2,1.978859232,1.4765,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"1","C","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",0.1,0.4,0.2461,0.2461,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"14",NA,"2","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",0.85,6.6,2.09185,2.09185,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"1","C","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",4.8,26.4,3.0675168,3.5424,"DeepWell","40",149.033,4107.019153,-0.604646946
