#,"Brinson, M.M., Christian, R.R. 2009. Vegetation and Ground Cover of Permanent"
#,"Plots for Upper Phillips Creek Marsh, Nassawadox, VA 1990-2014. Virginia Coast"
#,"Reserve Long-Term Ecological Research Project Data Publication"
#,"knb-lter-vcr.122.24"
#,"(DOI: 10.6073/pasta/c05a4188c7525404cb4d9c025831e7d1)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-vcr.122.24
#,
#,For additional information about the data contact: Robert Christian
#,(christianr@ecu.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
Year,Species,PLOT1A,PLOT1B,PLOT2A,PLOT2B,PLOT3A,PLOT3B,PLOT4A,PLOT4B
1990,Juncus,121,107,103,101,82,92,117,89
1990,Bare,0,0,0,0,1,4,0,0
1990,Litt/wrack,0,0,0,0,0,0,35,106
1990,S.alter,197,60,0,0,83,40,145,168
1990,S.patens,0,0,119,23,78,92,0,0
1990,Distichlis,28,124,195,196,168,77,168,169
1990,Limonium,2,11,0,0,0,0,0,0
1990,Salicornia,0,52,0,0,0,0,0,4
1990,Distichlis/s.patens,28,124,196,196,194,95,168,169
1991,Juncus,105,109,110,97,91,88,133,100
1991,Bare,0,0,0,0,3,9,0,0
1991,Litt/wrack,0,0,0,0,0,0,8,3
1991,S.alter,187,42,0,0,69,23,117,160
1991,S.patens,0,0,130,0,1,93,0,0
1991,Distichlis,15,121,199,196,162,83,173,146
1991,Limonium,1,24,0,0,0,0,0,0
1991,Salicornia,0,53,0,0,0,0,1,1
1991,Distichlis/s.patens,15,121,200,196,163,99,173,146
1992,Juncus,102,106,110,105,90,94,150,87
1992,Bare,0,2,1,0,20,0,0,0
1992,Litt/wrack,44,0,0,0,0,0,0,78
1992,S.alter,180,34,0,0,64,2,47,124
1992,S.patens,0,0,115,34,48,78,0,0
1992,Distichlis,0,103,137,188,39,7,154,112
1992,Limonium,0,4,0,0,0,0,0,0
1992,Salicornia,0,46,0,0,0,0,0,0
1992,Distichlis/s.patens,0,103,186,197,78,81,154,112
1993,Juncus,94,109,113,104,90,90,161,129
1993,Bare,2,18,0,0,30,18,1,1
1993,Litt/wrack,0,0,63,73,39,106,16,0
1993,S.alter,192,55,0,0,7,12,107,114
1993,S.patens,0,0,0,11,72,9,0,0
1993,Distichlis,0,108,52,172,69,19,165,119
1993,Limonium,0,0,0,0,0,0,0,0
1993,Salicornia,0,55,0,0,0,0,0,1
1993,Distichlis/s.patens,0,108,52,,,,165,119
1994,Juncus,88,78,116,120,98,91,169,111
1994,Bare,0,0,0,0,110,52,0,8
1994,Litt/wrack,86,200,30,46,0,31,26,67
1994,S.alter,160,7,0,0,36,4,20,131
1994,S.patens,0,0,66,19,12,67,0,0
1994,Distichlis,0,107,150,178,42,78,148,159
1994,Limonium,0,2,0,0,0,0,0,0
1994,Salicornia,0,1,0,0,0,0,0,0
1994,Distichlis/s.patens,0,107,169,183,52,81,148,159
1995,Juncus,99,13,123,128,100,98,179,116
1995,Bare,82,69,1,0,102,42,8,2
1995,Litt/wrack,0,104,32,40,0,0,19,92
1995,S.alter,130,6,0,0,48,9,33,125
1995,S.patens,0,0,76,37,0,76,0,0
1995,Distichlis,0,110,170,173,39,68,144,73
1995,Limonium,0,0,0,0,0,0,0,0
1995,Salicornia,0,17,0,0,0,0,0,0
1995,Distichlis/s.patens,0,110,175,188,39,79,144,73
1996,Juncus,91,3,127,135,113,109,185,109
1996,Bare,10,67,51,47,103,43,0,4
