"Site","Site Name","Setting","Experiment","Manipulation","Response Variable","Response Type","N Treatments"
"GCE","Georgia Coastal Ecosystems","Salt marsh","Tidal marsh disturbance experiment (PLT-GCED-2207)","Vegetation removal (disturbance)","Vegetation cover (%; carbon proxy)","Proxy","1"
"PIE","Plum Island Ecosystems","Salt marsh creek","TIDE nutrient-enrichment experiment","Fertilization (NO3)","Marsh grass shoot mass (g per shoot; biomass proxy)","Proxy","1"
"SBC","Santa Barbara Coastal","Kelp forest reef","Long-term kelp removal experiment","Vegetation removal (annual and continual kelp removal)","Reef algae and invertebrate dry biomass (g m-2)","Stock","2"
"VCR","Virginia Coast Reserve","High salt marsh","Upper Phillips Creek inundation and wrack experiment","Wrack deposition (1994)","Live aboveground biomass (g m-2)","Stock","1"
"AND","Andrews Forest","Temperate conifer forest","TV010 experimental watersheds (WS06 clearcut, WS07 shelterwood, WS08 control)","Forest harvest (clearcut; shelterwood)","Mean tree diameter at breast height (cm; biomass proxy)","Proxy","2"
"HBR","Hubbard Brook","Northern hardwood forest","MELNHE (Multiple Element Limitation in Northern Hardwood Ecosystems)","Fertilization (N, P, Ca)","Litterfall mass (g m-2)","Flux","4"
"HFR","Harvard Forest","Temperate deciduous forest","Prospect Hill soil warming experiment","Soil warming","Soil respiration (CO2 flux)","Flux","1"
"LUQ","Luquillo","Tropical wet forest","Canopy Trimming Experiment (CTE)","Canopy trimming; debris addition","Soil CO2 flux","Flux","3"
"NTL","North Temperate Lakes","Temperate lake","Cascade Project whole-lake nutrient addition","Whole-lake fertilization (N + P)","Chlorophyll (ug L-1; carbon proxy)","Proxy","1"
"CDR","Cedar Creek","Prairie grassland","BioCON","CO2 enrichment; N fertilization; species richness","Aboveground biomass (g m-2)","Stock","28"
"KBS","Kellogg Biological Station","Cropland","Main Cropping System Experiment (MCSE)","Cropping system / management intensity","Total herbaceous aboveground biomass (crop + weeds + cover crops; g m-2)","Stock","4"
"KNZ","Konza Prairie","Tallgrass prairie","Belowground Plot Experiment (PBB01)","Fire; mowing; N and P fertilization","Herbaceous aboveground production (g per 0.1 m2)","Stock","15"
"SEV","Sevilleta","Desert grassland","NFert experiment","Fertilization (N)","Aboveground biomass (g m-2)","Stock","1"
"ARC","Arctic LTER","Arctic tussock tundra","Toolik Lake moist acidic tussock tundra experiment","Fertilization; warming; shading","Aboveground vascular plant biomass (g m-2)","Stock","1 (4)"
"BNZ","Bonanza Creek","Boreal forest / permafrost tundra","CiPEHR (Carbon in Permafrost Experimental Heating Research)","Warming (soil and air)","Net ecosystem exchange","Flux","3"
"MCM","McMurdo Dry Valleys","Polar desert soil","Stoichiometry experiment (Bonney and Fryxell basins)","Nutrient addition (C, N, P)","Soil CO2 flux","Flux","5"
"NWT","Niwot Ridge","Alpine tundra","Snow x N x temperature experiment (Niwot Saddle)","Fertilization (N; ambient snow and temperature plots)","Live aboveground biomass (g m-2)","Stock","1"
"CAP","Central Arizona-Phoenix","Sonoran Desert","Desert Fertilization Experiment (CNdep)","Fertilization (N, P)","Annual herbaceous plant biomass (g per 0.25 m2)","Stock","3"
