"Site","Site Name","Setting","Ecosystem Type","Experiment","Manipulation","Response Variable","Response Type","Years Analyzed","N Years Sampled","N Treatments","EDI Package","Processing Notes","Data Citation"
"GCE","Georgia Coastal Ecosystems","Salt marsh","Coastal","Tidal marsh disturbance experiment (PLT-GCED-2207)","Vegetation removal (disturbance)","Vegetation cover (%; carbon proxy)","Proxy","2010-2014",5,"1","knb-lter-gce.786.13","Vegetation cover (carbon proxy) in disturbed vs. control plots. Monitoring of a marsh stopped once its disturbed plots had recovered, so after 2014 only the slowest sites remain; the balanced panel of all 12 sites (2010-2014) was analyzed.","Pennings, S. C. (2022). Data from: “Critical slowing down: vegetation height, cover and composition assess resilience of tidal fresh, brackish and salt marshes following experimental disturbance at twelve sites across the estuarine landscape ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/6df40a30859a7293db9a76fc4fff8cec"
"PIE","Plum Island Ecosystems","Salt marsh creek","Coastal","TIDE nutrient-enrichment experiment","Fertilization (NO3)","Marsh grass shoot mass (g per shoot; biomass proxy)","Proxy","2004-2019",16,"1","knb-lter-pie.202.5","TIDE marsh grass shoot mass (biomass proxy): mean shoot mass per species summed across species per transect; species, creek and branch codes were trimmed of stray whitespace. Reference creeks are West and Nelson; Sweeney (2004-2012) and Clubhead (2005, 2009-2019) were treated as nutrient-enriched only in the years they were fertilized, and other creek-years were dropped.","Deegan, L., Warren, S. & Mozdzer, T. (2022). Data from: “Marsh plant species shoot height, weight and diameters for Rowley River tidal creeks associated with long term fertilization experiments, Rowley and Ipswich, MA. ver 5.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/226fb7db2c7b9f8119e40c937b1a19a0"
"SBC","Santa Barbara Coastal","Kelp forest reef","Coastal","Long-term kelp removal experiment","Vegetation removal (annual and continual kelp removal)","Reef algae and invertebrate dry biomass (g m-2)","Stock","2008-2023",16,"2","knb-lter-sbc.119.13","Long-term kelp-removal experiment; annual and continual removal vs. control transects. The missing-value code -99999 was set to missing. Response = summed dry biomass of understory algae and invertebrates (mobile fish and the removed giant kelp excluded). January 2008 surveys, which preceded the first removal, were excluded. Treatments were compared with the control transect at the same reef.","Reed, D. C. & Miller, R. J. (2024). Data from: “SBC LTER: Reef: Long-term experiment: biomass of kelp forest species, ongoing since 2008 ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/4c63cd36279b7e8448d09651a51ed8a6"
"VCR","Virginia Coast Reserve","High salt marsh","Coastal","Upper Phillips Creek inundation and wrack experiment","Wrack deposition (1994)","Live aboveground biomass (g m-2)","Stock","1994-1998",5,"1","knb-lter-vcr.168.24","Upper Phillips Creek inundation and wrack experiment: wrack was laid over half of each of nine plots in April 1994. The wrack half (transect W) was compared with the no-wrack half (V) of the same plots, 1994-1998; response = live aboveground biomass (species summed per 0.0625 m2 quadrat, x16 to g m-2, quadrats averaged per plot). The package does not identify which plots were flooded, so the inundation treatment was not analyzed.","Christian, R. (2019). Data from: “End of Year Biomass for the 1st UPC Inundation Experiment in Upper Phillips Creek marsh 1999-2014 ver 24.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/3854929ce06dc8c667eff9615adb730f"
"AND","Andrews Forest","Temperate conifer forest","Forest","TV010 experimental watersheds (WS06 clearcut, WS07 shelterwood, WS08 control)","Forest harvest (clearcut; shelterwood)","Mean tree diameter at breast height (cm; biomass proxy)","Proxy","2002-2014",3,"2","knb-lter-and.2742.28","Tree remeasurement table (TV010 entity 2). Watersheds WS06 (clearcut) and WS07 (shelterwood) vs. control WS08; all live stems (status 1-3) with a measured DBH; mean DBH per plot and census. The control was censused one year after the treatments (2003/2009/2015 vs. 2002/2008/2014); control census years were aligned to the treatment census periods.","Franklin, J. F., Bell, D. M., Remillard, S. M., Pabst, R. J., Bluhm, A. & Powers, M. (2025). Data from: “Long-term growth, mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest, 1910 to present ver 28.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/dc4be3db15934e0e5eb4820f56e5d569"
"HBR","Hubbard Brook","Northern hardwood forest","Forest","MELNHE (Multiple Element Limitation in Northern Hardwood Ecosystems)","Fertilization (N, P, Ca)","Litterfall mass (g m-2)","Flux","2011-2021",11,"4","knb-lter-hbr.404.1","MELNHE fall litterfall mass per stand; control vs. N, P, NP and Ca. Fertilization began in spring 2011, so 2009-2010 (pre-treatment) were excluded. Treatments were compared with the control plot of the same stand.","Yanai, R. D., Fisk, M. C., Vadeboncoeur, M. A., Zukswert, J. M., Mann, T., Young, A., Walsh, G., Morley, M. & See, C. R. (2024). Data from: “Multiple Element Limitation in Northern Hardwood Ecosystems (MELNHE): Litterfall mass 2009-2022 ver 1.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/e2d437bddf1166a733b0df09c87f89f1"
"HFR","Harvard Forest","Temperate deciduous forest","Forest","Prospect Hill soil warming experiment","Soil warming","Soil respiration (CO2 flux)","Flux","1991-2021",31,"1","knb-lter-hfr.5.37","Prospect Hill soil respiration (hf005-05). The heated treatment was compared with the disturbance control (cables installed but not heated), which spans the full record; the undisturbed control (1991-2002) was not used. The two June 1991 dates preceding the start of heating were excluded; fluxes were averaged per plot and year.","Frey, S. & Melillo, J. (2024). Data from: “Prospect Hill Soil Warming Experiment at Harvard Forest since 1991 ver 37.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/abf59a218a5868baf5b2c073a7dd1d7f"
"LUQ","Luquillo","Tropical wet forest","Forest","Canopy Trimming Experiment (CTE)","Canopy trimming; debris addition","Soil CO2 flux","Flux","2005-2009",5,"3","knb-lter-luq.164.678951","Canopy Trimming Experiment soil CO2 flux; block x plot treatment map from the package metadata. The canopy was trimmed between October 2004 and April 2005, so 2003-2004 and the 2005 dates preceding each block's trimming were excluded; chambers were averaged per plot and date.","Silver, W. (2023). Data from: “Canopy Trimming Experiment (CTE) trace gases ver 678951.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/97823bf81da5abf22f8f9d8f3778fc58"
"NTL","North Temperate Lakes","Temperate lake","Freshwater","Cascade Project whole-lake nutrient addition","Whole-lake fertilization (N + P)","Chlorophyll (ug L-1; carbon proxy)","Proxy","2013-2019",4,"1","knb-lter-ntl.413.2","Cascade whole-lake N + P additions: Peter Lake (2013-2015, 2019) and Tuesday Lake (2013-2015) vs. the unmanipulated reference, Paul Lake, in the same years; response = mean manual chlorophyll (carbon proxy) over the sampling season. Lake-years without additions were not paired.","Buelo, C. D., Pace, M. L., Carpenter, S. R., Stanley, E. H., Ortiz, D. A. & Ha, D. T. (2022). Data from: “Cascade Project at North Temperate Lakes LTER – Daily Bloom Data for Whole Lake Experiments 2011 - 2019 ver 2.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/5a9862187368b616bed8e20381343717"
"CDR","Cedar Creek","Prairie grassland","Grassland","BioCON","CO2 enrichment; N fertilization; species richness","Aboveground biomass (g m-2)","Stock","1998-2021",24,"28","knb-lter-cdr.302.13","BioCON aboveground biomass, August (peak) harvest only (a June harvest exists only for 1998-2011). The missing-value code 9999 was set to missing; litter and bare-ground records were excluded; plot totals were averaged per ring x treatment. BioCON contains nested designs on different plot sets (main CO2 x N experiment, 4-species 'S' plots, water manipulation from 2007, water x warming from 2012 in the 9-species plots); each treatment was compared with the ambient control of its own design, and those ambient controls were not counted as treatments. Four plots that lost one factor label from 2013 were restored (2) or dropped (2).","Reich, P. (2024). Data from: “Plant aboveground biomass data: BioCON : Biodiversity, Elevated CO2, and N Enrichment ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/c153c4eb2414bb1ec2ab8b07adc17ef2"
