"tolerance","ratio_pct","accurate","underestimate","overestimate","wrong_direction","mispredicted_pct"
0.1,10.5170918075648,38,28,11,6,54.2168674698795
0.2,22.140275816017,53,19,5,6,36.144578313253
0.3,34.9858807576003,64,12,1,6,22.8915662650602
0.4,49.182469764127,70,7,0,6,15.6626506024096
0.5,64.8721270700128,70,7,0,6,15.6626506024096
0.6,82.2118800390509,73,4,0,6,12.0481927710843
0.7,101.375270747048,76,1,0,6,8.43373493975904
0.8,122.554092849247,77,0,0,6,7.2289156626506
0.9,145.960311115695,77,0,0,6,7.2289156626506
1,171.828182845905,77,0,0,6,7.2289156626506
