"Site","Site Name","Setting","Ecosystem Type","Experiment","Manipulation","Response Variable","Response Type","Years Analyzed","N Years Sampled","N Treatments","EDI Package","Data Citation"
"GCE","Georgia Coastal Ecosystems","Salt marsh","Coastal","Tidal marsh disturbance experiment (PLT-GCED-2207)","Vegetation removal (disturbance)","Vegetation cover (%; carbon proxy)","Proxy","2010-2020",11,"1","knb-lter-gce.786.13","Pennings, S. C. (2022). Data from: “Critical slowing down: vegetation height, cover and composition assess resilience of tidal fresh, brackish and salt marshes following experimental disturbance at twelve sites across the estuarine landscape ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/6df40a30859a7293db9a76fc4fff8cec"
"PIE","Plum Island Ecosystems","Salt marsh creek","Coastal","TIDE nutrient-enrichment experiment","Fertilization (NO3)","Plant shoot mass","Stock","2004-2020",17,"1","knb-lter-pie.202.5","Deegan, L., Warren, S. & Mozdzer, T. (2022). Data from: “Marsh plant species shoot height, weight and diameters for Rowley River tidal creeks associated with long term fertilization experiments, Rowley and Ipswich, MA. ver 5.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/226fb7db2c7b9f8119e40c937b1a19a0"
"SBC","Santa Barbara Coastal","Kelp forest reef","Coastal","Long-term kelp removal experiment","Vegetation removal (annual and continual kelp removal)","Algal dry biomass (g m-2)","Stock","2008-2023",16,"2","knb-lter-sbc.119.13","Reed, D. C. & Miller, R. J. (2024). Data from: “SBC LTER: Reef: Long-term experiment: biomass of kelp forest species, ongoing since 2008 ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/4c63cd36279b7e8448d09651a51ed8a6"
"VCR","Virginia Coast Reserve","Salt marsh creek","Coastal","Upper Phillips Creek inundation experiment (1st)","Inundation; wrack (Juncus) manipulation","Total plant biomass (g m-2)","Stock","1994-2013",16,"1","knb-lter-vcr.168.24","Christian, R. (2019). Data from: “End of Year Biomass for the 1st UPC Inundation Experiment in Upper Phillips Creek marsh 1999-2014 ver 24.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/3854929ce06dc8c667eff9615adb730f"
"AND","Andrews Forest","Temperate conifer forest","Forest","TV010 experimental watersheds (WS06 clearcut, WS07 shelterwood, WS08 control)","Forest harvest (clearcut; shelterwood)","Tree diameter at breast height (cm)","Stock","2002-2014",3,"2","knb-lter-and.2742.28","Franklin, J. F., Bell, D. M., Remillard, S. M., Pabst, R. J., Bluhm, A. & Powers, M. (2025). Data from: “Long-term growth, mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest, 1910 to present ver 28.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/dc4be3db15934e0e5eb4820f56e5d569"
"HBR","Hubbard Brook","Northern hardwood forest","Forest","MELNHE (Multiple Element Limitation in Northern Hardwood Ecosystems)","Fertilization (N, P, Ca)","Litterfall mass (g m-2)","Flux","2009-2021",13,"4","knb-lter-hbr.404.1","Yanai, R. D., Fisk, M. C., Vadeboncoeur, M. A., Zukswert, J. M., Mann, T., Young, A., Walsh, G., Morley, M. & See, C. R. (2024). Data from: “Multiple Element Limitation in Northern Hardwood Ecosystems (MELNHE): Litterfall mass 2009-2022 ver 1.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/e2d437bddf1166a733b0df09c87f89f1"
"HFR","Harvard Forest","Temperate deciduous forest","Forest","Prospect Hill soil warming experiment","Soil warming","Soil respiration (CO2 flux)","Flux","1991-2021",31,"1","knb-lter-hfr.5.37","Frey, S. & Melillo, J. (2024). Data from: “Prospect Hill Soil Warming Experiment at Harvard Forest since 1991 ver 37.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/abf59a218a5868baf5b2c073a7dd1d7f"
"LUQ","Luquillo","Tropical wet forest","Forest","Canopy Trimming Experiment (CTE)","Canopy trimming; debris addition","Soil CO2 flux","Flux","2003-2009",7,"3","knb-lter-luq.164.678951","Silver, W. (2023). Data from: “Canopy Trimming Experiment (CTE) trace gases ver 678951.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/97823bf81da5abf22f8f9d8f3778fc58"
"NTL","North Temperate Lakes","Temperate lake","Freshwater","Cascade Project whole-lake nutrient addition","Fertilization (N)","Chlorophyll (ug L-1; carbon proxy)","Proxy","2011-2019",7,"1","knb-lter-ntl.413.2","Buelo, C. D., Pace, M. L., Carpenter, S. R., Stanley, E. H., Ortiz, D. A. & Ha, D. T. (2022). Data from: “Cascade Project at North Temperate Lakes LTER – Daily Bloom Data for Whole Lake Experiments 2011 - 2019 ver 2.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/5a9862187368b616bed8e20381343717"
"CDR","Cedar Creek","Prairie grassland","Grassland","BioCON","CO2 enrichment; N fertilization; species richness","Aboveground biomass (g m-2)","Stock","1998-2021",24,"33","knb-lter-cdr.302.13","Reich, P. (2024). Data from: “Plant aboveground biomass data: BioCON : Biodiversity, Elevated CO2, and N Enrichment ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/c153c4eb2414bb1ec2ab8b07adc17ef2"
"KBS","Kellogg Biological Station","Cropland","Grassland","Main Cropping System Experiment (MCSE)","Cropping system / management intensity","Aboveground net primary production (g m-2)","Stock","1990-2022",33,"5","knb-lter-kbs.19.85","Robertson, G. & Snapp, S. (2020). Data from: “Annual Net Primary Production on the Main Cropping System Experiment at the Kellogg Biological Station, Hickory Corners, MI (1990 to 2018) ver 85.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/f9b2a038b8a7ad43a252587a84935f30"
"KNZ","Konza Prairie","Tallgrass prairie","Grassland","Belowground Plot Experiment (PBB01)","Fire; mowing; N and P fertilization","Aboveground net primary production (g m-2)","Stock","1986-2021",36,"15","knb-lter-knz.57.15","Blair, J. & Zeglin, L. (2023). Data from: “PBB01 Belowground Plot Experiment: Aboveground net primary productivity of tallgrass prairie based on accumulated plant biomass ver 15.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/d769700c0e40751bfb8b4fb8c34dabb2"
"SEV","Sevilleta","Desert grassland","Grassland","NFert experiment","Fertilization (N)","Aboveground biomass (g m-2)","Stock","2004-2023",20,"1","knb-lter-sev.186.208431","Baur, L., Collins, S., Muldavin, E., Rudgers, J. A. & Pockman, W. T. (2024). Data from: “Nitrogen Fertilization Experiment (NFert): Seasonal Biomass and Seasonal and Annual NPP Data at the Sevilleta National Wildlife Refuge, New Mexico ver 208431.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/9468c8bcda68c0a05c06499ec51b1d55"
"ARC","Arctic LTER","Arctic tussock tundra","Tundra","Toolik Lake moist acidic tussock tundra experiment","Fertilization; warming; shading","Aboveground biomass (g m-2)","Stock","1982-2015",7,"1 (4)","knb-lter-arc.10004.8","Shaver, G. (2017). Data from: “Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2015 Arctic LTER, Toolik Lake, Alaska. ver 8.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/c3ef07e6ed81c1fc33e9bc20aff07093"
"BNZ","Bonanza Creek","Boreal forest / permafrost tundra","Tundra","CiPEHR (Carbon in Permafrost Experimental Heating Research)","Warming (soil and air)","Net ecosystem exchange","Flux","2009-2021",13,"3 (6)","knb-lter-bnz.481.23","Rodenhizer, H. G., Mauritz, M., Taylor, M., Ledman, J., Natali, S. & Schuur, E. (2022). Data from: “Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating Research (CiPEHR): Half-hourly growing season, chamber-based, CO2 flux data, 2009-2021 ver 23.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/5ee6a71835606934afda8e3eb9a38763"
"MCM","McMurdo Dry Valleys","Polar desert soil","Tundra","Stoichiometry experiment (Bonney and Fryxell basins)","Nutrient addition (C, N, P)","Soil CO2 flux","Flux","2003-2010",5,"5","knb-lter-mcm.4014.5","Virginia, R. & Wall, D. (2016). Data from: “McMurdo Dry Valleys Stoichiometry Experiment - CO2 ver 5.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/f2c3854f11c24c54be3f3828c130746f"
"NWT","Niwot Ridge","Alpine tundra","Tundra","Snow x N x temperature experiment (Niwot Saddle)","Fertilization (N; ambient snow and temperature plots)","Aboveground biomass (g m-2)","Stock","2006-2019",13,"1","knb-lter-nwt.13.7","Suding, K. N., Smith, J. G. & Ashton, I. W. (2024). Data from: “Increased temperature, N and snowpack experiment for north of saddle, 2006 - ongoing. ver 7.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/caacfd0b6e32b5a72f8fe3904ca897bf"
"CAP","Central Arizona-Phoenix","Sonoran Desert","Urban","Desert Fertilization Experiment (CNdep)","Fertilization (N, P)","Aboveground biomass (g m-2)","Stock","2008-2024",12,"3","knb-lter-cap.632.17","Grimm, N., Hall, S. J., Kaye, J. & Allen, J. (2024). Data from: “Desert Fertilization Experiment: investigation of Sonoran desert ecosystem response to atmospheric deposition and experimental nutrient addition, ongoing since 2006 ver 17.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/fd7e336a9493e780777d97bb08ff2352"
