"source","Date","Treatment","Replicate","Response.Variable","Biomass","PercentCarbon","PercentCov","PercentCar","Respiration"
"AND_plant_biomass_2002-2021_processed.csv","2002","18","WS06","0.7",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","4","WS06","0.233333333333333",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","6","WS06","0.827272727272727",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","21","WS06","4.7",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","23","WS06","0.6",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","43","WS06","0.614285714285714",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","45","WS06","1.6",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","54","WS06","1.12666666666667",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","56","WS06","0.333333333333333",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","58","WS06","0.873684210526316",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","60","WS06","1.12857142857143",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","14","WS06","0.2",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","39","WS06","1.95",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","41","WS06","0.228571428571429",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","65","WS06","0.7",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","66","WS06","1.25641025641026",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","67","WS06","1.06666666666667",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","68","WS06","1.152",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","69","WS06","1.66",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","69","WS07","0.90625",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","68","WS07","1.25833333333333",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","70","WS07","0.623529411764706",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","66","WS07","2.28571428571429",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","67","WS07","1.57857142857143",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","59","WS07","1.96666666666667",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","61","WS07","0.325",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","63","WS07","0.55",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","65","WS07","0.55",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","14","WS07","0.56",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","39","WS07","1.6",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","41","WS07","0.733333333333333",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","43","WS07","2.29411764705882",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","47","WS07","0.7",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","49","WS07","1.55714285714286",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","1","WS07","1.73333333333333",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","3","WS07","0.4",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","18","WS07","0.2875",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","19","WS07","0.777777777777778",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","20","WS07","2.39",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","22","WS07","3.53",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","24","WS07","0.342857142857143",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002","26","WS07","0.442857142857143",NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2008",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2002",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2003",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2003",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2003",NA,"WS08",NA,NA,NA,NA,NA,NA
"AND_plant_biomass_2002-2021_processed.csv","2003",NA,"WS08",NA,NA,NA,NA,NA,NA
