"EOYBYear","marshName","marshRegion","Transect","locationID","speciesName","isExperiment_sd","isExperiment_mean","isExperiment_sum","ITISID_sd","ITISID_mean","ITISID_sum","liveMass_sd","liveMass_mean","liveMass_sum","deadMass_sd","deadMass_mean","deadMass_sum","unknownMass_sd","unknownMass_mean","unknownMass_sum","totalMass_sd","totalMass_mean","totalMass_sum","sampleComment_sd","sampleComment_mean","sampleComment_sum","latitude_sd","latitude_mean","latitude_sum","longitude_sd","longitude_mean","longitude_sum"
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",9,"Distichlis spicata",NA,1,1,NA,40662,40662,NA,0,0,NA,1.03,1.03,NA,0,0,NA,1.03,1.03,NA,NA,0,NA,37.46,37.46,NA,-75.833,-75.833
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",9,"Juncus roemerianus",0,1,2,0,39238,78476,8.96611398544542,10.34,20.68,17.6564563262281,36.805,73.61,NA,NA,0,NA,NA,0,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",9,"Spartina patens",0,1,2,0,41271,82542,0.0919238815542505,9.545,19.09,18.186786412118,25.73,51.46,0,0,0,18.0948625305638,35.275,70.55,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",10,"Distichlis spicata",0,1,2,0,40662,81324,4.41941738241592,5.925,11.85,7.59432682994352,6.63,13.26,0,0,0,12.0137442123594,12.555,25.11,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",10,"Juncus roemerianus",NA,1,1,NA,39238,39238,NA,2.52,2.52,NA,2.42,2.42,NA,NA,0,NA,NA,0,NA,NA,0,NA,37.46,37.46,NA,-75.833,-75.833
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"V",10,"Spartina patens",0,1,2,0,41271,82542,3.64159992311072,21.045,42.09,9.14289068074206,15.345,30.69,0,0,0,5.50129075763134,36.39,72.78,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"W",9,"Distichlis spicata",0,1,2,0,40662,81324,0,0,0,0.0848528137423857,0.24,0.48,0,0,0,0.0848528137423857,0.24,0.48,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"W",9,"Juncus roemerianus",0,1,2,0,39238,78476,0,0,0,4.92146319705837,10.34,20.68,NA,NA,0,NA,NA,0,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"W",9,"Spartina patens",NA,1,1,NA,41271,41271,NA,0,0,NA,0.28,0.28,NA,0,0,NA,0.28,0.28,NA,NA,0,NA,37.46,37.46,NA,-75.833,-75.833
1994,"Upper Phillips Creek InundExp1, Plot 1",1,"W",10,"Distichlis spicata",0,1,2,0,40662,81324,10.0974848353439,7.75,15.5,1.73948268171891,4.53,9.06,0,0,0,8.35800215362499,12.28,24.56,NA,NA,0,0,37.46,74.92,0,-75.833,-151.666
