"Date","Plot","Grazed","total_mass"
"01-09-2004",1,"g",84.802
"01-09-2004",2,"ug",145
"01-09-2004",8,"ug",79.08
"01-09-2004",10,"ug",93.53
"01-09-2004",11,"g",92.832
"01-09-2004",11,"ug",77.732
"01-09-2004",13,"ug",161.518
"01-09-2004",15,"ug",148.696
"01-09-2004",19,"ug",129.8
"01-09-2004",21,"ug",35.034
"01-09-2004",23,"ug",129.366
"01-09-2004",27,"g",60.334
"01-09-2004",29,"ug",137.6
"01-09-2004",31,"ug",176.036
"01-09-2004",32,"ug",111.268
"01-09-2004",42,"g",69.634
"01-09-2004",42,"ug",98.698
"01-09-2004",44,"ug",129.622
"01-09-2004",45,"ug",62.766
"01-09-2004",52,"ug",87.502
"01-09-2004",54,"g",100.98
"01-09-2004",55,"g",27.518
"01-09-2004",55,"ug",63.234
"01-09-2004",56,"ug",226.234
"01-09-2004",59,"ug",246.33
"01-09-2004",62,"ug",83.602
"01-09-2004",68,"ug",91.9
"01-09-2004",70,"ug",65.632
"01-09-2004",71,"g",73.368
"01-09-2004",71,"ug",114.132
"01-09-2004",73,"g",64.234
"01-09-2004",74,"g",94.334
"01-09-2004",77,"g",18.868
"01-09-2004",79,"g",39.006
"01-09-2004",79,"ug",31.002
"01-09-2004",81,"g",88.766
"01-09-2004",82,"g",146.734
"01-09-2004",83,"g",97.67
"01-09-2004",83,"ug",127.502
"01-09-2004",85,"g",72.218
"01-09-2004",86,"g",149.718
"01-09-2004",89,"ug",144.332
"01-09-2004",94,"ug",167.002
"01-09-2004",95,"g",119.424
"01-09-2004",100,"g",69.798
"01-09-2004",102,"g",78.134
"01-09-2004",102,"ug",190.93
"01-09-2004",103,"g",114.4
"01-09-2004",103,"ug",155.698
"01-09-2004",109,"g",98.436
"01-09-2004",109,"ug",102.274
"01-09-2004",110,"g",119.5
"01-09-2004",111,"g",102.498
"01-09-2004",115,"g",48.93
"01-09-2004",115,"ug",88.302
"01-09-2004",116,"ug",124.868
"01-09-2004",118,"ug",110.764
"01-09-2004",120,"g",83.406
"01-09-2004",120,"ug",86.866
"01-09-2004",122,"ug",169.198
"01-09-2004",123,"g",158.366
"01-09-2004",124,"ug",142.3
"01-09-2004",126,"g",56.466
"01-09-2004",134,"g",112.798
"01-09-2004",135,"g",127.702
"01-09-2004",137,"ug",125.4
"01-09-2004",138,"ug",40.032
"01-09-2004",139,"ug",98.668
"01-09-2004",140,"g",126.166
"01-09-2004",141,"g",5.31
"01-09-2004",141,"ug",63.366
"01-09-2004",142,"ug",101.558
"01-09-2004",143,"g",26
"01-09-2004",143,"ug",74.066
"01-09-2004",144,"g",41.936
"02-09-2004",4,"g",188.202
"02-09-2004",6,"g",59.172
"02-09-2004",7,"g",192.03
"02-09-2004",13,"g",154.002
"02-09-2004",14,"g",94.7
"02-09-2004",25,"g",64.766
"02-09-2004",38,"g",79.158
"02-09-2004",45,"g",71.264
"02-09-2004",47,"g",61.966
"02-09-2004",50,"g",30.068
"02-09-2004",51,"g",63.868
"02-09-2004",52,"g",43.032
"02-09-2004",53,"g",48.498
"02-09-2004",56,"g",206.834
"02-09-2004",72,"g",48.6
"02-09-2004",75,"g",99.4
"02-09-2004",76,"g",76.32
"02-09-2004",78,"g",210.5
"02-09-2004",80,"g",55.636
"02-09-2004",84,"g",175.964
"02-09-2004",89,"g",131.332
"02-09-2004",96,"g",74.934
"02-09-2004",99,"g",49.934
"02-09-2004",101,"g",100.914
"02-09-2004",104,"g",103.634
"02-09-2004",105,"g",50.902
"02-09-2004",106,"g",139.232
"02-09-2004",107,"g",138.502
"02-09-2004",112,"g",53.932
"02-09-2004",113,"g",29.17
"02-09-2004",114,"g",113.004
"02-09-2004",116,"g",184.548
"02-09-2004",117,"g",96.996
"02-09-2004",118,"g",67
"02-09-2004",119,"g",38.964
"02-09-2004",121,"g",115.866
"02-09-2004",124,"g",136.432
"02-09-2004",125,"g",56.734
"02-09-2004",136,"g",63.934
"02-09-2004",139,"g",87.168
"02-09-2004",145,"g",75.802
"02-09-2004",146,"g",68.464
"03-09-2004",16,"g",108.1
"03-09-2004",19,"g",126.094
"03-09-2004",20,"g",19.07
"03-09-2004",22,"g",19.336
"03-09-2004",23,"g",34.566
"03-09-2004",24,"g",53.7
"03-09-2004",26,"g",140.736
"03-09-2004",28,"g",87.7
"03-09-2004",87,"g",75.95
"03-09-2004",88,"g",176.932
"03-09-2004",90,"g",38.834
"03-09-2004",92,"g",19.566
"03-09-2004",93,"g",182.636
"03-09-2004",94,"g",88.058
"03-09-2004",97,"g",94.816
"03-09-2004",122,"g",189.198
"03-09-2004",127,"g",74.984
"03-09-2004",137,"g",93.034
"03-09-2004",138,"g",78.3
"03-09-2004",142,"g",114.868
"03-09-2004",147,"g",83.534
"10-09-2004",8,"g",17.114
"10-09-2004",10,"g",60.528
"10-09-2004",29,"g",48.324
"10-09-2004",33,"g",70.598
"10-09-2004",40,"g",89.028
"10-09-2004",43,"g",155.048
"10-09-2004",48,"g",80.076
"10-09-2004",61,"g",55.222
"10-09-2004",70,"g",112.998
"10-09-2004",129,"g",44.8
"10-11-2004",2,"g",0.69
"10-11-2004",3,"g",0.102
"10-11-2004",5,"g",0.248
"10-11-2004",12,"g",0.968
"10-11-2004",15,"g",0.056
"10-11-2004",17,"g",0.65
"10-11-2004",21,"g",1.422
"10-11-2004",35,"g",128.898
"10-11-2004",37,"g",0.448
"10-11-2004",39,"g",0.828
"10-11-2004",49,"g",0.95
"10-11-2004",57,"g",126.586
"10-11-2004",60,"g",169.304
"10-11-2004",63,"g",99.892
"10-11-2004",64,"g",114.182
"10-11-2004",67,"g",0.56
"10-11-2004",69,"g",107.346
"10-11-2004",98,"g",0.606
"10-11-2004",132,"g",0.424
"11-11-2004",9,"g",0.07
"11-11-2004",30,"g",0.738
"11-11-2004",32,"g",0.656
"11-11-2004",41,"g",0.03
"11-11-2004",59,"g",0.586
"11-11-2004",62,"g",0.366
"11-11-2004",65,"g",0.09
"11-11-2004",130,"g",0.696
"15-09-2004",34,"g",163.03
"15-09-2004",66,"g",69.016
"16-11-2004",108,"g",88.904
"18-07-2005",1,"g",451.08
"18-07-2005",2,"g",415.44
"18-07-2005",3,"g",114.38
"18-07-2005",4,"g",347.56
"18-07-2005",5,"g",356
