"Year","Field_Plot","NAdd","total_Carpercent"
1982,"C_1",9.52,1.229
1982,"C_10",3.4,2.708
1982,"C_11",1.02,1.514
1982,"C_12",17,2.643
1982,"C_13",9.52,1.226
1982,"C_14",5.44,2.516
1982,"C_15",27.2,1.143
1982,"C_16",5.44,1.151
1982,"C_17",1.02,1.268
1982,"C_18",0,1.408
1982,"C_19",3.4,1.339
1982,"C_2",2.04,1.178
1982,"C_20",2.04,2.566
1982,"C_21",27.2,1.099
1982,"C_22",17,1.228
1982,"C_23",27.2,0.963
1982,"C_24",9.52,1.071
1982,"C_25",17,1.359
1982,"C_26",0,1.186
1982,"C_27",1.02,0.984
1982,"C_28",0,1.082
1982,"C_29",27.2,1.045
1982,"C_3",17,1.386
1982,"C_30",0,1.059
1982,"C_31",9.52,1.376
1982,"C_32",2.04,1.358
1982,"C_33",0,1.103
1982,"C_34",2.04,1.16
1982,"C_35",5.44,1.031
1982,"C_36",2.04,1.155
1982,"C_37",1.02,1.473
1982,"C_38",5.44,1.208
1982,"C_39",0,0.95
1982,"C_4",1.02,1.401
1982,"C_40",17,1.184
1982,"C_41",0,0.992
1982,"C_42",1.02,0.968
1982,"C_43",0,1.635
1982,"C_44",27.2,1.386
1982,"C_45",3.4,1.024
1982,"C_46",3.4,0.979
1982,"C_47",0,0.961
1982,"C_48",17,1.068
1982,"C_49",5.44,1.396
1982,"C_5",3.4,1.31
1982,"C_50",3.4,1.163
1982,"C_51",27.2,1.089
1982,"C_52",9.52,1.422
1982,"C_53",0,1.058
1982,"C_54",0,1.35
1982,"C_6",5.44,1.172
1982,"C_7",2.04,1.35
1982,"C_8",0,1.274
1982,"C_9",9.52,1.205
1989,"C_1",9.52,2.173
1989,"C_10",3.4,2.413
1989,"C_11",1.02,1.651
1989,"C_12",17,1.781
1989,"C_13",9.52,2.679
1989,"C_14",5.44,3.171
1989,"C_15",27.2,2.852
1989,"C_16",5.44,2.714
1989,"C_17",1.02,2.41
1989,"C_18",0,4.754
1989,"C_19",3.4,2.11
1989,"C_2",2.04,2.074
1989,"C_20",2.04,1.696
1989,"C_21",27.2,1.531
1989,"C_22",17,2.523
1989,"C_23",27.2,1.507
1989,"C_24",9.52,1.787
1989,"C_25",17,1.846
1989,"C_26",0,1.422
1989,"C_27",1.02,1.701
1989,"C_28",0,1.57
1989,"C_29",27.2,2.254
1989,"C_3",17,1.654
1989,"C_30",0,1.343
1989,"C_31",9.52,1.6
1989,"C_32",2.04,1.638
1989,"C_33",0,1.395
1989,"C_34",2.04,3.444
1989,"C_35",5.44,2.19
1989,"C_36",2.04,1.665
1989,"C_37",1.02,1.946
1989,"C_38",5.44,1.712
1989,"C_39",0,1.612
1989,"C_4",1.02,2.6
