Year,Season,Site,Stand,Treatment,Mass_gm2
2009,Fall,BEF,C1,C,250.5025
2009,Fall,BEF,C1,N,270.392
2009,Fall,BEF,C1,NP,262.922
2009,Fall,BEF,C1,P,273.166
2009,Fall,BEF,C2,C,313.55
2009,Fall,BEF,C2,N,285.028
2009,Fall,BEF,C2,NP,271.28
2009,Fall,BEF,C2,P,305.6
2009,Fall,BEF,C4,C,300.8575
2009,Fall,BEF,C4,N,305.644
2009,Fall,BEF,C4,NP,362.348
2009,Fall,BEF,C4,P,273.642
2009,Fall,BEF,C6,C,301.068
2009,Fall,BEF,C6,N,230.522
2009,Fall,BEF,C6,NP,296.836
2009,Fall,BEF,C6,P,279.018
2009,Fall,BEF,C8,C,346.202
2009,Fall,BEF,C8,N,320.782
2009,Fall,BEF,C8,NP,298.01
2009,Fall,BEF,C8,P,316.294
2009,Fall,BEF,C9,C,373.538
2009,Fall,BEF,C9,N,388.782
2009,Fall,BEF,C9,NP,333.712
2009,Fall,BEF,C9,P,399.984
2009,Fall,HB,HBM,C,325.226
2009,Fall,HB,HBM,N,384.616
2009,Fall,HB,HBM,NP,368.65
2009,Fall,HB,HBM,P,400.38
2009,Fall,HB,HBO,C,400
2009,Fall,HB,HBO,N,337.634
2009,Fall,HB,HBO,NP,320.4325
2009,Fall,HB,HBO,P,294.418
2009,Fall,JB,JBM,C,178.914
2009,Fall,JB,JBM,N,213.148
2009,Fall,JB,JBM,NP,300.96
2009,Fall,JB,JBM,P,245.262
2009,Fall,JB,JBO,C,296.454
2009,Fall,JB,JBO,N,204.382
2009,Fall,JB,JBO,NP,242.394
2009,Fall,JB,JBO,P,244.478
2010,Fall,BEF,C1,C,222.33
2010,Fall,BEF,C1,N,205.782
2010,Fall,BEF,C1,NP,207.028
2010,Fall,BEF,C1,P,258.506
2010,Fall,BEF,C2,C,235.062
2010,Fall,BEF,C2,N,246.556
2010,Fall,BEF,C2,NP,207.808
2010,Fall,BEF,C2,P,270.244
2010,Fall,BEF,C4,C,260.78
2010,Fall,BEF,C4,N,250.98
2010,Fall,BEF,C4,NP,287.55
2010,Fall,BEF,C4,P,235.532
2010,Fall,BEF,C6,C,266.504
2010,Fall,BEF,C6,N,236.948
2010,Fall,BEF,C6,NP,259.175
2010,Fall,BEF,C6,P,260.92
2010,Fall,BEF,C7,C,318.74
2010,Fall,BEF,C7,N,284.935
2010,Fall,BEF,C7,NP,295.7825
2010,Fall,BEF,C7,P,255.122
2010,Fall,BEF,C8,C,311.2
2010,Fall,BEF,C8,N,244.598
2010,Fall,BEF,C8,NP,229.34
2010,Fall,BEF,C8,P,284.976
2010,Fall,BEF,C9,C,322.74
2010,Fall,BEF,C9,N,296.174
2010,Fall,BEF,C9,NP,285.27
2010,Fall,BEF,C9,P,280.72
2010,Fall,HB,HBM,C,281.584
2010,Fall,HB,HBM,N,312.964
2010,Fall,HB,HBM,NP,299.288
2010,Fall,HB,HBM,P,269.32
2010,Fall,HB,HBO,C,250.61
2010,Fall,HB,HBO,N,280.198
2010,Fall,HB,HBO,NP,269.244
2010,Fall,HB,HBO,P,300.182
2010,Fall,JB,JBM,C,131.48
2010,Fall,JB,JBM,N,145.816
2010,Fall,JB,JBM,NP,127.636
2010,Fall,JB,JBM,P,159.094
2010,Fall,JB,JBO,C,186.124
2010,Fall,JB,JBO,N,170.356
2010,Fall,JB,JBO,NP,140.81
2010,Fall,JB,JBO,P,181.39
2011,Fall,BEF,C1,C,275.052
2011,Fall,BEF,C1,N,246.296
2011,Fall,BEF,C1,NP,263.364
2011,Fall,BEF,C1,P,265.54
2011,Fall,BEF,C2,C,249.476
2011,Fall,BEF,C2,N,232.766
2011,Fall,BEF,C2,NP,315.046
2011,Fall,BEF,C2,P,262.314
2011,Fall,BEF,C4,C,217.426
2011,Fall,BEF,C4,N,268.3375
2011,Fall,BEF,C4,NP,251.076
2011,Fall,BEF,C4,P,296.74
2011,Fall,BEF,C6,C,320.32
2011,Fall,BEF,C6,N,282.668
2011,Fall,BEF,C6,NP,305.192
2011,Fall,BEF,C6,P,287.366
2011,Fall,BEF,C7,C,284.676
2011,Fall,BEF,C7,N,287.5966667
2011,Fall,BEF,C7,NP,287.8675
2011,Fall,BEF,C7,P,246.41
2011,Fall,BEF,C8,C,299.286
2011,Fall,BEF,C8,N,253.912
2011,Fall,BEF,C8,NP,293.304
2011,Fall,BEF,C8,P,273.042
2011,Fall,BEF,C9,C,340.226
2011,Fall,BEF,C9,N,331.94
2011,Fall,BEF,C9,NP,309.286
2011,Fall,BEF,C9,P,275.22
2011,Fall,HB,HBM,C,324.5666667
2011,Fall,HB,HBM,N,305.1075
2011,Fall,HB,HBM,NP,344.138
2011,Fall,HB,HBM,P,320.5425
2011,Fall,HB,HBO,C,332.45
2011,Fall,HB,HBO,N,318.5225
2011,Fall,HB,HBO,NP,245.5233333
2011,Fall,HB,HBO,P,241.61
2011,Fall,JB,JBM,C,282.984
2011,Fall,JB,JBM,N,242.304
2011,Fall,JB,JBM,NP,230.33
2011,Fall,JB,JBM,P,250.838
2011,Fall,JB,JBO,C,292.018
2011,Fall,JB,JBO,N,285.096
2011,Fall,JB,JBO,NP,280.956
2011,Fall,JB,JBO,P,304.522
2012,Fall,BEF,C1,C,259.21
2012,Fall,BEF,C1,N,260.616
2012,Fall,BEF,C1,NP,275.192
2012,Fall,BEF,C1,P,277.738
2012,Fall,BEF,C2,C,273.966
2012,Fall,BEF,C2,N,266.686
2012,Fall,BEF,C2,NP,253.678
2012,Fall,BEF,C2,P,282.748
2012,Fall,BEF,C4,C,299.262
2012,Fall,BEF,C4,N,331.164
2012,Fall,BEF,C4,NP,355.374
2012,Fall,BEF,C4,P,260.138
2012,Fall,BEF,C6,C,297.226
2012,Fall,BEF,C6,N,316.932
2012,Fall,BEF,C6,NP,315.626
2012,Fall,BEF,C6,P,331.774
2012,Fall,BEF,C7,C,288.81
2012,Fall,BEF,C7,N,262.502
2012,Fall,BEF,C7,NP,259.928
2012,Fall,BEF,C7,P,230.808
2012,Fall,BEF,C8,C,283.398
2012,Fall,BEF,C8,N,282.122
2012,Fall,BEF,C8,NP,230.914
2012,Fall,BEF,C8,P,306.444
2012,Fall,BEF,C9,C,349.53
2012,Fall,BEF,C9,N,286.634
2012,Fall,BEF,C9,NP,303.486
2012,Fall,BEF,C9,P,254.034
2012,Fall,HB,HBM,C,309.296
2012,Fall,HB,HBM,N,355.016
2012,Fall,HB,HBM,NP,396.724
2012,Fall,HB,HBM,P,339.478
2012,Fall,HB,HBO,C,330.304
2012,Fall,HB,HBO,N,310.634
2012,Fall,HB,HBO,NP,294.626
2012,Fall,HB,HBO,P,282.982
2012,Fall,JB,JBM,C,352.608
2012,Fall,JB,JBM,N,316.2
2012,Fall,JB,JBM,NP,292.8
2012,Fall,JB,JBM,P,317.476
2012,Fall,JB,JBO,C,311.366
2012,Fall,JB,JBO,N,325.922
2012,Fall,JB,JBO,NP,310.878
2012,Fall,JB,JBO,P,328.582
2013,Fall,BEF,C1,C,271.156
2013,Fall,BEF,C1,N,272.694
2013,Fall,BEF,C1,NP,300
2013,Fall,BEF,C1,P,278.776
2013,Fall,BEF,C2,C,308.356
2013,Fall,BEF,C2,N,277.198
2013,Fall,BEF,C2,NP,197.598
2013,Fall,BEF,C2,P,344.538
2013,Fall,BEF,C4,C,317.888
2013,Fall,BEF,C4,N,299.134
2013,Fall,BEF,C4,NP,345.435
2013,Fall,BEF,C4,P,263.564
2013,Fall,BEF,C6,C,332.26
2013,Fall,BEF,C6,N,341.566
2013,Fall,BEF,C6,NP,358.218
2013,Fall,BEF,C6,P,341.826
2013,Fall,BEF,C7,C,324.52
2013,Fall,BEF,C7,N,321.13
2013,Fall,BEF,C7,NP,319.096
2013,Fall,BEF,C7,P,243.912
2013,Fall,BEF,C8,C,333.216
2013,Fall,BEF,C8,N,296.782
2013,Fall,BEF,C8,NP,259.13
2013,Fall,BEF,C8,P,314.06
2013,Fall,BEF,C9,C,366.87
2013,Fall,BEF,C9,N,336.262
2013,Fall,BEF,C9,NP,312.086
2013,Fall,BEF,C9,P,300.348
2013,Fall,HB,HBM,C,349.39
2013,Fall,HB,HBM,N,344.87
2013,Fall,HB,HBM,NP,342.872
2013,Fall,HB,HBM,P,316.262
2013,Fall,HB,HBO,C,311.244
2013,Fall,HB,HBO,N,303.644
2013,Fall,HB,HBO,NP,313.174
2013,Fall,HB,HBO,P,238.452
2013,Fall,JB,JBM,C,239.306
2013,Fall,JB,JBM,N,226.348
2013,Fall,JB,JBM,NP,227.478
2013,Fall,JB,JBM,P,232.468
2013,Fall,JB,JBO,C,190.686
2013,Fall,JB,JBO,N,227.07
2013,Fall,JB,JBO,NP,211.218
2013,Fall,JB,JBO,P,220.662
2014,Fall,BEF,C1,C,260.086
2014,Fall,BEF,C1,N,293.616
2014,Fall,BEF,C1,NP,334.49
2014,Fall,BEF,C1,P,300.738
2014,Fall,BEF,C2,C,308.408
2014,Fall,BEF,C2,N,249.86
2014,Fall,BEF,C2,NP,239.182
2014,Fall,BEF,C2,P,293.992
2014,Fall,BEF,C4,C,275.644
2014,Fall,BEF,C4,N,264.79
2014,Fall,BEF,C4,NP,259.358
2014,Fall,BEF,C4,P,259.73
2014,Fall,BEF,C6,C,305.4
