Year,Treatment,Replicate,Biomass
1990,T1,R1,2313.36
1990,T1,R2,1991.78
1990,T1,R3,2198.66
1990,T1,R4,1519.5
1990,T1,R5,2203.8
1990,T1,R6,2038.96
1990,T2,R1,2451.52
1990,T2,R2,2589.66
1990,T2,R3,2473.86
1990,T2,R4,2136.42
1990,T2,R5,2089.8
1990,T2,R6,2616.3
1990,T3,R1,3619.32
1990,T3,R2,1445.04
1990,T3,R3,1789.29
1990,T3,R4,2419.2
1990,T3,R5,1996.4
1990,T3,R6,2332.54
1990,T4,R1,2611.92
1990,T4,R2,2650.83
1990,T4,R3,1656.22
1990,T4,R4,2474.97
1990,T4,R5,1829.85
1990,T4,R6,1796.21
1990,T6,R1,605.4133333
1990,T6,R2,595.6433333
1990,T6,R3,485.6566667
1990,T6,R4,602.5133333
1990,T6,R5,295.1766667
1990,T6,R6,374
1991,T1,R2,3136.038
1991,T1,R3,3274.444
1991,T1,R4,2164.192
1991,T1,R6,2591.288
1991,T2,R3,3045.13
1991,T2,R4,2482.154
1991,T2,R5,2764.474
1991,T2,R6,3408.118
1991,T3,R1,1116.102
1991,T3,R2,1101.746
1991,T3,R3,1170.176
1991,T3,R4,1351.39
1991,T3,R5,1076.696
1991,T3,R6,1216.936
1991,T4,R1,1244.248
1991,T4,R2,1248.066
1991,T4,R4,1346.482
1991,T4,R5,1213.444
1991,T4,R6,1499.798
1991,T6,R1,406.8066667
1991,T6,R2,461.6566667
1991,T6,R3,478.8133333
1991,T6,R4,436.83
1991,T6,R5,458.1233333
1991,T6,R6,374.8266667
1992,T1,R1,1167.34
1992,T1,R2,1008.42
1992,T1,R3,1051.596
1992,T1,R4,1074.34
1992,T1,R5,1070.748
1992,T1,R6,1030.612
1992,T2,R1,1025.684
1992,T2,R2,1008.944
1992,T2,R3,1159.136
1992,T2,R4,1212.468
1992,T2,R5,1045.62
1992,T2,R6,1068.3
1992,T3,R1,1037.216
1992,T3,R2,1472.968
1992,T3,R3,1257.268
1992,T3,R4,1272.464
1992,T3,R5,1242.104
1992,T3,R6,692.616
1992,T4,R1,936.244
1992,T4,R2,694.748
1992,T4,R3,989.724
1992,T4,R4,743.632
1992,T4,R5,680.828
1992,T4,R6,447.592
1992,T6,R1,867.284
1992,T6,R2,1007.784
1992,T6,R3,960.33
1992,T6,R4,912.942
1992,T6,R5,837.594
1992,T6,R6,748.992
1993,T1,R1,2785.786
1993,T1,R2,3015.098
1993,T1,R3,3043.228
1993,T1,R4,2894.724
1993,T1,R5,3995.532
1993,T1,R6,3250
1993,T2,R1,3445.26
1993,T2,R2,3110.264
1993,T2,R3,3374.37
1993,T2,R4,3535.776
1993,T2,R5,2019.258
1993,T2,R6,2703.06
1993,T3,R1,2079.35
1993,T3,R2,2060.86
1993,T3,R3,2435.436
1993,T3,R4,2829.41
1993,T3,R5,2690.112
1993,T3,R6,2321.554
1993,T4,R1,1797.784
1993,T4,R2,1958.572
1993,T4,R3,2031.948
1993,T4,R4,1744.416
1993,T4,R5,1464.916
1993,T4,R6,1602.362
1993,T6,R1,566.95
1993,T6,R2,503.3
1993,T6,R3,657.5866667
1993,T6,R4,506.52
1993,T6,R5,700.62
1993,T6,R6,624.1666667
1994,T1,R1,1191.94
1994,T1,R2,1479.848
1994,T1,R3,1245.52
1994,T1,R4,1528.576
1994,T1,R5,1373.364
1994,T1,R6,1508.3
1994,T2,R1,1481.576
1994,T2,R2,918.292
1994,T2,R3,1233.952
1994,T2,R4,989.92
1994,T2,R6,1222.268
1994,T21,R5,1231.096
1994,T3,R1,1235.306
1994,T3,R2,755.122
1994,T3,R3,1272.678
