Lake,N_addition,Year,DOY_sd,DOY_mean,DOY_sum,BGA_HYLB_sd,BGA_HYLB_mean,BGA_HYLB_sum,Manual_Chl_sd,Manual_Chl_mean,Manual_Chl_sum,DO_Sat_sd,DO_Sat_mean,DO_Sat_sum,pH_sd,pH_mean,pH_sum
L,none,2011,32.7643098508117,190,21470,NA,NA,0,0.954496114008356,2.80606405405405,311.47311,4.22380960361213,89.8988586339566,10158.5710256371,0.154248996694866,6.2943250394048,711.258729452743
L,none,2013,32.7643098508117,193,21809,31.8956361701838,167.497065765838,17587.191905413,1.30297377527477,2.38892976387879,236.5040466,5.07717268138749,93.3932763802483,10553.4402309681,0.0907346761240353,6.43901902182002,727.609149465663
L,none,2014,33.3416656252603,193,22195,49.3791508599672,151.82101928197,17459.4172174265,0.671728361145328,2.13500942450833,204.960904752799,4.51098995147151,95.8531917395826,11023.117050052,0.205122794924678,6.23008072201564,716.459283031799
L,none,2015,34.4963766213207,188,22372,45.7828026095482,177.622884666319,21137.123275292,0.427630568378795,2.15404458608612,219.712547780784,4.54010924943659,93.6186532224079,11140.6197334665,0.266312744159213,6.63899413835506,790.040302464252
L,none,2016,24.6813019645777,183,15555,26.7948921273902,143.984338623863,12238.6687830284,NA,NA,0,3.37236914335501,89.896325701365,7641.18768461602,0.0528808601625079,6.29658322866525,535.209574436546
L,none,2018,28.1454555242346,186,18042,70.8334299172911,228.047062490647,22120.5650615928,0.817296531322287,2.64544494122151,222.217375062607,3.36131238452217,95.5188974504371,9265.3330526924,0.0579929632367367,6.54120390628334,634.496778909484
L,none,2019,34.2076989384943,189.5,22361,76.3335320437823,261.237259110118,30825.996574994,1.8412893874305,4.01152326458456,465.336698691809,5.62350980039575,96.5735593525351,11395.6800035991,0.112718746101649,6.58943752148486,777.553627535214
R,none,2011,32.7643098508117,190,21470,NA,NA,0,1.76045254023175,3.67178130787387,407.5677252,3.87967832741365,97.2144884280126,10985.2371923654,0.242699470820406,6.73910586871285,761.518963164553
R,added,2013,32.7643098508117,193,21809,211.883907662405,422.337188000021,47724.1022440024,1.51306320166911,3.85740958983838,381.8835494,6.14742345127831,98.4789150646798,11128.1174023088,0.177070331795454,6.68572014474746,755.486376356463
R,added,2014,33.3416656252603,193,22195,474.101994963783,836.618653192527,96211.1451171406,2.66395557708192,5.78245469408268,555.115650631937,5.8265268669582,102.677342569878,11807.894395536,0.308846682443144,6.8343189557395,785.946679910042
R,added,2015,34.4963766213207,188,22372,958.290853295593,926.137136676844,110210.319264544,7.77337435879011,7.75296034205343,790.80195488945,9.07588342885349,105.234944782008,12522.958429059,0.933110897774388,6.95040160583877,827.097791094813
R,none,2016,26.1247009552263,184.5,16605,27.3482725116946,244.083967658433,21723.4731216006,NA,NA,0,4.15944365176662,93.6162074451203,8331.84246261571,0.0656081319218512,7.14870682389884,614.7887869
R,none,2018,28.1454555242346,186,18042,79.7016728701241,264.861566638761,25691.5719639599,0.786775618460319,2.73054144260199,229.365481178567,3.87416492252329,100.745958020688,9772.3579280067,0.0598326210143653,6.83360339607802,567.189081874475
R,added,2019,34.2076989384943,189.5,22361,1107.77090156054,1181.82715256485,139455.604002653,10.5083236828622,10.2597111187332,1190.12648977305,9.42232753694792,105.29052235794,12424.281638237,0.970379692131646,7.24565516254631,854.987309180464
T,added,2013,32.7643098508117,193,21809,186.282352574464,539.727062468961,60989.1580589926,6.35825514781047,11.8747171559798,1175.596998,6.72176612746595,100.769024602593,11386.8997800931,0.137269997030281,5.86265504144903,662.48001968374
T,added,2014,33.3416656252603,193,22195,194.477781955018,654.72626870393,75293.5209009519,3.65235582032554,11.7225942984951,1125.36905265553,5.15933346080747,104.295690936925,11994.0044577464,0.122396962818755,5.76307279231112,662.753371115779
T,added,2015,34.4963766213207,188,22372,724.144972804715,857.037041294129,101987.407914001,17.0126005896444,17.3173816395118,1766.3729272302,5.79524521006895,103.966053517595,12371.9603685939,0.185512345477427,6.03705568866407,718.409626951024
T,none,2016,24.6813019645777,183,15555,64.6877045250516,326.122202605826,23806.9207902253,NA,NA,0,4.86278824615119,88.3544014328406,6538.2257060302,0.0702964802736728,5.73298704753485,418.508054470044
