"year","block","snow","N","temp","plot_sd","plot_mean","plot_sum","mass_sd","mass_mean","mass_sum"
2006,1,"P","N","W",2.82842712474619,11,22,152.911841431591,661.005,1322.01
2006,1,"P","N","X",3.53553390593274,12.5,25,93.6916485072176,646.25,1292.5
2006,1,"P","X","W",2.12132034355964,12.5,25,205.591296629989,596.875,1193.75
2006,1,"P","X","X",2.82842712474619,14,28,0.968736290225573,528.315,1056.63
2006,1,"X","N","W",0.707106781186548,2.5,5,37.476659402887,414,828
2006,1,"X","N","X",1.4142135623731,6,12,189.950094630142,743.815,1487.63
2006,1,"X","X","W",4.94974746830583,4.5,9,183.586133599463,575.565,1151.13
2006,1,"X","X","X",1.4142135623731,5,10,62.6638029487518,518.19,1036.38
2006,2,"P","N","W",2.12132034355964,28.5,57,132.144115268142,397.69,795.38
2006,2,"P","N","X",4.94974746830583,28.5,57,376.004030895947,379.255,758.51
2006,2,"P","X","W",0.707106781186548,28.5,57,112.338054327107,283.065,566.13
2006,2,"P","X","X",3.53553390593274,28.5,57,273.035141419562,405.565,811.13
2006,2,"X","N","W",2.82842712474619,21,42,56.9220958855171,651.5,1303
2006,2,"X","N","X",2.12132034355964,18.5,37,80.0798429693765,367.875,735.75
2006,2,"X","X","W",2.12132034355964,19.5,39,392.182634049495,563.065,1126.13
2006,2,"X","X","X",1.4142135623731,23,46,213.723024613634,527.875,1055.75
2006,3,"P","N","W",4.24264068711928,45,90,98.2878425849301,454.75,909.5
2006,3,"P","N","X",2.82842712474619,45,90,217.61211191016,428.005,856.01
2006,3,"P","X","W",0.707106781186548,44.5,89,155.209938470447,206.25,412.5
2006,3,"P","X","X",3.53553390593274,43.5,87,47.729707730092,277.75,555.5
2006,3,"X","N","W",1.4142135623731,35,70,270.729973312893,500.815,1001.63
2006,3,"X","N","X",1.4142135623731,36,72,154.23413111241,381.69,763.38
2006,3,"X","X","W",1.4142135623731,39,78,411.182593259977,410.75,821.5
2006,3,"X","X","X",4.24264068711928,36,72,68.7661344703917,441.375,882.75
2007,1,"P","N","W",2.3094010767585,11,44,111.281643439817,268.625,1074.5
2007,1,"P","N","X",2.88675134594813,12.5,50,108.014153200711,192.8125,771.25
2007,1,"P","X","W",1.73205080756888,12.5,50,122.469213818548,184.5,738
2007,1,"P","X","X",2.3094010767585,14,56,78.5779867392898,275,1100
2007,1,"X","N","W",0.577350269189626,2.5,10,80.4691970052309,333,1332
