,Year,Creek,Treatment,Replicate,shoot_mass
1,2004,CL,Control,L 1,4.692309474
2,2004,CL,Control,L 2,6.858701739
3,2004,CL,Control,L 3,6.9898
4,2004,CL,Control,R 1,8.595518528
5,2004,CL,Control,R 2,7.51424
6,2004,CL,Control,R 3,8.899450435
7,2004,NE,Enriched,L 1,8.032241667
8,2004,NE,Enriched,L 2,8.418125217
9,2004,NE,Enriched,L 3,5.899769638
10,2004,NE,Enriched,R 1,8.86724
11,2004,NE,Enriched,R 2,7.08396
12,2004,NE,Enriched,R 3,9.75024
13,2004,SW,Enriched,L 1,8.064169091
14,2004,SW,Enriched,L 2,6.844426087
15,2004,SW,Enriched,L 3,6.7868
16,2004,SW,Enriched,R 1,10.08099238
17,2004,SW,Enriched,R 2,10.1092
18,2004,SW,Enriched,R 3,6.843182971
19,2004,WE,Control,L 1,6.521952569
20,2004,WE,Control,L 2,4.83643
21,2004,WE,Control,L 3,6.661810766
22,2004,WE,Control,R 1,4.919437879
23,2004,WE,Control,R 2,4.726020523
24,2004,WE,Control,R 3,6.575179876
25,2005,CL,Control,L 1,7.334465
26,2005,CL,Control,L 2,8.743213913
27,2005,CL,Control,L 3,9.587662609
28,2005,CL,Control,R 1,9.712903077
29,2005,CL,Control,R 2,9.90950963
30,2005,CL,Control,R 3,10.67633123
31,2005,NE,Enriched,L 1,8.142805
32,2005,NE,Enriched,L 2,10.30623826
33,2005,NE,Enriched,L 3,8.115481667
34,2005,NE,Enriched,R 1,10.45840348
35,2005,NE,Enriched,R 2,8.501745
36,2005,NE,Enriched,R 3,10.75768
37,2005,SW,Enriched,L 1,8.05184
38,2005,SW,Enriched,L 2,7.495439599
39,2005,SW,Enriched,L 3,7.042329815
40,2005,SW,Enriched,R 1,8.891066154
41,2005,SW,Enriched,R 2,9.209783077
42,2005,SW,Enriched,R 3,6.238194164
43,2005,WE,Control,L 1,7.31708
44,2005,WE,Control,L 2,8.899776484
45,2005,WE,Control,L 3,7.563231322
46,2005,WE,Control,R 1,6.022856561
47,2005,WE,Control,R 2,8.374121739
48,2005,WE,Control,R 3,7.467156923
49,2006,CL,Control,L 1,7.500482324
50,2006,CL,Control,L 2,5.509823678
51,2006,CL,Control,L 3,6.678192821
52,2006,CL,Control,R 1,9.01253023
53,2006,CL,Control,R 2,6.796942482
54,2006,CL,Control,R 3,10.30520899
55,2006,NE,Enriched,L 1,8.449701675
56,2006,NE,Enriched,L 2,10.57254346
57,2006,NE,Enriched,L 3,5.757423619
58,2006,NE,Enriched,R 1,11.08420833
59,2006,NE,Enriched,R 2,8.849688062
60,2006,NE,Enriched,R 3,0.968104883
61,2006,SW,Enriched,L 1,8.554869306
62,2006,SW,Enriched,L 2,7.80528239
63,2006,SW,Enriched,L 3,9.268419619
64,2006,SW,Enriched,R 1,9.608421366
65,2006,SW,Enriched,R 2,6.982894545
66,2006,SW,Enriched,R 3,8.962553757
67,2006,WE,Control,L 1,7.429461461
68,2006,WE,Control,L 2,10.23538645
69,2006,WE,Control,L 3,8.361154965
70,2006,WE,Control,R 1,7.006889683
71,2006,WE,Control,R 2,9.720880904
72,2006,WE,Control,R 3,8.402118542
73,2007,SW,Enriched,L 1,8.647525217
74,2007,SW,Enriched,L 2,8.488038519
75,2007,SW,Enriched,L 3,7.586956667
76,2007,SW,Enriched,R 1,8.972513618
77,2007,SW,Enriched,R 2,8.96594
78,2007,SW,Enriched,R 3,7.96576
79,2007,WE,Control,L 1,7.31794
80,2007,WE,Control,L 2,8.898
81,2007,WE,Control,L 3,7.95172
82,2007,WE,Control,R 1,4.914325783
83,2007,WE,Control,R 2,6.999653913
84,2007,WE,Control,R 3,7.997078333
85,2008,SW,Enriched,L 1,7.951258958
86,2008,SW,Enriched,L 2,10.05384
87,2008,SW,Enriched,L 3,6.854312692
88,2008,SW,Enriched,R 1,8.346216667
89,2008,SW,Enriched,R 2,5.950135
90,2008,SW,Enriched,R 3,6.294947692
91,2008,WE,Control,L 1,6.607582609
92,2008,WE,Control,L 2,5.806745
93,2008,WE,Control,L 3,5.440575
94,2008,WE,Control,R 1,4.30648119
