"EOYBYear","locationName","Replicate","marshRegion_sd","marshRegion_mean","marshRegion_sum","isExperiment_sd","isExperiment_mean","isExperiment_sum","locationID_sd","locationID_mean","locationID_sum","ITISID_sd","ITISID_mean","ITISID_sum","liveMass_sd","liveMass_mean","liveMass_sum","deadMass_sd","deadMass_mean","deadMass_sum","unknownMass_sd","unknownMass_mean","unknownMass_sum","totalMass_sd","totalMass_mean","totalMass_sum","sampleComment_sd","sampleComment_mean","sampleComment_sum","latitude_sd","latitude_mean","latitude_sum","longitude_sd","longitude_mean","longitude_sum"
1994,"Inside Juncus","a",2.59942094461667,4.90322580645161,152,0,1,31,0,9,279,900.837712879649,39972.4193548387,1239145,10.0488588984665,6.0241935483871,186.75,21.7798037502143,20.4522580645161,634.02,0,0,0,15.4827416361389,11.252,168.78,NA,NA,0,0,37.46,1161.26,0,-75.833,-2350.823
1994,"Inside Juncus","b",2.58579663527042,4.55263157894737,173,0,1,38,0,9,342,931.517219386859,40179.6842105263,1526828,8.64850383380271,5.04763157894737,191.81,21.7616802877758,15.3781578947368,584.37,0,0,0,11.7211277086253,5.61380952380952,117.89,NA,NA,0,0,37.46,1423.48,0,-75.833,-2881.654
1994,"Outside Juncus","a",2.6406387433674,5.16216216216216,191,0,1,37,0,10,370,498.665767872678,40881.2972972973,1512608,8.69212697337777,7.85810810810811,290.75,13.6986179625568,12.9278378378378,478.33,0,0,0,21.2233402791606,21.8325714285714,764.14,NA,NA,0,0,37.46,1386.02,0,-75.833,-2805.821
1994,"Outside Juncus","b",2.67846489134619,4.78378378378378,177,0,1,37,0,10,370,664.305919252835,40732.9189189189,1507118,10.3739248583632,8.11675675675676,300.32,13.253156941609,11.0924324324324,410.42,0,0,0,22.2317562771315,20.7164705882353,704.36,NA,NA,0,0,37.46,1386.02,0,-75.833,-2805.821
1995,"Inside Juncus","a",2.57308816911622,4.56410256410256,178,0,1,39,0,9,351,4450.8220895251,39191.8717948718,1528483,6.36221681758867,5.07846153846154,198.06,32.8448295115232,19.7251282051282,769.28,0,0,0,9.51495937945894,7.61541666666667,182.77,NA,NA,0,0,37.46,1460.94,0,-75.833,-2957.487
1995,"Inside Juncus","b",2.63494757404179,4.675,187,0,1,40,0,9,360,860.014823962877,40346.2,1613848,10.3170293347878,5.70325,228.13,28.5855508416941,16.679,667.16,0,0,0,9.9750401323015,7.46222222222222,201.48,NA,NA,0,0,37.46,1498.4,0,-75.833,-3033.32
1995,"Outside Juncus","a",2.58723830273762,4.95744680851064,233,0,1,47,0,10,470,4139.51240374945,39854.8085106383,1873176,9.12653782613932,9.96829787234043,468.51,19.2160347806709,13.1082978723404,616.09,0,0,0,26.8130007155808,24.0048888888889,1080.22,NA,NA,0,0,37.46,1760.62,0,-75.833,-3564.151
1995,"Outside Juncus","b",2.64081673795783,4.78260869565217,220,0,1,46,0,10,460,692.92979233213,40677.7608695652,1871177,8.69892595124904,10.9263043478261,502.61,15.7150099838425,12.3610869565217,568.61,0,0,0,21.2485775877272,23.7006976744186,1019.13,NA,NA,0,0,37.46,1723.16,0,-75.833,-3488.318
1996,"Inside Juncus","a",2.55814537196535,4.78181818181818,263,0,1,55,0,9,495,4620.50174640722,39387.9818181818,2166339,11.1674498051934,10.2038181818182,561.21,18.6545334990543,10.3585454545455,569.72,0,0,0,12.3487285756833,10.775,431,NA,NA,0,0,37.46,2060.3,0,-75.833,-4170.815
1996,"Inside Juncus","b",2.76748617601813,4.96296296296296,268,0,1,54,0,9,486,67420.3103855725,48972.1132075472,2595522,12.7584573243944,10.0031481481481,540.17,24.3033938476856,11.9761111111111,646.71,0,0,0,12.5832601404597,10.824358974359,422.15,NA,NA,0,0,37.46,2022.84,0,-75.833,-4094.982
1996,"Outside Juncus","a",2.63278272287421,4.63829787234043,218,0,1,47,0,10,470,70235.0126402056,51010.3191489362,2397485,10.8135328668285,13.6893617021277,643.4,6.24061021945718,5.83595744680851,274.29,0,0,0,15.4352463079103,20.2737777777778,912.32,NA,NA,0,0,37.46,1760.62,0,-75.833,-3564.151
1996,"Outside Juncus","b",2.5632393720508,5.09803921568627,260,0,1,51,0,10,510,2892.68125569666,40291.4117647059,2054862,8.57298584817105,11.0323529411765,562.65,6.26974329774416,5.33901960784314,272.29,0,0,0,13.1945443203884,17.1795833333333,824.62,NA,NA,0,0,37.46,1910.46,0,-75.833,-3867.483
1997,"Inside Juncus","a",2.63801430944856,4.94444444444444,267,0,1,54,0,9,486,2816.24608256348,40008.2407407407,2160445,11.8165530667853,13.9198148148148,751.67,26.6072013444152,17.9962962962963,971.8,7.40628637148824,1.97619047619048,83,38.8454286836524,29.2785714285714,1229.7,NA,NA,0,0,37.46,2022.84,0,-75.833,-4094.982
1997,"Inside Juncus","b",2.55478923826371,5.01785714285714,281,0,1,56,0,9,504,2780.40265863703,40161.9642857143,2249070,11.632567778306,12.3817857142857,693.38,15.2138657952233,13.4355357142857,752.39,0,0,0,21.2189339385352,21.9973913043478,1011.88,NA,NA,0,0,37.46,2097.76,0,-75.833,-4246.648
1997,"Outside Juncus","a",2.60582940884356,4.61538461538461,240,0,1,52,0,10,520,4781.32345032749,39596.1538461538,2059000,11.3092836302421,11.5430769230769,600.24,9.77157221379506,9.22,479.44,0.714285714285714,0.102040816326531,5,19.1911776605814,21.8728571428571,1071.77,NA,NA,0,0,37.46,1947.92,0,-75.833,-3943.316
1997,"Outside Juncus","b",2.63383272626262,4.97959183673469,244,0,1,49,0,10,490,5581.91847925188,39031.612244898,1912549,10.7043653614918,12.1650255102041,596.08625,9.43621495283222,8.48877551020408,415.95,0,0,0,18.412922455397,21.3624734042553,1004.03625,NA,NA,0,0,37.46,1835.54,0,-75.833,-3715.817
1998,"Inside Juncus","a",2.53738377085149,4.84905660377358,257,0,1,53,0,9,477,841.110855772361,40499.9056603774,2146495,21.7754528046515,17.8588679245283,946.52,24.7083081063335,17.8090566037736,943.88,0,0,0,15.0357981570488,19.2670731707317,789.95,NA,NA,0,0,37.46,1985.38,0,-75.833,-4019.149
1998,"Inside Juncus","b",2.51062903380077,5.01754385964912,286,0,1,57,0,9,513,846.558890383426,40518.2105263158,2309538,14.8795593336937,15.0612280701754,858.49,21.1456653752111,18.0629824561404,1029.59,0,0,0,18.0980952339621,18.3280487804878,751.45,NA,NA,0,0,37.46,2135.22,0,-75.833,-4322.481
1998,"Outside Juncus","a",2.61232402618077,5.04255319148936,237,0,1,47,0,10,470,4156.85931753216,39964.4893617021,1878331,10.0837159097969,14.9131914893617,700.92,13.0040248412619,13.1965957446809,620.24,0,0,0,20.024958364633,29.2677272727273,1287.78,NA,NA,0,0,37.46,1760.62,0,-75.833,-3564.151
1998,"Outside Juncus","b",2.49193822105625,4.8780487804878,200,0,1,41,0,10,410,3193.62515211086,40425.2926829268,1657437,12.1210559791126,19.0134146341463,779.55,13.34750839999,15.3746341463415,630.36,0,0,0,21.3466622940815,34.3880487804878,1409.91,NA,NA,0,0,37.46,1535.86,0,-75.833,-3109.153
2000,"Inside Juncus","b",NA,8,8,NA,1,1,NA,9,9,NA,39238,39238,NA,85.11,85.11,NA,74.18,74.18,NA,0,0,NA,159.29,159.29,NA,0,0,NA,37.46,37.46,NA,-75.833,-75.833
2000,"Outside Juncus","b",0,1,2,0,1,2,0,10,20,NA,39238,39238,32.9865313423524,39.955,79.91,10.2247640559575,25.44,50.88,0,0,0,43.2112953983099,65.395,130.79,NA,0,0,0,37.46,74.92,0,-75.833,-151.666
2002,"Inside Juncus","a",3.31393163133201,4.875,39,0,1,8,0,9,72,1009.39147155954,40431.5,323452,17.6948691110486,12.7625,102.1,16.3696583435854,9.6,76.8,0,0,0,5.64287160938471,4.18,20.9,NA,NA,0,0,37.46,299.68,0,-75.833,-606.664
2002,"Inside Juncus","b",3.30943816264649,4.42857142857143,31,0,1,7,0,9,63,956.789199055137,40225.7142857143,281580,35.0402965306,26.6714285714286,186.7,43.088193057407,34.3714285714286,240.6,5.81377674149945,2.6,13,46.0521117865403,27.18,135.9,NA,NA,0,0,37.46,262.22,0,-75.833,-530.831
2002,"Outside Juncus","a",3.30943816264649,4.42857142857143,31,0,1,7,0,10,70,720.788655372909,40719.5714285714,285037,3.35296599332307,13.9285714285714,97.5,14.846195600541,26.6428571428571,186.5,0,0,0,15.6134130370866,40.3666666666667,242.2,NA,NA,0,0,37.46,262.22,0,-75.833,-530.831
2002,"Outside Juncus","b",3.31393163133201,4.875,39,0,1,8,0,10,80,848.350489816225,40534.375,324275,6.06058695884436,12.925,103.4,13.4803295847797,20.325,162.6,0,0,0,19.1092348654481,33.5428571428571,234.8,NA,NA,0,0,37.46,299.68,0,-75.833,-606.664
2003,"Inside Juncus","a",2.9418608829354,5.36363636363636,59,0,1,11,0,9,99,903.099862203019,40389.8888888889,363509,19.1271011917645,10.1,111.1,19.1243728358249,15.0181818181818,165.2,13,4.33333333333333,39,32.2536991849169,16.3111111111111,146.8,NA,NA,0,0,37.46,412.06,0,-75.833,-834.163
2003,"Inside Juncus","b",2.86356421265527,5.8,29,0,1,5,0,9,45,712,39594,158376,28.3394248353773,22.16,110.8,34.381782967147,40.48,202.4,0,0,0,4.59619407771256,5.85,11.7,NA,NA,0,0,37.46,187.3,0,-75.833,-379.165
2003,"Outside Juncus","a",3.20416395751944,4.6,46,0,1,10,0,10,100,720.788655372909,40719.5714285714,285037,11.5057908125527,8.09,80.9,4.7099068167239,6.41,64.1,0,0,0,12.7559572139626,14.8222222222222,133.4,NA,NA,0,0,37.46,374.6,0,-75.833,-758.33
2003,"Outside Juncus","b",3.20416395751944,4.6,46,0,1,10,0,10,100,720.788655372909,40719.5714285714,285037,7.08061516473753,5.52,55.2,8.1611546024104,8.5,85,4.11096095821889,1.3,13,8.16044661087179,15.32,153.2,NA,NA,0,0,37.46,374.6,0,-75.833,-758.33
2004,"Inside Juncus","a",3.1224989991992,5,45,0,1,9,0,9,81,947.748530876085,40457.5555555556,364118,35.6947504699376,25.3811111111111,228.43,22.4656931663469,14.3922222222222,129.53,0,0,0,55.6255433681326,39.7733333333333,357.96,NA,NA,0,0,37.46,337.14,0,-75.833,-682.497
2004,"Inside Juncus","b",2.76457178290909,5.25,42,0,1,8,0,9,72,1009.86533755744,40432,323456,30.7222222968512,21.5,172,28.1096504780831,22.8075,182.46,0,0,0,57.4495009924866,44.3075,354.46,NA,NA,0,0,37.46,299.68,0,-75.833,-606.664
2004,"Outside Juncus","a",3.15473944286703,5.42857142857143,38,0,1,7,0,10,70,720.788655372909,40719.5714285714,285037,7.97045257722008,9.54142857142857,66.79,5.94331236809592,10.8257142857143,75.78,0,0,0,11.8469527928573,20.3671428571429,142.57,NA,NA,0,0,37.46,262.22,0,-75.833,-530.831
2004,"Outside Juncus","b",3.22490309931942,5,30,0,1,6,0,10,60,333.563037520646,40966.5,245799,6.25026639432273,14.125,84.75,4.68563336167054,11.98,71.88,0,0,0,9.57077374092607,26.105,156.63,NA,NA,0,0,37.46,224.76,0,-75.833,-454.998
2005,"Inside Juncus","a",3.06890563852684,4.72727272727273,52,0,1,11,0,9,99,6087.31305530883,38484.3,384843,26.7534051528535,15.2954545454545,168.25,22.293291122912,13.1590909090909,144.75,0,0,0,48.262992937371,28.4545454545455,313,NA,NA,0,0,37.46,412.06,0,-75.833,-834.163
2005,"Inside Juncus","b",2.56347977784662,5,40,0,1,8,0,9,72,1027.48194283751,40312.1428571429,282185,34.2846728562071,30.1875,241.5,27.8326851792225,23.8775,191.02,0,0,0,61.0901474403665,54.065,432.52,NA,NA,0,0,37.46,299.68,0,-75.833,-606.664
2005,"Outside Juncus","a",3.14601905547883,4.69230769230769,61,0,1,13,0,10,130,6363.33083289631,38618.8,386188,5.64718536654346,3.69230769230769,48,3.57900322751518,2.84153846153846,36.94,0,0,0,9.094074571263,6.53384615384615,84.94,NA,NA,0,0,37.46,486.98,0,-75.833,-985.829
2005,"Outside Juncus","b",3.20794468326826,4.90909090909091,54,0,1,11,0,10,110,848.350489816225,40534.375,324275,15.0626992631105,11.7490909090909,129.24,9.40848495194147,8.20090909090909,90.21,0,0,0,24.0387815831003,19.95,219.45,NA,NA,0,0,37.46,412.06,0,-75.833,-834.163
2006,"Inside Juncus","a",2.87538817255291,4.375,35,0,1,8,0,9,72,1803.40669191078,39669.625,317357,25.2629129286956,19.65625,157.25,33.299578906604,26.71125,213.69,0,0,0,56.7119351887867,46.3675,370.94,NA,NA,0,0,37.46,299.68,0,-75.833,-606.664
2006,"Inside Juncus","b",3.02371578407382,4.14285714285714,29,0,1,7,0,9,63,1818.20354824677,39440.8571428571,276086,22.635725240046,17.0328571428571,119.23,23.611161807602,17.9942857142857,125.96,0,0,0,43.9647543358259,35.0271428571429,245.19,NA,NA,0,0,37.46,262.22,0,-75.833,-530.831
2006,"Outside Juncus","a",2.96085573216033,5.1,51,0,1,10,0,10,100,1792.35329168728,40105.9,401059,9.11066048343612,9.713,97.13,12.5285842509572,10.327,103.27,0,0,0,20.2219122076359,20.04,200.4,NA,NA,0,0,37.46,374.6,0,-75.833,-758.33
2006,"Outside Juncus","b",3.1224989991992,5,45,0,1,9,0,10,90,830.285459612804,40615.7777777778,365542,5.27025879609131,8.14555555555556,73.31,14.8231812637429,14.5644444444444,131.08,0,0,0,18.6287794822957,22.71,204.39,NA,NA,0,0,37.46,337.14,0,-75.833,-682.497
2007,"Inside Juncus","a",3.22490309931942,5,30,0,1,6,0,9,54,1026.70385214043,40153,240918,41.6323919162311,33.5016666666667,201.01,71.8987005214049,62.6016666666667,375.61,0,0,0,106.64754168131,96.1033333333333,576.62,0,0,0,0,37.46,224.76,0,-75.833,-454.998
2007,"Inside Juncus","b",3.55902608401044,4,16,0,1,4,0,9,36,1016.5,39746.25,158985,32.9977807334574,28.01,112.04,86.6722439231076,91.82,367.28,0,0,0,89.4484816342159,119.83,479.32,0,0,0,0,37.46,149.84,0,-75.833,-303.332
2007,"Outside Juncus","a",2.95695616193236,5.07692307692308,66,0,1,13,0,10,130,1792.35329168728,40105.9,401059,10.4123379108263,8.95153846153846,116.37,7.8789309277403,11.2376923076923,146.09,0,0,0,11.4035779922637,20.1892307692308,262.46,0,0,0,0,37.46,486.98,0,-75.833,-985.829
2007,"Outside Juncus","b",2.9418608829354,5.36363636363636,59,0,1,11,0,10,110,2389.81660981997,39172,313376,17.1024277915048,10.2781818181818,113.06,14.9637193359016,12.1681818181818,133.85,0,0,0,30.0066373566674,22.4463636363636,246.91,0,0,0,0,37.46,412.06,0,-75.833,-834.163
2008,"Inside Juncus","a",1.4142135623731,7,14,0,1,2,0,9,18,NA,39238,39238,34.0542625819441,24.08,48.16,9.80757105505741,57.195,114.39,0,0,0,24.2466915268867,81.275,162.55,NA,0,0,0,37.46,74.92,0,-75.833,-151.666
2008,"Inside Juncus","b",3.53553390593274,3.5,7,0,1,2,0,9,18,NA,39238,39238,53.2380695555352,37.645,75.29,7.64382430462658,67.915,135.83,0,0,0,60.8818938601618,105.56,211.12,NA,0,0,0,37.46,74.92,0,-75.833,-151.666
2008,"Outside Juncus","a",2.81096338494744,5.41666666666667,65,0,1,12,0,10,120,2243.57023266242,39530.5,395305,14.0577118919248,10.835,130.02,23.2684278876687,11.045,132.54,0,0,0,34.555879647056,21.88,262.56,0,0,0,0,37.46,449.52,0,-75.833,-909.996
